1_Control,3_Control,5_Control,7_Control,8_Control,9_Control,11_Control,15_Control,19_Control,20_Control,23_Control,25_Control,26_Control,28_Control,29_Control,31_Control,33_Control,34_Control,39_Control,40_Control,42_Control,43_Control,44_Control,45_Control,46_Control,48_Control,50_Control,51_Control,52_Control,53_Control,54_Control,2_T1D,4_T1D,6_T1D,10_T1D,12_T1D,13_T1D,14_T1D,16_T1D,17_T1D,18_T1D,21_T1D,22_T1D,24_T1D,27_T1D,30_T1D,32_T1D,35_T1D,36_T1D,37_T1D,38_T1D,41_T1D,47_T1D,49_T1D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15130,11635,7703,10414,8669,11659,5447,9923,6643,2985,6524,15290,6729,11358,8269,13427,7440,10417,11380,9557,8785,6907,4205,6576,6705,12084,9140,11474,10313,12895,6894,20169,11733,16189,20613,34922,23367,20721,43551,22363,12126,8777,18958,22976,26724,7232,8101,5041,8376,8167,8371,12769,12427,12137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198424,169373,215010,191576,211506,178559,383641,197705,293680,152316,229147,282893,221272,136405,232668,434574,50634,238305,157719,87458,154486,307163,104603,73093,47578,58771,125565,73426,45783,70636,57241,298550,222141,176596,243628,262963,346012,230819,445220,483705,378430,413763,4394624,695365,326099,273683,295616,234140,158671,295283,186268,195782,299249,80231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214481,250129,158490,154305,292302,127670,150917,170722,291383,113673,292530,162923,188974,270736,218605,359292,113271,147041,304191,346071,250336,165541,126280,144277,257007,151088,117647,215861,1500230,261732,195518,881623,450060,194359,244968,259107,284752,341701,467404,397592,534748,460900,8158017,1123697,549139,608979,359704,415979,271990,292146,122752,169850,1479294,172575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2211,3612,835,416,1822,2323,524,3818,212,2703,2642,2329,1400,1679,751,34,48,27,884,298,194,930,81,161,109,1200,35,85,371,46,2946,2271,11083,2958,4998,6933,1782,17221,1234,1322,1441,1320,16741,5278,2240,3796,4628,86,1558,1553,1350,172,4259,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,4115,434,178,3460,551,156,551,815,330,1593,885,102,68,80,401,324,534,34,102,56,124,99,49,23,60,44,58,17,255,180,3991,5141,450,2784,5518,2687,2811,1151,844,5871,691,4928,2061,2521,584,434,1827,500,2220,161,104,23,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152809,145296,148354,128093,179320,139146,153102,84400,125457,85811,139511,120299,129679,86702,127644,194790,94196,104208,152416,323693,103588,112641,98105,84516,102579,64663,88512,122562,69762,61776,124844,131632,130033,122374,312689,466653,221427,274140,109911,222319,363665,143893,269625,502946,314804,146678,97083,127949,111047,129885,102861,110402,391209,81767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8962,5879,15604,13775,18412,4881,12396,12142,23285,7170,14892,4821,14715,12938,14546,16774,10027,11050,12112,8892,9066,9827,11599,13462,11607,12795,8501,13544,12823,7558,9989,18165,18417,17952,23316,22145,25463,14818,23774,24661,15580,7165,19321,17339,13662,15364,11088,13188,14040,12231,9701,9372,19253,11267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12246,15248,10684,7193,14810,7432,11281,8428,9357,7230,12000,9169,8419,8511,7645,12678,7547,8806,10036,10770,8351,22710,14276,9284,6115,5213,52808,9437,37279,8620,5887,60831,31390,13277,22161,30174,22480,24942,12456,14886,20020,12135,162430,35519,19022,12535,11832,5977,10449,10004,9739,10644,27796,7939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250416,238757,148175,152643,243722,147332,177844,172814,205623,66807,231932,226841,115871,270022,138755,407019,148362,271753,181697,268104,166000,252200,174858,257709,270177,143813,165381,223085,198140,205303,185473,227148,333261,152735,408999,482549,281199,448713,194839,227936,523350,118557,231424,586219,341945,214980,230035,176626,260247,355586,309663,212139,359751,147040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3374327,1138690,752806,1339266,1888820,954932,831168,1344113,874713,590767,1719308,1408639,859058,1000918,1208453,2199986,2329172,2364757,1114384,9238378,1130272,3495075,741929,749810,1041056,1056897,1640397,2494334,1431662,1778809,792540,1216844,1431200,2240332,4647174,6435393,4695398,4582951,2454045,2038857,6065584,1045518,966520,12625451,9514542,1906081,1634392,1016688,1933315,866764,857596,3299376,6710947,3328354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83953,68187,17115,24063,68631,15039,19903,23819,33155,18598,30891,18915,9940,24282,6294,20534,44766,30956,11962,556770,17948,109834,18207,25858,24266,5833,19836,106323,129430,40129,48088,56634,85990,70409,143017,337195,235802,415421,66072,59275,486366,36024,60235,577579,382709,10722,19138,20049,21897,20454,19984,50856,1069805,43570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47891,128158,50924,46862,76801,60680,44055,60290,76585,23841,92743,156021,85805,45164,155124,23316,9180,127362,80228,14804,67506,9480,12316,21457,30037,12495,10305,40465,24760,8334,19587,158254,140948,49213,49099,106161,65516,65788,68314,74763,95667,60693,96582,167047,157418,25775,995471,185341,91033,265647,78225,15236,35957,11671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51830,62159,51705,74969,59338,68336,83213,42491,56906,53959,47218,61272,66643,86123,80219,90989,95279,82592,85331,33750,62954,355067,45083,59614,41839,46861,51060,37365,18812,42217,35070,66994,77078,79370,87768,85086,101531,79324,82460,67932,60502,56247,301644,87234,65902,95198,161088,117731,60646,102744,66356,69821,403411,44240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154938,199347,254569,150425,224875,172346,78313,144961,328710,168448,183524,212258,224413,264886,184655,280930,57069,86715,101447,111123,49929,159256,112141,153556,131747,63055,115464,128546,145565,87058,208171,246086,257622,116494,391857,424333,292716,396267,218612,523781,273905,259779,340738,283920,172290,163757,245478,219865,83138,212737,78028,158451,309969,59023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39608,130779,21272,17382,66984,37463,19096,27425,14076,17396,54766,21816,24218,126172,45007,20113,17874,34171,33824,26138,18759,33941,20290,38089,68033,16926,17349,32525,57887,44644,70920,163737,162029,21877,39932,100230,30278,33371,44211,49018,35089,48815,98336,50789,35089,24490,122523,212363,43758,194064,27695,41558,42593,23054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181847,271279,105515,138858,320155,124306,111896,136457,163060,88467,259728,92573,106320,116199,115339,123793,108079,91276,298419,255878,183819,110087,84700,148780,140174,109826,184466,163370,1572986,157727,340109,1431633,578661,160196,156619,102274,137882,311298,288983,236067,617810,419222,4821677,711631,341942,384373,221905,104694,186157,116498,155477,147569,534035,108586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
