Control_1_F670,Control_13_F823,Control_14_100565,Control_15_100291,Control_17_F796,Control_18_100649,Control_19_101928,Control_21_F821,Control_22_G461,Control_26_101060,Control_29_G114,Control_31_F699,Control_34_102333,Control_35_F675,Control_36_E701,Control_38_102300,Control_39_D681,Control_4_100448,Control_40_F824,Control_41_F305,Control_44_D751,Control_46_F026,Control_47_F104,Control_5_100369,Control_51_F320,Control_53_E696,Control_57_101582,Control_58_G777,Control_7_G274,Control_9_F644,T1D_10_F797,T1D_11_F789,T1D_12_F403,T1D_16_100905,T1D_2_G419,T1D_20_F717,T1D_23_100682,T1D_24_F780,T1D_25_102069,T1D_27_F769,T1D_28_F734,T1D_3_F835,T1D_30_D728,T1D_32_F468,T1D_33_F688,T1D_37_D702,T1D_42_F646,T1D_43_F249,T1D_45_D841,T1D_48_F124,T1D_49_D654,T1D_50_F433,T1D_52_F842,T1D_54_F311,T1D_55_F829,T1D_56_100749,T1D_59_F371,T1D_6_F817,T1D_60_F525,T1D_8_100980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9827271,10633221,9384146,7753980,13572829,15863895,9607999,11908248,17192518,9212568,9298659,13828240,7761183,9411079,10091268,8004483,9057737,11114605,8896977,7631618,8135021,9733450,10244229,12683555,7255212,12439187,7137478,6960756,9217006,11766840,13641622,18743090,9093038,11619973,13778788,21911602,9452037,16036673,26651494,10219057,17306226,10934306,8971049,10597175,19331364,17938326,14478841,8675640,9763308,9144990,6848338,14580723,11792505,8464091,15849695,9817137,12168276,9987742,6730241,7792666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182793,348278,1881854,717001,11118042,3148239,7514607,156022,12762823,7341484,2632362,218975,512933,160208,6245883,2555954,623424,899399,192134,348960,1854704,174668,8737324,220171,218837,12184262,382535,5184123,2528462,162932,9416237,3587058,8031054,1347639,10375209,4749088,13812771,3346416,27670966,3272085,180061,1172602,3494958,3356565,4858343,5235545,2544218,7299437,336727,13890704,433233,967833,1757159,11708436,1225798,1316165,10799358,4751023,2585670,1590776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4968543,6058481,4647666,3909572,3367807,4607129,4003134,4025590,3921308,3984416,4520418,4231037,5631808,4557931,4853734,4710156,4696142,6364162,4251985,4808793,3969550,4738950,4603595,5500091,3780446,6004801,4347539,5317876,4485174,4369147,2941044,3168784,3469423,7695419,5756563,3815002,12968549,3247457,3075973,3068011,3152515,3776527,4220348,3109167,4233690,4018922,3735746,4370333,4228508,4541826,3810664,3503273,3734883,5341416,5328349,4211989,4682750,4785441,4539414,6185135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29263144,31146146,26579092,25971774,36558296,43655344,29174526,34311632,45105592,26814430,25618574,32929064,21445802,26543226,32489756,25883614,31320752,32240636,29279612,27644910,24549674,33131196,30027082,36537248,24464390,41248220,20174068,21674500,25872698,29000220,39452296,43696760,27399402,30149128,32441310,46894064,25664038,40464420,58731188,28275272,37328240,32883556,26789400,32295044,46558016,41287828,45250036,24820820,30221416,26745668,23002746,38804352,37707248,28175624,40787536,27210062,32552648,31390878,18549744,26601786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12824340,10530628,4581415,8626885,5170122,43361988,7774495,14637505,13263631,6804346,35881172,6409940,5261769,26751828,10749005,10253297,9487273,12758120,10489410,10790521,4617660,10081378,6902344,15843632,8248620,15197236,2958035,5913580,4945303,7455662,17141294,8402220,6241739,10743891,11704107,21234956,18816638,18245802,17346006,6338607,9153585,8313585,9265481,9750538,15919423,7930033,21743420,12266044,12809026,11873690,8933244,11283782,12276980,11401470,31014008,10512641,14680182,22696788,68880328,11593985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739715,1790908,1966834,1890720,1521510,1838557,1878512,2220778,2441359,2262216,2304750,1828180,2452168,1863102,2568669,2119732,2068314,2206518,2142949,2373923,1888166,2029098,2355069,2324932,2166938,2654856,2259295,2241690,2065280,2062243,1284164,1580924,1081038,2222082,2009133,1378206,2085937,1204624,1957969,1129399,1625328,2259951,1923738,1076433,1581352,2154964,1210808,2344265,2188702,2356260,1953093,2314721,4631013,2281557,4934174,1896064,2225657,1253122,2006741,2001742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841579,1113882,4070468,1183596,7329358,6741749,7370468,2892297,9741290,4987959,3214007,1786938,1980537,3310058,6793855,4010885,2436516,2415646,4153662,3274892,2537261,3910066,7528206,4237940,833044,12082904,2310514,4078108,2470060,2489682,12227595,9823173,5183150,3224287,4616497,9275823,7626646,6961006,18567442,3828072,2101436,7083877,3080435,7053179,4094954,8812395,11610390,7258687,1138915,8095991,1373200,9113412,5486058,5717388,3842990,6007940,8364270,7474784,1174485,2479140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749380,2554947,2286818,1488295,3907812,4192829,2050660,2961120,5263581,2468166,2405967,3997914,1691990,2252585,2361175,1567485,1914549,2327064,2064592,1631081,1515247,2392343,2914650,3672803,1615404,3460657,1423146,1710844,2285450,2540244,3761070,5331746,1897048,2858088,3100611,6551290,2097311,5380724,8624950,2971250,5791588,2722770,2183909,3445238,5653957,5199345,4944859,2193012,1592976,2065666,1356571,3789362,3268540,2101331,3858946,2713849,3109845,3071407,1465438,1548012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6333870,5686447,6858024,6602751,5595878,6071724,6673792,6195966,7037020,7990819,7598516,7463473,6972594,6055021,6514187,7214766,6269263,7160356,7011033,4781548,7786908,7720860,6576519,6921532,7172796,6651883,8278188,8058442,7858544,7512543,5188620,6641888,6521114,8583475,7662290,5962730,3641470,6430774,6294337,6079650,6931588,7260231,6035154,5846058,6307718,6851774,4839843,7223799,7360103,6009566,6473185,6590161,7179390,6002298,7563119,7267420,6108754,385684,7383484,6542035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1347105,1880559,1170848,1461755,912086,2131384,1478487,1267650,1185300,1490463,1341433,1326817,1637054,1300266,1567817,1397253,1421725,1827714,1458107,1908466,1435374,1897890,1563565,1670257,1368149,1608120,1549534,1627065,1104122,1329645,880307,862887,863760,1466349,1624773,958280,1292219,845388,1078035,835313,1215870,1226906,1180886,635636,1088932,1434763,736040,1216022,1681091,1921572,1909212,1353018,1286323,1926117,1187511,1265578,1318753,673506,1575863,1833467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5668348,222937,193127,260938,1332074,686757,409320,579795,558726,387869,317877,369255,386456,342338,239951,178960,144747,192629,176596,362168,149632,130297,279036,170259,208886,227962,315258,419753,162100,922347,1175526,1188453,243196,252690,326911,998345,268243,4352967,1032632,510333,460777,776963,188065,562278,21590120,357257,2458192,153498,318950,232372,203828,486092,393278,363250,65949728,794634,459560,1187817,149475,1929221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555173,1283864,538698,373217,1531845,1852447,784159,1120714,2085502,512012,468117,1927932,347826,931958,863366,350422,514604,1122709,541793,279451,374474,595047,820866,1163697,217205,1148456,249722,176697,514467,1099649,1779213,2529327,530373,1599245,1211269,3149812,644890,2661539,5357534,1087815,2741935,864709,650200,1479538,2860352,3814475,3052872,477859,529042,550759,292658,1820898,1635921,509640,1828690,662691,914086,1145703,166756,318818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132352,155857,404605,131241,2900988,1280270,3119437,387679,4879900,1893897,814448,256813,227451,313208,2264064,910163,357283,274404,499471,221166,562156,601543,1914031,412084,130493,4960186,154865,1856581,404890,200505,4302637,1862527,1483350,666109,2992247,2262875,2525796,1750877,8256348,1012842,299687,741570,1017235,872484,2311043,2722589,1897360,2048691,174656,4231676,274706,1551773,723769,4230171,504707,570219,4591787,1315701,622181,475836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221395,978099,1228032,534438,1887491,2659118,982641,1178063,3462458,1481797,899424,1438255,693631,1067059,1255744,882855,626643,945120,1071429,776491,572623,638551,1149196,1263790,361835,1680507,687650,1099249,677665,921703,2488354,2522101,760124,1192099,1152435,3917830,1522953,3687715,4688473,1086469,2364406,1598529,902519,1604055,3877789,2694262,3866763,1209576,631146,856676,400537,2174299,1380523,1241835,3482335,2037777,1664824,2250137,393943,824033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40748996,41808828,35691500,42332432,47194060,45849328,44989744,43342660,39213792,37918832,36257160,39876156,36899144,32162136,41140140,33937536,45696056,43112432,30056920,38238472,36664868,38606588,38108468,42984400,35725836,43841192,33198302,34238380,37181176,39989956,50232008,49176164,36322896,38879616,47813960,47505576,35405860,43949424,56426464,43372636,48723468,37975328,42873088,41136044,46065444,39757536,50793860,35784584,43809568,45600968,39280148,38303676,41616152,38943800,48269588,32772410,42039580,44148856,38301860,36395644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8508892,616010,2914061,716981,2057662,2258009,375119,684034,365241,228692,1621006,621422,276635,428090,1851762,300821,1918645,413676,512865,1823899,1293651,2183929,1768850,444505,1214857,1853160,236442,247349,516078,1833809,2968399,2587516,250946,395932,378494,1674935,597861,7205771,1425881,1122338,2116271,907477,1655390,2077892,35544460,229834,5519859,1305436,1933392,1484861,223414,180972,784903,2273993,76678776,796869,238002,2307874,1065516,3385517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361080,119848,313798,212338,59183,1041966,111212,357037,106920,413775,277372,239463,116348,120063,40500,105788,229673,304645,102009,242946,36749,985961,58464,276217,320598,144435,110962,181861,108935,54495,1006817,904659,83441,194054,4645273,1809164,41505,348588,90108,124842,48410,74527,277401,41516,150461,80550,278730,168006,171642,283501,319820,457999,254063,317957,438565,139503,194476,160014,6615646,262362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146459,1028959,669658,835782,381003,6107677,535595,1045126,1028575,1138858,2901214,661334,490308,1199489,945526,693214,921037,1230168,667109,1088368,315984,1898797,356066,2242298,969877,951088,389782,685145,448897,412152,2850233,2122214,502701,719621,7060617,4029931,716047,1815366,546697,528755,780787,627949,864925,590527,1124747,642133,2415155,970650,1062238,956117,924011,1182906,1155620,1261725,1408502,693924,1286279,1513163,8685260,966699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3864302,3895041,3492463,3338584,4035507,5468896,4162715,4016476,7512290,4384519,4101013,3131756,4352823,3763938,4131828,3537748,3947323,3612450,4202196,4359020,2646531,3205387,3032859,4035174,2573059,5483419,2885470,3295195,2828658,3248682,5225509,6142478,3322564,3221220,2952078,8156986,4012669,5994244,7099383,3703201,3431179,5051532,3757522,6468487,7242823,4893246,7345704,3463750,3332527,4442223,2532267,5848796,3853682,4767256,5707851,5898640,4860982,5280306,2002088,2842174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25451028,33781460,10141844,17217750,13000577,77172832,13474795,30292114,39969956,21762140,58081352,18317154,16649182,45676204,61194196,24920390,27520926,22259480,17102228,24203894,10970931,19588994,14586125,66638820,39572808,27409180,8771828,14670983,12963666,17095234,33034762,21697956,12823653,18059700,56578744,40239640,30961876,32415776,27684122,14864184,24505256,29239724,16197165,23939776,30989974,16552355,140916368,26675100,24573952,23739484,15540260,19977148,26989866,26064832,43587100,19426488,35491520,41686704,58501976,26659970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455614,751854,368568,182678,901651,988319,521573,524283,1333373,315650,332523,1276645,212147,600072,562095,217439,225164,667413,273670,171219,269953,401528,520181,768402,166770,674929,171120,144808,355436,724639,772547,1339828,277207,1185638,1008662,1617036,471921,1226385,3222790,569447,1553087,637966,343984,765670,1849648,2771550,1138033,333409,344484,370329,241786,1205373,876186,347692,1640772,485697,662559,540076,127888,193714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050336,1134251,1165460,894946,873373,849466,1108394,1075739,1038136,1125056,1263905,1086886,1238302,1066750,1198067,1000106,1197618,923490,1097108,1127826,1132193,1176110,1245612,1141318,1062114,1317862,1063461,1176314,1082713,1186762,630453,804874,928880,1275067,1019126,819918,1041947,660092,829201,774620,818600,975784,924486,695631,1004209,944288,540566,1108457,1130182,1297180,934812,1136432,994541,1086257,946562,1114064,974262,553044,1193610,1142831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218501,299701,349770,211586,182541,260505,282946,333161,334026,314891,313618,296447,462330,275989,411835,306881,279129,251663,300397,279013,295971,315615,378619,284815,286863,367122,328744,362106,276659,281311,112626,219986,172426,290632,284536,187008,233715,140021,245221,131158,155310,221457,209241,149930,254049,268756,90440,287645,329713,302849,253362,273160,237481,340691,327014,317530,264665,139864,340953,359973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989311,103647,101043,112755,255553,489896,60455,212692,364333,46768,88848,98802,58001,80583,46703,65868,52485,193718,66230,50970,44137,49339,101073,113803,44759,50397,103909,42982,76773,307444,314282,841715,183321,222878,79610,431777,55358,1635448,128817,205641,309077,291840,56726,106274,4236311,273989,1059892,45844,43522,114805,53621,81885,287402,75361,10842265,212179,57483,449460,88417,933226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57056708,11097144,12919732,11195808,17207632,27503716,5477035,15427638,7399297,7793764,9067516,8162540,13248151,7714677,3804227,9604367,5695358,11942586,8293336,12894226,4192381,3651363,6068442,8203103,3463801,48433776,8435176,5947662,13463211,20913764,22015862,20605174,6656011,165634416,9967414,19092040,416196576,30094324,37466320,12115248,17379750,9695824,8989468,7466807,217894720,5927186,33514996,2899929,6742564,6172027,5231972,7020467,18516238,12517956,585331072,23321562,11272387,39477408,4746931,21519968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607316,797421,756568,610749,482008,756127,694596,582380,610319,660045,718029,712785,990372,747202,779106,769485,754765,653836,683634,839415,803257,819320,914835,668896,766489,781690,811245,872554,661008,676645,385485,444433,483983,822350,827248,460668,905326,452116,539110,435512,437918,589829,569602,406036,610531,652196,560500,830386,820990,862785,782646,585472,634474,821958,778989,728277,652946,335628,819243,780839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316069,365188,436572,240063,264557,262396,353995,320970,344598,375521,454784,435146,543848,406652,442647,400682,350780,328578,372120,354667,436132,421140,467137,383662,364352,444120,491265,579910,387668,346976,242575,220317,206069,420743,368213,261630,301563,232570,254391,183682,240751,367833,272314,193160,301699,344025,182102,460614,389477,449715,378532,399943,324616,412872,398474,441272,363017,149947,403759,352298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314924,199501,525511,164544,745883,862801,777788,439258,1720137,722819,820693,278577,205207,377994,843879,490661,314866,333930,629090,684030,316403,410899,696163,458225,111446,1523721,260951,587182,407202,285740,759706,1068077,887875,381910,653285,949743,1221619,802372,2102400,420739,272184,924770,462029,1013155,970291,973388,1063324,649435,155538,1645954,206518,1087517,636115,1144480,741795,892383,882784,1001059,203635,256854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719402,645635,1894541,660392,2655219,4985727,2803418,2551377,8938583,1987047,2475959,1168513,1062557,1878022,2778051,1891924,919256,1324706,2021687,2225900,910894,1351299,2159440,2724049,434805,5336147,1060227,2235647,928132,1318928,4799948,6006914,1679817,1415722,860784,7180924,3569439,4620665,8685672,1796898,1385321,5222188,1632894,4957168,3995738,2862590,7988790,2545316,609099,1480309,536989,6419394,2482888,2632772,2885153,4013264,4274039,4516573,291881,775511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886321,3326242,1830155,1982153,2078623,4409035,1024192,3067458,814679,1849700,1393891,1862335,1009183,2261375,1048785,2127413,3051447,2349501,2219972,3162408,1553737,3325213,1528273,2224190,2581348,2106810,1273133,1031340,4255490,1475476,2023779,771582,2587859,1633605,1350756,1080671,1657542,1053793,1999234,2856635,1815255,721526,1313500,2004776,3083735,873280,2693177,1102323,1886096,1434625,804230,1550509,2926876,1338431,622006,1436024,1237408,2250784,1726171,2347836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866848,773275,919185,887359,945177,776286,962869,1064319,739732,1014116,920322,932786,1149231,935902,1067006,910053,1002695,844383,1515090,819613,988536,940156,887371,743547,995005,1186814,955474,948097,1010539,880829,642278,770483,911161,928559,935345,837856,739311,779055,623436,704760,759632,742017,723478,658114,688640,890958,527006,1028481,1022428,1134825,861550,831054,968019,870297,881109,763223,762263,2181067,984914,961774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670258,107676,64499,76564,304258,319575,61286,141033,110937,47978,104492,63232,40595,34924,59223,40801,29556,83793,24254,31900,31710,40192,41021,83620,33651,58619,55093,54437,70997,283444,521133,1118736,39959,106008,46646,325119,67760,1332698,626606,155743,165112,237930,42377,107720,5031628,144257,1313019,51406,37963,72456,32465,64955,182035,50486,8994568,201448,65955,409277,29610,805460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2667716,3155037,2861712,2771143,3378893,2709742,3324868,2643867,3497936,3534737,3699886,3889142,2872052,2773781,3760699,2634046,3089307,2660626,2232803,2544606,3430436,2696133,3463409,2996188,3638389,3966254,3380931,3058036,2871367,3469835,3088731,4213791,3604296,3720513,4944199,4073888,3551542,3514379,4477851,2549702,4354404,3315414,3493939,2475648,3332407,4228253,2881932,3504390,3664464,3656753,3432941,2832689,3702790,3119637,5070472,2640031,2972876,2876565,3035749,3301706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
