Intensity,Intensity Brain1,Intensity Brain2,Intensity Brain3,Intensity Liver1,Intensity Liver2,Intensity Liver3,Intensity Muscle fiber1,Intensity Muscle fiber2,Intensity Muscle fiber3
90346000000,0,0,0,0,0,0,8814200000,15691000000,16069000000
90346000000,0,0,0,0,0,0,8814200000,15691000000,16069000000
90346000000,0,0,0,0,0,0,8814200000,15691000000,16069000000
90346000000,0,0,0,0,0,0,8814200000,15691000000,16069000000
65917000000,250610000,164800000,158840000,0,0,0,6614200000,16629000000,16529000000
41122000000,6472300000,6170600000,7126200000,1197100000,4244400000,2596200000,1311800000,1626600000,2243900000
39423000000,6216800000,5998800000,6917100000,1044600000,3824300000,2105900000,1311800000,1626600000,2243900000
33085000000,0,0,0,0,0,0,3524300000,6067700000,5535300000
33085000000,0,0,0,0,0,0,3524300000,6067700000,5535300000
29708000000,0,0,0,0,0,0,592400000,8128100000,7833600000
29708000000,0,0,0,0,0,0,592400000,8128100000,7833600000
29708000000,0,0,0,0,0,0,592400000,8128100000,7833600000
16059000000,2908800000,2247400000,2548000000,1511700000,1430200000,1471700000,449300000,701190000,870090000
14204000000,2596000000,2035100000,2562700000,1504100000,1459000000,1188200000,490940000,512540000,483670000
14204000000,2596000000,2035100000,2562700000,1504100000,1459000000,1188200000,490940000,512540000,483670000
13865000000,3108300000,2300400000,2090400000,1071600000,509310000,2114400000,307540000,239860000,237680000
10927000000,0,76541000,0,1182700000,2441200000,1147000000,1366500000,1993900000,2369600000
9062200000,0,0,0,0,0,0,0,0,9062200000
8216400000,2156700000,2898700000,2305700000,237960000,241850000,249860000,125560000,0,0
8216400000,2156700000,2898700000,2305700000,237960000,241850000,249860000,125560000,0,0
7483200000,0,0,0,0,0,0,0,989450000,0
6603400000,0,9491500,12509000,0,0,0,923540000,1057700000,1054300000
6603400000,0,9491500,12509000,0,0,0,923540000,1057700000,1054300000
5610500000,0,0,0,0,0,0,0,2099000000,1974900000
5610400000,0,0,0,0,0,0,1143800000,1141200000,889530000
4357200000,0,0,97930000,2049100000,2159200000,0,0,0,0
4357200000,0,0,97930000,2049100000,2159200000,0,0,0,0
3976500000,0,0,0,0,0,0,593160000,995710000,1195500000
3924700000,0,0,0,0,0,0,1288900000,155790000,2252800000
3723700000,21249000,42994000,0,0,0,0,1601800000,306750000,280710000
3585300000,0,0,0,0,0,0,320010000,65765000,358740000
3350000000,463400000,511810000,629820000,255390000,349190000,534790000,102240000,92389000,118710000
2913000000,389310000,426890000,503960000,203080000,301460000,495790000,102240000,92389000,118710000
2756000000,0,4183100,0,73739000,47377000,0,2499100000,0,0
2558900000,0,0,14029000,573310000,742350000,934730000,35355000,112940000,139140000
2541600000,0,0,0,535320000,508620000,1276500000,121240000,82526000,0
2541600000,0,0,0,535320000,508620000,1276500000,121240000,82526000,0
2400900000,0,0,0,0,1117700000,1091600000,0,0,0
2331100000,74916000,116040000,119850000,0,0,0,463020000,619990000,937310000
2331100000,74916000,116040000,119850000,0,0,0,463020000,619990000,937310000
2285300000,0,0,0,0,0,2285300000,0,0,0
2285300000,0,0,0,0,0,2285300000,0,0,0
2121000000,0,0,0,0,0,0,0,0,0
2121000000,0,0,0,0,0,0,0,0,0
2018900000,0,0,0,849060000,434670000,735140000,0,0,0
2018900000,0,0,0,849060000,434670000,735140000,0,0,0
2018900000,0,0,0,849060000,434670000,735140000,0,0,0
1868000000,101070000,146080000,126640000,634670000,301770000,374170000,139110000,44490000,0
1868000000,0,0,0,0,17713000,21401000,706190000,621350000,480060000
1868000000,0,0,0,0,17713000,21401000,706190000,621350000,480060000
1853500000,294100000,325750000,254900000,0,0,0,39187000,147090000,152340000
1815800000,0,0,0,0,0,0,138600000,858280000,528080000
1815800000,0,0,0,0,0,0,138600000,858280000,528080000
1799100000,0,0,0,1061600000,0,737500000,0,0,0
1799100000,0,0,0,1061600000,0,737500000,0,0,0
1670000000,0,0,0,501350000,457270000,711340000,0,0,0
1670000000,0,0,0,501350000,457270000,711340000,0,0,0
1660400000,411250000,487440000,404990000,176210000,80464000,100010000,0,0,0
1651600000,0,0,0,0,0,1651600000,0,0,0
1645500000,463280000,503420000,584860000,0,0,0,0,30289000,0
1645500000,463280000,503420000,584860000,0,0,0,0,30289000,0
1535900000,0,468140000,0,274420000,169970000,287340000,15564000,72292000,117480000
