Intensity,Intensity L,Intensity H
23831000,15178000,8653000
16040000,10259000,5781000
12402000,8220100,4181600
17456000,13185000,4270600
8250500,5699800,2550700
4721400,3335100,1386300
12205000,8483700,3721500
9784900,4604300,5180600
9015800,5166400,3849400
20811000,9743600,11068000
32521000,14239000,18282000
31225000,11654000,19571000
10695000,6281600,4413600
5076700,2320600,2756100
13174000,6147700,7026100
2913000,1152200,1760800
10746000,6701700,4044700
9502600,6473900,3028700
16370000,10492000,5877900
10848000,1357700,9490300
10054000,1369100,8684700
50005000,7183600,42821000
6500200,675580,5824600
6933000,626490,6306500
16767000,2000500,14766000
14797000,2261900,12535000
35831000,22053000,13778000
38838000,23193000,15645000
15246000,9717300,5528700
12439000,5854700,6584800
22206000,9648400,12558000
7185100,3299200,3885900
19419000,7262000,12157000
5376800,3622800,1754000
14908000,10075000,4833000
19531000,14138000,5392100
18772000,18517000,255290
22327000,21622000,705230
15042000,14881000,161590
5038300,2818400,2219900
8461400,4154300,4307000
30159000,19131000,11028000
26356000,15178000,11179000
7752800,3759700,3993100
17809000,7063200,10746000
8557100,3851400,4705600
7111600,5591000,1520700
13339000,9565400,3773400
6686400,5342800,1343600
19155000,14763000,4392000
4019200,3249500,769780
5224000,3608600,1615400
7923000,5975800,1947200
5248800,3840700,1408100
14650000,12467000,2183700
11605000,8186300,3418500
6907000,4963400,1943500
106660000,7660900,99003000
21979000,14448000,7531300
13989000,6110400,7878500
9244500,2509800,6734700
11443000,6937000,4505800
9193200,5027300,4165900
47868000,31414000,16453000
16874000,9592300,7281900
13502000,7595400,5906700
16444000,9013400,7430200
8492200,5523100,2969100
6082800,3058700,3024100
8355500,5551300,2804200
7753500,3131300,4622200
22791000,9119500,13672000
5646100,2167700,3478400
12636000,5472500,7163400
13749000,8543500,5205300
11809000,3814600,7994500
22190000,16844000,5345800
9210800,5825600,3385200
11453000,8239900,3213500
19901000,15589000,4312200
4534200,3326200,1208000
12348000,8298400,4049800
8950600,6879300,2071400
23888000,10204000,13684000
18414000,7665900,10748000
17598000,6974800,10623000
9125500,4244000,4881500
23103000,16491000,6611200
27564000,21806000,5757900
8975300,5486200,3489100
9256800,6166000,3090700
13443000,6449700,6993000
30829000,17348000,13480000
12429000,6232900,6196500
17308000,10679000,6629200
10282000,5875000,4406600
10292000,5152100,5140300
9623700,2566700,7057000
14860000,5819500,9040000
17673000,14106000,3566700
16323000,13180000,3143100
5454600,4383600,1071100
13963000,11410000,2552800
32807000,24048000,8759200
11689000,5353000,6336000
18104000,10333000,7770700
35484000,17479000,18005000
18932000,10516000,8416600
21729000,11839000,9890400
12900000,6527200,6372700
19128000,9549200,9578300
12578000,4959600,7618900
19350000,9641500,9708800
25141000,13552000,11589000
24672000,12943000,11730000
50088000,24407000,25681000
16599000,8014000,8584700
10400000,6010200,4389600
10656000,5749200,4906700
9685500,4260300,5425200
16118000,6465600,9652200
21014000,11076000,9937800
5033900,4121500,912410
5039900,2564500,2475400
5613500,2178800,3434700
47109000,25805000,21304000
8666900,2959500,5707400
21314000,7814400,13499000
39565000,17611000,21954000
22434000,10934000,11500000
13428000,6184600,7243500
20531000,8242600,12289000
17265000,10910000,6355400
28774000,11998000,16776000
13204000,5106300,8097600
28684000,13475000,15209000
33320000,17916000,15403000
9927800,4833000,5094800
8555500,3068800,5486700
10480000,5348700,5131600
7917400,3701900,4215500
10969000,5293600,5675000
17238000,7115800,10122000
14117000,5871100,8245800
16649000,8060400,8588400
12041000,6030600,6010200
15254000,6826100,8428100
13039000,6385900,6652900
7434800,3489500,3945300
7613000,6310400,1302700
11659000,10513000,1145800
24933000,6573500,18359000
14879000,10884000,3995500
11571000,8806200,2765000
8415200,6785400,1629800
9258400,7005300,2253100
5272000,4099300,1172800
3289800,2147500,1142200
29546000,17983000,11563000
20621000,13347000,7273500
8744800,5383800,3361000
26526000,13936000,12590000
6295500,5117900,1177600
25873000,20997000,4876100
10104000,6629500,3474300
9555300,4060100,5495200
9610300,6894300,2716000
27351000,17567000,9784100
11980000,5801500,6178200
17502000,10173000,7328700
17337000,8152200,9185100
14898000,8954900,5942700
16656000,11307000,5348800
18126000,8876600,9249900
23890000,10605000,13285000
19610000,12187000,7422600
20640000,13102000,7537600
11835000,9841600,1993600
19960000,18358000,1602300
3999800,2967800,1032000
8471300,5082900,3388400
15204000,7928200,7276100
14400000,9291100,5109300
11523000,6892700,4630800
21102000,13404000,7698300
10687000,7413500,3274000
29389000,17885000,11505000
16869000,10625000,6243800
26466000,20210000,6256400
22673000,11792000,10882000
43833000,24284000,19549000
42525000,21136000,21389000
18875000,10061000,8813900
9749100,5227200,4521900
30580000,16511000,14069000
7887300,2915100,4972200
34251000,18473000,15777000
102220000,54859000,47361000
18283000,10100000,8183000
6320100,2965700,3354400
16860000,10856000,6004300
9271700,5286100,3985700
76046000,42529000,33517000
74096000,42727000,31369000
13197000,7492700,5704600
34584000,18817000,15767000
12963000,6474700,6488000
17115000,9607400,7507200
5851300,3553700,2297600
12054000,6065300,5989000
14944000,9347700,5596000
10097000,4548400,5548300
12731000,7463300,5267400
16354000,11034000,5320600
11655000,5220800,6434400
24088000,12508000,11580000
5981900,3026400,2955500
7646400,2845900,4800500
6333600,1783100,4550500
17441000,7058200,10383000
10522000,5297800,5224600
6597800,2193400,4404400
11077000,4239900,6837200
4802200,2429800,2372400
7353300,2765400,4587900
10998000,3306200,7691500
6063400,2315400,3747900
16774000,6309900,10464000
2258900,650290,1608600
12821000,5379800,7441600
12384000,7955600,4428300
11847000,7493000,4354000
16337000,10529000,5808500
14275000,8085600,6189700
12374000,7522900,4851200
10892000,4447500,6444200
17918000,10945000,6972300
9909000,6211500,3697500
8153300,6250900,1902400
8387100,4464200,3922800
7188500,3818600,3369900
4469800,1692300,2777600
27393000,12135000,15257000
14401000,7072200,7329100
130270000,48533000,81733000
9070900,3964000,5106900
12287000,4805200,7482000
5118400,1763500,3354900
7774500,4014200,3760300
6268700,2151400,4117300
10278000,3710900,6567600
15246000,2112400,13134000
17437000,8601500,8835100
24911000,10058000,14853000
13370000,11945000,1424600
71472000,53616000,17856000
10328000,8459900,1867600
23915000,18988000,4926900
7003000,4723400,2279500
37517000,31577000,5940300
42728000,33807000,8921300
7362900,5076000,2286900
12671000,8269900,4400800
9092000,3607400,5484700
16654000,6420200,10234000
9135900,5353000,3782900
9891800,5509200,4382600
5923800,3529900,2393800
17828000,9329200,8498700
14026000,7277400,6748200
23902000,13701000,10200000
16283000,11184000,5099000
22548000,13952000,8596400
11428000,8466300,2962000
19189000,10742000,8446900
38855000,20074000,18781000
6512600,3336100,3176500
37802000,21664000,16138000
10982000,5601100,5380600
25595000,16641000,8953200
4623500,2428200,2195200
5011300,3549300,1462000
9304500,8171700,1132800
23050000,15672000,7377900
8293500,5847900,2445600
5102000,3715700,1386300
17861000,11742000,6118700
7957900,4778800,3179100
18370000,12729000,5640600
29148000,19999000,9149300
10236000,6397200,3838700
13366000,8047600,5318600
27780000,13286000,14494000
7499900,4692700,2807300
17023000,9006800,8016200
18213000,9879800,8333200
175800000,172810000,2987900
52028000,50284000,1743600
6722100,5086200,1635900
1617900000,1616500000,1427100
54317000,53327000,989740
48378000,46583000,1794800
11097000,10202000,895200
34314000,33568000,745960
27772000,27145000,626830
7014700,6729900,284810
5463800,4757100,706710
27282000,25481000,1800300
120630000,3748500,116880000
43201000,38116000,5085500
6575500,751690,5823900
28718000,533530,28185000
25143000,4030200,21113000
11903000,1612900,10290000
16026000,211450,15814000
18922000,6149800,12773000
13906000,6234500,7671500
7771600,1463600,6308000
25632000,3954800,21677000
7016700,1136900,5879800
15627000,4014900,11612000
20048000,6131000,13917000
49900000,2502500,47397000
49418000,10575000,38843000
27208000,8983100,18225000
4313400,473320,3840100
2.40E+07,5294100,18706000
81034000,1693600,79340000
22996000,735420,22260000
42315000,560040,41755000
58084000,4499300,53585000
5869200,1416400,4452800
100310000,4230100,96080000
76857000,11430000,65427000
60344000,3704600,56640000
70286000,5928700,64358000
40593000,1709500,38883000
150190000,4011300,146180000
1073700,311710,761980
4219000,189330,4029700
7409100,1758800,5650300
8878900,1013200,7865700
114470000,7798300,106670000
7116000,2264000,4852000
15146000,2316200,12830000
24773000,531140,24242000
8416900,1061600,7355200
14352000,303350,14048000
18584000,1799400,16784000
23925000,852040,23073000
20172000,1754600,18418000
30627000,1836800,28790000
6744900,658020,6086900
15140000,2813200,12326000
5849500,877470,4972000
25109000,6537200,18572000
9180000,1636700,7543300
27890000,4297700,23592000
15915000,1392000,14523000
6537500,213510,6324000
9464400,3077700,6386700
36678000,694330,35983000
10569000,403210,10166000
15722000,1415300,14307000
17661000,3821300,13840000
31275000,444890,30831000
13590000,912250,12678000
12945000,2319100,10626000
22138000,1414600,20723000
197210000,12613000,184600000
11985000,1987300,9997800
11157000,1151100,10006000
28261000,3726900,24534000
18682000,1156800,17525000
131050000,3337800,127710000
10899000,1273400,9626100
14616000,605330,14011000
9709500,1113200,8596300
21621000,797630,20823000
13520000,1192800,12328000
8346400,576150,7770200
19028000,2119400,16909000
88133000,8399500,79733000
19014000,822530,18192000
18561000,4971200,13590000
19876000,1968700,17907000
12166000,650490,11516000
13723000,1207700,12516000
95036000,2712000,92324000
10554000,454430,10099000
6185200,1743600,4441600
2341100,303740,2037400
11088000,923830,10164000
14755000,529360,14226000
12864000,2657100,10207000
3996800,429710,3567100
8486300,1356100,7130100
20542000,1638400,18903000
68468000,57998000,10470000
16665000,13709000,2955900
20535000,17619000,2916100
7480300,6599200,881120
21848000,17683000,4165200
37924000,31731000,6193100
9826900,7296400,2530500
8429100,3229200,5199900
11577000,8206700,3370500
17291000,8215100,9076100
12904000,6598000,6306100
9824200,4617300,5206900
10849000,4665100,6183900
4574000,1595500,2978500
9104100,4162100,4942000
6686200,2480300,4206000
20892000,14905000,5987900
13288000,11122000,2166000
41811000,35399000,6412000
11541000,9832800,1708100
7813300,5233200,2580100
7726100,4581000,3145100
15724000,3697500,12026000
7281400,2040800,5240600
6402400,5109100,1293300
9542300,8593300,948980
7961800,7386000,575770
10464000,8600200,1864100
19833000,17853000,1979600
35436000,30610000,4826300
11156000,9644000,1512400
14665000,11790000,2875000
5913900,4602300,1311500
43785000,34966000,8818600
9046300,6999900,2046400
10745000,2631800,8113500
113690000,73316000,40377000
27918000,17407000,10511000
11140000,7298100,3841700
12244000,6333600,5910200
8117200,3890700,4226500
6069900,3026600,3043300
13684000,6628600,7055200
6309600,2777200,3532400
8023800,2227700,5796100
12973000,5919200,7054200
6643700,3482500,3161200
17182000,9593700,7587900
59310000,29212000,30097000
34770000,17962000,16808000
15452000,6959000,8493300
15516000,8240500,7275700
13098000,5634300,7464000
15280000,7582500,7697900
18628000,7430000,11198000
7868800,2984000,4884800
88193000,51025000,37168000
15287000,10158000,5128600
14411000,3984500,10427000
11027000,4489300,6537800
17190000,4931200,12259000
12307000,8490300,3817200
13245000,9913500,3331800
3567300,2687100,880230
4500300,3502400,997940
13333000,6441000,6892300
10285000,7654200,2630900
57154000,38837000,18317000
13643000,10177000,3466000
12552000,8428600,4123000
3270100,2870400,399750
47824000,32577000,15247000
8967800,5948100,3019800
31639000,20801000,10838000
12284000,7332600,4951000
30884000,24562000,6322100
5625100,3174400,2450700
13117000,9385400,3731300
33488000,25132000,8356400
14061000,8298900,5762200
9579600,6167400,3412100
11632000,6910200,4722200
29368000,17275000,12092000
16165000,9997400,6167300
12332000,7940600,4391400
27460000,19977000,7483500
13516000,6419900,7096000
17976000,10717000,7259400
8598100,5521100,3077000
3942900,2387600,1555300
17271000,11090000,6180800
33687000,20584000,13103000
17636000,11491000,6144900
48945000,31426000,17519000
31001000,20785000,10216000
23333000,17029000,6304700
18314000,11566000,6748700
5854800,3989000,1865800
6890600,4883800,2006900
15626000,9221500,6404600
18863000,12552000,6310800
15109000,3174500,11935000
5761600,1377000,4384600
5806300,1028500,4777800
9862800,3119900,6742800
13691000,4629000,9062200
14043000,2739500,11304000
20121000,3220800,16900000
5051800,3474200,1577600
9453100,7271000,2182100
9495900,6622400,2873500
12475000,7380600,5094200
26976000,16579000,10398000
10696000,5607000,5089000
12424000,8606300,3817700
18326000,11035000,7290200
12564000,7705000,4859100
8329000,4804700,3524300
10277000,5885400,4391700
33718000,18686000,15033000
6865500,4039100,2826400
13289000,7370400,5918200
7548300,4664800,2883500
5005000,3667400,1337700
9498500,6623600,2874900
7642000,6297000,1345000
7748400,5334500,2413900
8355900,6701400,1654600
10627000,9115800,1511100
6617000,4140600,2476500
6204000,4463600,1740400
19713000,13950000,5762400
69544000,57198000,12346000
17684000,13897000,3787000
18962000,15922000,3039800
39871000,32632000,7239400
67477000,51349000,16128000
10899000,8222300,2676500
5655100,4458300,1196800
73214000,61576000,11637000
56991000,43728000,13262000
6341100,4780700,1560500
21774000,15945000,5828700
44607000,36498000,8108800
46637000,31043000,15594000
5721100,4471300,1249700
7419200,5965500,1453600
46885000,41072000,5813300
18735000,6868700,11866000
13144000,6639300,6505000
28029000,7938000,20092000
32340000,14317000,18023000
32030000,9696700,22334000
26424000,16784000,9640600
6578800,2390000,4188800
8212400,1822200,6390200
24612000,10667000,13945000
17034000,6903200,10131000
5431600,2862000,2569600
32246000,16343000,15903000
23168000,10278000,12890000
17578000,8059300,9518300
30448000,14028000,16420000
12983000,6226500,6756300
18863000,8775400,10087000
23963000,12031000,11933000
18854000,8925000,9928600
19539000,10936000,8602800
14848000,7790800,7056800
36210000,20365000,15845000
18207000,8474500,9732500
9764400,4756200,5008200
12695000,6674100,6021200
4525800,1941300,2584600
17547000,7614000,9933200
20141000,8736800,11404000
8867000,3318100,5548900
18465000,6822900,11643000
22665000,8287000,14378000
5790500,4070500,1720000
11538000,9200900,2337500
9594100,4917300,4676800
6214700,3831500,2383200
9112300,6034900,3077400
9521000,6026400,3494600
32616000,22340000,10276000
21159000,15373000,5786200
6524500,4399500,2125000
29833000,18237000,11596000
8137700,4432100,3705700
12508000,7285900,5222300
8644800,6266200,2378500
3411600,1576600,1835000
18255000,8898100,9357400
14091000,5632400,8458700
2497700,1286100,1211600
18217000,8674100,9542800
18667000,7924400,10743000
19230000,7430600,11799000
18937000,6287900,12649000
17533000,6950100,10583000
13903000,7589800,6313300
4990800,2361600,2629200
28020000,15564000,12456000
32637000,18993000,13644000
6513900,4787900,1726000
18071000,9014000,9057400
11653000,6948400,4704800
19721000,8224000,11497000
127890000,71870000,56016000
55589000,28675000,26913000
278590000,161180000,117410000
39765000,22177000,17588000
138370000,74386000,63980000
17225000,8418400,8807000
79706000,43091000,36615000
71288000,39205000,32083000
91660000,49602000,42058000
37657000,22491000,15166000
10763000,7577300,3185300
9283900,4488400,4795600
12124000,7832100,4292000
10285000,4965000,5319600
18893000,10827000,8065600
25153000,14041000,11112000
20291000,11717000,8574500
10168000,5037600,5130200
86688000,47645000,39043000
174740000,96099000,78642000
8883600,5735900,3147700
3305600,2162100,1143500
11768000,7393200,4375100
9454000,4614700,4839300
15357000,6501600,8855300
8845500,4658900,4186600
9132800,4105300,5027500
9448200,4453600,4994600
19940000,11492000,8448300
12533000,8100900,4432600
4688000,3706600,981440
8985200,5126200,3859100
8728500,6180800,2547700
7282500,3741900,3540600
11966000,4856400,7109300
39444000,19451000,19992000
19060000,7677000,11383000
21911000,10679000,11232000
7089800,3007800,4082000
8381900,3378900,5003000
3520400,2568200,952230
8672300,5354700,3317600
6950800,4618700,2332100
8271900,5491600,2780400
4599800,3165400,1434400
8455000,6458000,1997000
4257600,3581000,676650
11914000,9230000,2683900
7249900,4425500,2824400
27982000,14812000,13170000
7139500,3113500,4026000
20085000,8341500,11744000
30206000,13583000,16624000
33953000,17213000,16739000
7038700,3359900,3678800
15589000,8123100,7465800
21068000,9643800,11424000
12429000,5676300,6752600
20706000,9406700,11299000
5407900,3421200,1986700
9283000,4220700,5062200
5299700,2282200,3017500
10482000,4901300,5580900
10801000,5948700,4852000
24246000,9951200,14295000
6096000,1354700,4741300
13319000,4554300,8764800
13676000,5096100,8580100
11838000,4363400,7474500
5791700,3558600,2233100
7464300,2758600,4705800
14148000,8329800,5818100
13006000,7044300,5961900
3245700,1981300,1264400
11924000,6588600,5335900
24811000,13854000,10957000
8390000,4430000,3960000
9399000,5065400,4333600
15279000,6975000,8304100
12955000,7927300,5027300
20126000,8658400,11467000
7346800,2887700,4459100
17829000,6427500,11401000
31460000,12933000,18527000
12097000,5665500,6431400
3969300,1769000,2200200
5457900,2431100,3026800
4568700,1898100,2670700
147590000,82782000,64806000
10686000,6004900,4681100
30560000,18051000,12509000
48147000,26032000,22115000
9414600,5626900,3787600
20959000,12410000,8549500
22741000,13221000,9519600
9442900,5131800,4311100
8687300,5834800,2852500
9361100,4371400,4989700
44650000,24612000,20037000
7475700,3849300,3626300
18284000,11372000,6912400
7732900,4135100,3597700
181350000,96678000,84676000
15817000,8697000,7120300
25656000,13701000,11955000
9116800,4474000,4642800
41484000,25193000,16291000
15025000,8884700,6140000
9494200,4911400,4582800
14611000,6702400,7908900
30748000,17527000,13221000
5673600,3528800,2144700
11324000,4754400,6569300
5469200,2883100,2586100
5738700,3019600,2719100
18716000,8497100,10219000
1.30E+07,7358600,5641900
5655600,2035800,3619800
15079000,7351400,7727500
6885800,3298600,3587200
13079000,5406400,7673100
7940400,2832300,5108100
26664000,11146000,15518000
21138000,8679400,12459000
26619000,12652000,13967000
13207000,7606100,5600400
4177700,2221100,1956600
26478000,6087000,20392000
14112000,6195700,7916700
7432100,3694500,3737600
13549000,7101700,6447000
4935800,3499700,1436000
4883400,2299900,2583500
13546000,7729400,5816100
12611000,5820000,6791400
22226000,14060000,8166400
31164000,15191000,15973000
21164000,10667000,10498000
20770000,11955000,8814900
9673300,4530600,5142600
16727000,6797700,9929000
19104000,13388000,5716100
14508000,8343400,6164300
31499000,19929000,11570000
36459000,23119000,13339000
11832000,6890000,4942400
14730000,9689500,5040000
12290000,8603800,3685700
22611000,15085000,7526100
21148000,10306000,10842000
8965300,4591900,4373400
14949000,13390000,1559600
8020800,6707200,1313700
8149600,3163100,4986500
6517000,3316500,3200400
4350600,1873800,2476800
6895600,4106500,2789100
11286000,4960400,6325800
