Reporter.intensity.0,Reporter.intensity.1,Reporter.intensity.2,Reporter.intensity.3,Reporter.intensity.4,Reporter.intensity.5,Reporter.intensity.6,Reporter.intensity.7,Reporter.intensity.8,Reporter.intensity.9
67837,43306,72647,58961,40320,47218,67528,60574,36612,50415
1875752,507641,1116279,873031,928255,626802,1734698,846179,922019,592754
67705,40027,52876,48369,42347,39410,64368,50006,43254,41284
157501,113649,158536,78035,97386,123362,147720,77627,94375,126484
10131,2353,7644,12599,6975,4224,10129,11475,6552,3479
11257,9208,5081,10570,7772,8502,9751,8988,7132,5542
22537,13099,24560,16766,12510,14160,22300,16518,14434,16661
33830,34049,30678,33304,32341,31458,32520,33567,34362,30653
43521,27130,40521,22265,51651,23869,39962,20109,46078,25123
1823,5946,3544,7176,7119,5414,1762,5496,6714,3437
191442,160812,138214,149337,141245,149653,185064,148175,139283,146286
38147,1750,6308,3404,3995,2981,34663,4212,3404,2427
745569,255602,579862,392046,411878,282526,725744,386151,402707,279780
223803,165245,170810,233406,183236,205065,217674,234960,198366,210083
209971,137393,215102,149160,141494,177589,210506,151322,141900,179470
117975,27007,73006,67914,40787,30013,111090,58517,37621,24852
83486,67990,59447,59221,56270,55135,79480,58573,53220,52465
25531,15960,131338,41979,24569,30577,15449,14250,27668,22685
662217,584327,620366,715890,642060,544149,654897,691016,663899,527327
9956,6384,6479,17832,6665,8600,9484,18436,6867,7294
8540,16491,7381,11321,9086,18959,8097,12144,9347,20818
476053,344706,472792,436213,320667,315664,478261,435928,308759,308824
231003,264178,238119,300239,197259,242679,230072,302784,207255,262549
11056,8491,1861,7926,5158,6446,10006,5719,3872,2785
50152,34009,50955,41396,34915,30855,49945,42295,36032,36968
9445,5897,6450,9117,10927,6775,8778,8062,9000,4391
44689,49013,40104,36349,39592,59549,45913,36997,41339,62593
5506,3730,6127,5420,4322,4592,5939,5273,4570,4779
609281,920573,516708,563294,665717,996868,614217,576904,665617,972796
53457,53834,66461,127919,56106,60532,60055,126287,53255,53652
48444,30511,49534,60257,44636,38698,47173,61180,45858,40708
38599,39937,33750,37981,35130,36036,39933,37327,38213,36422
25053,18360,18019,20897,21074,21270,22725,18614,20558,21055
155249,114544,119318,180262,109206,110129,148296,175099,115480,110132
58610,31392,55629,43949,52708,42901,61278,48498,38690,44763
1009,1999,953,2554,1325,1473,738,1807,1339,1050
92788,115204,140069,66954,153153,115261,92171,63476,155402,116123
45104,27358,61087,35484,30964,30169,54362,35711,29546,27742
9795,4550,13155,8700,10132,3623,10588,9030,9662,3721
10077,19029,4052,5910,18362,16392,10591,5215,18398,12665
155943,701562,401213,182115,254544,744717,155363,189517,239898,768774
6840,7708,6047,6980,5072,7880,6268,7747,4628,8310
298362,381830,344122,406312,353580,415105,309546,409315,358103,412045
710195,1011696,872631,652317,810160,921895,727233,650841,803043,929401
142328,78353,106396,76021,93631,83141,137297,72619,100417,79071
221960,191147,179646,189937,179789,195681,213276,188501,181427,199842
248394,265687,242756,186781,233300,224743,251633,184932,232332,238416
126108,140456,126526,116913,94956,135841,127310,126348,85702,140605
86675,42724,38395,39209,61194,22363,79850,39224,62610,21356
48392,29420,77055,108234,59387,33883,48717,110925,66100,37219
145899,136290,160819,173753,174784,144138,151184,166573,162987,127094
1124086,1580728,1231407,1400995,1411163,1494960,1167980,1405137,1435889,1528566
970111,1169792,979894,1080289,1108650,1129399,978588,1074564,1103140,1125322
255878,418421,241181,463320,317072,456373,269481,468885,307810,456870
223052,184834,298605,182516,140083,160085,216294,192935,130660,161868
8381,4049,5367,6465,4126,4634,8000,6341,4538,4561
63238,48568,67609,66804,57529,53971,62815,59405,56500,50015
219310,152398,189155,143294,211302,182869,220056,143057,208094,183770
331700,180447,295797,464959,292015,247733,330809,468443,301894,241986
69631,91455,61917,57780,77667,78188,70123,56910,74415,76549
65040,97101,72341,93549,71811,79714,67995,96710,65969,76088
106589,53886,136989,64500,97535,56437,105035,67152,91488,62103
259712,170316,294817,204762,182252,180929,246282,195328,175471,175539
123401,57593,48588,66103,81215,52872,113423,63101,74994,43354
112058,371165,118609,142474,123677,373828,112510,139347,138088,392853
159890,251761,204447,224662,227500,201538,164109,213676,234752,189821
6474,13503,3998,8890,9371,11228,6617,7792,8265,13693
278570,378929,294729,317103,353670,373583,286694,313823,350034,393953
7189,7178,8451,7363,9488,7687,8310,7538,10170,8836
187382,43581,165841,60586,97985,43030,169152,56061,83928,42231
122457,34041,82794,76231,64590,39599,121156,78726,60254,37265
440565,358887,517880,441968,424034,519161,441025,460590,423389,529618
