Plant1-Measurement A,P1-M B,P1-M C,P2-M A,P2-M B,P2-M C,P3-M A,P3-M B,P3-M C,P4-M A,P4-M B,P4-M C
21678.1013,26679.66688,21099.57297,17106.25495,15078.03357,12041.88428,5861.563271,5746.847384,6496.558527,24802.75316,30874.69801,31614.18257
6025.405402,6994.643776,7336.307327,8046.691999,6649.91535,7853.374034,14368.5953,12541.83944,12514.82586,8335.591185,7696.724103,7753.237285
11913.41439,13710.61807,12482.10129,11473.67113,10838.8443,11040.94829,17524.03624,17084.04076,14598.86283,9916.345134,9719.283353,9103.832556
6431.457835,5060.796119,4521.284516,7688.916756,7681.261381,7718.099177,4142.375433,5364.686269,7848.638831,18889.75597,19382.0412,20700.28052
32986.50819,37457.87928,35423.19075,27943.6491,20847.05037,17293.0248,3695.587555,8700.171107,5971.05321,31045.84555,60196.75687,44193.47772
1592.073998,1226.325458,1389.076592,1668.939531,1505.711362,1904.256979,1517.281883,1842.009952,2373.685018,3770.045346,3568.357667,3646.956339
2270.907337,2994.603353,3010.21403,1393.773722,1275.035646,662.9448885,3405.951471,2369.218262,3324.048776,5929.024288,5387.36276,4499.278777
12467.02361,8305.682012,12335.88246,20223.71441,18518.71903,19701.62539,7262.663455,6940.938746,9778.802832,13706.61341,11784.78081,12781.89335
1797.310329,2158.63002,2041.084026,1372.519332,1818.451029,1867.482933,1383.348046,1299.291999,1435.23216,1226.448774,1097.285964,1061.324255
3730.13091,4284.829656,3000.236844,3427.942083,2752.836149,2193.579823,1992.082981,1887.97405,2487.327619,1557.36273,1381.60311,1610.793247
42023.62162,42255.85844,43931.33245,40496.39016,39088.34706,36276.85461,40329.62666,45470.76285,51113.41772,32529.83424,32493.8983,30083.1425
9103.603193,9969.918134,11160.41098,11753.62445,11226.16235,10008.16467,14307.67046,14083.47197,16123.32438,10820.77218,9423.705289,10464.49211
69191.09837,79793.54785,72093.45265,66503.00894,74014.0121,66996.09589,69530.50246,74765.24522,64419.17176,56465.25151,55958.64431,49705.93061
19259.07704,18559.05347,18531.33982,19715.79628,28731.18274,21925.70015,10517.18004,16136.32025,10253.49187,12354.62172,6581.484339,8587.636068
1528.578971,1249.738921,1430.770659,1613.502508,1090.610952,2200.57615,391.7976574,791.8901452,290.2289241,352.8230494,603.5276291,599.622235
3683.57617,2915.30728,2850.86439,2876.931249,2023.797459,1772.013675,2456.415727,1594.85034,1490.808977,1249.330655,1330.296114,1314.438111
39616.28303,39098.24535,41653.56377,37352.86784,39394.58502,45820.14401,28683.40751,28975.29641,34416.47686,39781.45688,40897.51308,41548.15284
