Hela,Myoblasts,hESCs,293T,,,,,,,,,
1.6E+11,1.3E+11,2.3E+11,1.7E+11,,,,,,,,,
1.7E+10,2.8E+10,3.4E+10,1.9E+10,,,,,,,,,
4.0E+09,3.1E+09,2.6E+09,1.8E+09,,,,,,,,,
4.2E+08,5.1E+08,1.2E+09,8.6E+08,,,,,,,,,
8.8E+08,9.2E+09,2.5E+09,1.2E+09,,,,,,,,,
3.7E+10,3.5E+10,9.9E+10,3.5E+10,,,,,,,,,
1.8E+10,2.3E+10,4.4E+10,2.0E+10,,,,,,,,,
9.7E+10,1.0E+11,1.3E+11,1.6E+11,,,,,,,,,
5.2E+10,7.5E+10,1.0E+11,1.1E+11,,,,,,,,,
3.9E+10,1.6E+10,3.6E+10,2.1E+10,,,,,,,,,
4.3E+09,2.9E+09,7.6E+09,2.0E+09,,,,,,,,,
2.0E+10,1.1E+10,1.9E+10,1.2E+10,,,,,,,,,
8.6E+10,5.0E+10,4.6E+10,7.8E+10,,,,,,,,,
2.7E+10,2.8E+10,1.5E+10,3.5E+10,,,,,,,,,
3.0E+09,3.4E+09,5.7E+10,3.8E+09,,,,,,,,,
1.3E+11,1.1E+11,1.9E+11,1.4E+11,,,,,,,,,
7.1E+08,1.3E+09,1.3E+09,4.6E+08,,,,,,,,,
3.5E+08,3.4E+08,9.9E+08,4.2E+08,,,,,,,,,
4.9E+08,2.7E+08,5.2E+08,3.7E+08,,,,,,,,,
2.0E+10,1.2E+10,2.6E+10,1.6E+10,,,,,,,,,
4.4E+10,2.9E+10,4.8E+10,4.9E+10,,,,,,,,,
5.6E+09,2.3E+09,6.1E+09,1.5E+09,,,,,,,,,
7.9E+10,7.5E+09,3.6E+09,8.0E+09,,,,,,,,,
1.5E+09,4.5E+08,5.9E+09,5.6E+08,,,,,,,,,
9.0E+08,5.5E+08,3.5E+09,1.0E+09,,,,,,,,,
5.3E+09,7.6E+09,7.8E+09,1.0E+10,,,,,,,,,
5.2E+09,7.6E+09,4.0E+09,9.5E+08,,,,,,,,,
8.5E+08,1.9E+09,1.7E+09,1.3E+10,,,,,,,,,
3.3E+09,3.1E+09,1.2E+09,6.0E+09,,,,,,,,,
1.8E+09,8.3E+09,2.6E+09,2.0E+10,,,,,,,,,
2.1E+09,8.4E+09,2.6E+10,4.6E+09,,,,,,,,,
1.9E+09,1.7E+09,5.1E+09,1.3E+09,,,,,,,,,
1.1E+09,4.9E+09,4.3E+09,4.4E+10,,,,,,,,,
4.1E+10,7.2E+09,4.8E+09,1.7E+09,,,,,,,,,
1.2E+10,2.4E+10,2.1E+10,4.1E+10,,,,,,,,,
2.5E+09,4.4E+09,2.6E+09,4.2E+09,,,,,,,,,
3.0E+09,7.6E+09,2.5E+10,4.3E+09,,,,,,,,,
6.7E+08,1.3E+09,3.3E+09,5.9E+08,,,,,,,,,
9.7E+08,4.7E+08,4.6E+09,4.6E+08,,,,,,,,,
4.6E+09,1.4E+09,3.0E+09,8.5E+08,,,,,,,,,
7.0E+09,1.2E+10,1.0E+10,1.1E+10,,,,,,,,,
1.4E+09,6.4E+09,8.1E+09,1.8E+10,,,,,,,,,
6.6E+09,3.4E+09,4.6E+09,4.2E+10,,,,,,,,,
9.9E+09,3.6E+09,2.4E+10,3.1E+10,,,,,,,,,
3.3E+09,4.0E+09,2.7E+10,1.4E+10,,,,,,,,,
4.3E+09,2.8E+09,3.9E+09,1.0E+10,,,,,,,,,
1.4E+09,5.8E+08,4.7E+08,4.8E+08,,,,,,,,,
1.1E+09,9.7E+08,2.9E+09,4.5E+08,,,,,,,,,
3.3E+08,9.9E+08,1.3E+09,1.5E+09,,,,,,,,,
1.2E+08,4.4E+08,3.0E+09,2.1E+10,,,,,,,,,
6.7E+09,4.0E+09,4.5E+10,7.3E+09,,,,,,,,,
1.6E+10,1.2E+09,3.0E+09,7.2E+09,,,,,,,,,
1.6E+09,2.0E+09,2.6E+09,2.9E+09,,,,,,,,,
1.2E+09,6.6E+08,1.3E+09,7.4E+08,,,,,,,,,
9.2E+08,3.9E+08,2.3E+08,2.0E+08,,,,,,,,,
1.2E+09,1.4E+09,1.4E+09,8.7E+08,,,,,,,,,
1.7E+09,1.1E+09,1.3E+09,6.8E+08,,,,,,,,,
7.2E+08,1.5E+09,2.6E+09,1.6E+09,,,,,,,,,
4.9E+08,3.5E+08,1.4E+09,2.4E+09,,,,,,,,,
3.7E+09,6.0E+09,2.3E+08,5.2E+07,,,,,,,,,
3.3E+09,2.3E+09,3.3E+09,6.8E+09,,,,,,,,,
1.9E+09,5.0E+08,1.9E+09,8.2E+09,,,,,,,,,
5.5E+09,6.9E+09,7.5E+09,6.0E+09,,,,,,,,,
4.5E+08,1.5E+09,2.3E+08,2.0E+09,,,,,,,,,
6.8E+10,5.9E+10,6.6E+10,3.3E+10,,,,,,,,,
1.0E+10,9.4E+09,1.3E+10,5.0E+09,,,,,,,,,
2.5E+09,2.0E+09,2.8E+09,1.1E+09,,,,,,,,,
5.0E+09,3.9E+09,8.7E+09,2.0E+09,,,,,,,,,
2.1E+10,1.4E+10,2.3E+10,1.3E+10,,,,,,,,,
1.9E+09,6.2E+08,1.9E+09,6.2E+08,,,,,,,,,
1.2E+09,2.1E+08,1.1E+09,2.6E+08,,,,,,,,,
9.0E+08,2.6E+08,7.6E+08,2.0E+08,,,,,,,,,
3.3E+08,9.5E+07,4.8E+08,1.2E+08,,,,,,,,,
1.3E+09,4.4E+08,2.0E+09,4.4E+08,,,,,,,,,
3.8E+09,1.1E+09,4.1E+09,8.6E+08,,,,,,,,,
1.1E+09,4.3E+08,7.2E+08,1.8E+08,,,,,,,,,
4.3E+08,1.1E+08,3.7E+08,9.0E+07,,,,,,,,,
5.1E+08,5.2E+07,3.5E+08,7.4E+07,,,,,,,,,
2.5E+09,7.4E+08,2.2E+09,4.0E+08,,,,,,,,,
1.2E+10,1.6E+10,1.2E+10,9.6E+09,,,,,,,,,
2.9E+08,2.4E+08,2.9E+08,2.4E+08,,,,,,,,,
7.2E+08,8.6E+08,5.9E+08,5.5E+08,,,,,,,,,
1.0E+08,4.6E+08,2.5E+07,3.6E+06,,,,,,,,,
4.3E+07,2.2E+07,3.6E+07,9.7E+06,,,,,,,,,
2.6E+08,1.5E+08,9.1E+07,6.4E+07,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
