126 Sn,127n Sn,127c Sn,128n Sn,128c Sn,129n Sn,129c Sn,130n Sn,130c Sn,131 Sn
6.01E-05,0.0001,0,0,1.7888,1.4637,0,0,2.8369,8.3027
3.2585,2.3879,2.4894,2.5964,3.7092,3.1192,9.4868,11,26.4,52.5
21.8,13.6,16.2,18,19.6,18.7,34.8,68.9,120.9,231.3
8.6834,8.9884,6.7049,10.8,9.9023,12.1,11.8,22.9,31.4,51.8
13.9,15.5,37,31.6,47.6,43.8,66,116,231,436.4
13.6,12.6,16.2,14.3,22.4,22.9,39.5,69.7,138.3,279.1
3.2339,3.1933,8.2689,7.8252,9.5718,10.3,17.5,28.5,61.9,97.6
11.9,13.3,20.2,12.3,19.6,21.1,32.8,53,82.3,169.4
2.1833,3.1044,7.9349,3.6485,6.0917,9.8933,14,24.4,41.4,78.4
29.6,29.7,39.2,33.7,37.8,33.5,28.7,32.8,39.9,45.9
3.4276,1.5846,1.7435,3.1419,8.9479,9.4791,12.3,29.1,52.8,94.2
8.2681,8.0671,11.4,13.3,12.1,16.4,26.2,49.1,95.8,193.1
8.9334,8.8011,11.2,9.265,9.509,12.2,24.2,40.5,73.3,127
0,0,1.4859,2.6077,1.9672,1.64,10.2,15.9,27,47.8
23.1,23.6,29.7,39.7,48.1,61.5,115.6,225,455.7,844.7
32.1,30.4,36.9,35.9,35.9,45.7,72.9,107.3,209.2,344.9
22.7,14.1,29.6,27,37.3,47.1,68.6,125.4,263,498.3
21.9,20.3,28.8,31.3,45.1,41.6,73.1,141.4,273.7,503.6
10.6,12.7,22,21.3,25.7,32.7,58.2,109.1,220.3,409.1
3.3146,2.9669,7.0935,7.592,7.3792,13.9,12.1,34.1,59.8,114.8
9.0947,10.7,9.1828,11.2,12.7,8.8412,11.4,9.2774,12.5,36.4
8.2907,7.3419,9.9401,10.2,11,11.3,20.2,28,47.6,88.4
3.9996,2.8528,6.2698,12,8.5929,12.5,21.5,45.5,84.5,163.6
77.9,73.3,116.6,111.2,155.1,173.8,345.1,677.5,1239.4,2290.3
17,19.3,25.4,27.5,39.7,47.1,79,159.2,337.2,619.7
18,21.7,17.8,22.8,19.8,28.3,36.1,66.4,113.6,219.2
18.8,25.1,26.7,30.2,25.4,30.2,55,103.9,156.3,274.5
21.3,28,34.8,36.6,44.5,53,102.8,190,360.8,648.5
6.7564,8.4232,11.9,13.5,15.5,17.8,33.3,63.9,126.9,214.1
19,17.8,27.3,21.1,24.1,29.3,50.8,107.3,204,352.3
18,16.1,23.9,30.6,30.5,35,67.1,134.9,239.8,473.2
23.5,24.8,33.9,35,31.8,34.8,43.6,60.3,92.1,140.3
10.1,11.7,18.1,17.3,24.3,19.4,34.3,79,136.6,252.3
34.5,39.3,45,56.2,72.7,75.1,153.4,304.6,605.6,1104.9
18.2,18.4,27.4,28.7,34.2,48.7,84.4,179,334,652.8
20.2,22.4,35.5,29.8,42.8,60.1,88,149.1,304,581.9
4.0584,2.7963,8.4927,8.2286,10.3,14.2,28,50.4,92.9,185
49.8,47.1,67,73.5,106,114.7,205.2,430.4,804,1553.2
26.5,21,28.3,34,42.3,57.2,104,191.2,381.8,705.2
19.3,21.4,31.9,33,44.9,42.1,76.5,137.4,283.5,518.3
23.2,17,22.4,26.7,33,34.5,79.6,152.5,274.3,539.3
20.6,16.9,24.5,24.4,27.9,38,60.7,113.3,210.6,370.9
11.8,11.6,11,12.5,18.1,18,23.5,44.2,78.4,140.5
2.7275,2.605,4.0116,2.9006,2.709,6.4388,9.2537,10.8,20,27.5
22.6,22,30.5,36.3,39,49,88.3,198.7,366.6,707.4
17.7,18.5,28.8,32.5,34.5,46,76.2,146.8,293.9,556.5
3.8742,3.0006,3.4899,8.142,8.7473,10,22.2,46.2,74.2,145.6
4.1497,3.0524,3.2372,2.5305,2.8514,3.2464,8.3252,13.1,19.7,44.2
26,20,26.9,32.5,38,40.9,81.6,147.5,288.7,525.4
13.7,9.1021,12.4,15.2,28.2,27.3,41.8,77.3,167.5,314.7
12.5,12.2,21.5,16.9,19.4,23.6,33.1,50.7,93.8,201.2
15,16.2,17.8,17.7,19.6,16.7,28.4,46.3,88.8,155.7
9.4437,9.2453,11.9,13.2,18,18.9,35,63,106,200.3
20.1,19,23.6,27.8,36.9,38.7,77.5,155.6,283.9,527.3
8.9014,6.93,12.3,18.5,20.5,21,41.4,69.8,158.2,305.6
19.8,22.2,27.9,34,41,46,98.2,178.7,359.8,699
20.8,18.1,26.3,25.9,34.3,32.9,80.6,141.4,275.4,515.1
3.5818,8.5729,6.6619,3.7657,8.0306,6.8036,8.1918,24.6,42.7,75.7
15,19.5,29,28.1,37.7,38.8,70.2,135.2,251.7,453.7
17.7,17.1,25.2,23.1,21.9,24.4,25.6,36.6,47.6,82.7
11.7,11.6,13.4,9.9884,13.4,16.3,22,36,71.7,135.4
23.5,25.5,24.2,38.7,38.4,41.1,82.4,164.4,294.4,540.8
0,0,1.8461,2.1042,1.423,1.7644,7.4918,13.7,33.3,60.5
41.8,44.5,60.4,70.7,77.3,90.6,178.1,346.6,630.1,1207.1
38.7,30.2,51.4,48.1,68,77.8,140.2,267.9,539.4,991.8
4.3113,2.8595,4.1435,6.9755,5.7375,7.3475,20.2,29.9,80.1,137.7
22,25.8,24.7,34.5,40.6,49.2,81.9,177.1,308.4,540.6
16.3,18.1,21.4,26.8,24.5,35.2,46,108.4,234.8,436
107.8,110.3,125.5,170,193.3,251.2,506.6,1021.7,1935.4,3523.3
30.4,24.8,41.8,44.8,57,75.5,105.6,250.6,481.6,946.2
34.6,31.8,39.6,33.5,35.8,53.1,58.2,73.6,117.4,204.6
9.152,7.7191,3.3273,10.6,10.4,13,14.7,20.5,35.3,52.8
19.3,23.2,31.8,36.7,42.2,50.6,120.4,197.5,387.8,701.2
0,2.4083,3.2759,3.2918,3.0706,3.0717,8.1808,19.6,35,64.4
24.9,18.2,32.3,31.7,35.5,51.1,99.6,199.9,370.5,671.3
3.2497,5.5753,6.5158,6.3354,7.7736,7.7419,11.9,18.4,39.2,63.4
22.1,23.9,25.1,30.5,38.9,45.1,87.6,164.6,294.8,549.8
11.3,12.5,19.1,19.1,24.7,26.5,59.5,99.5,189.4,341.6
9.0386,9.2196,10.6,10.6,9.0874,13.8,19.5,22.2,42.2,85.8
44.2,46.7,59.1,68.1,79.7,99.8,170.1,370.6,719.4,1344.1
47.3,42.4,57.5,65.1,81.1,94.9,191.3,365.1,705.5,1306.6
7.2694,9.5431,12.2,12,15.1,11.9,20.1,36.9,66.6,118.7
7.6167,9.5862,9.3856,11.3,14.8,12.5,18.6,27.8,30.9,71.4
25.3,19.1,38.2,32.2,45.8,47.8,100.7,158.7,336.7,650.5
24.3,26,36.6,40.8,45,45.1,86.4,194.6,411.7,771.3
42.1,46.3,47.1,73.7,79.7,95.1,182.9,366.2,705.7,1307.3
33.2,30.4,31.4,46.4,50.5,73.4,118,229,449.6,845.5
24.9,25.3,25.5,27,40.3,54.9,93.5,193.7,371.6,767.3
82.3,83.3,99,113,137.3,155.7,235.1,419.3,761.7,1407.6
35.4,33.4,40.2,47.7,65.9,75.2,127.6,242.1,495,936.9
23.8,20.6,29.5,29.5,28,36.6,54.6,126.7,190.2,377.8
22.1,16.3,17.8,26.6,25.5,34.4,62.8,124.4,199.7,386.6
10.2,15.2,15.3,18.9,19,24.8,36.6,69.2,131.2,261.8
53.3,44.7,62.4,82.5,90.7,106.4,212.4,445.8,831.7,1521.8
29.3,24.3,30.1,40,46.7,47.6,92.6,190.9,347.7,666.7
2.4811,2.6074,3.162,3.4033,8.0353,10.1,14.8,31.1,62.7,112.6
18.9,20.9,22.1,28.3,33,34.8,58,122.1,223.2,397.9
2.40E-08,8.50E-08,0,0,0.0007,0.0012,0,0,3.3474,3.9088
32.2,28.5,37.5,43.8,56.8,63.3,134.7,268.5,505.5,937.9
16.8,12.4,19.2,23,30.1,35.1,64,128.1,242.4,453.6
21.3,20.7,28.9,30.9,28.5,37,61.5,112.2,203,368.7
26.8,25.2,36.8,41.8,46.4,55.5,109.6,199.4,413,758.8
21.1,22,27,20.6,38.9,39.5,70.6,155.6,318,587.4
10.8,12.5,11.4,14.5,17.5,21.8,42,81,169.8,309
24,21,37.4,35.9,49.1,56.8,96.3,190.7,360.2,653.4
9.0907,8.3462,7.5921,9.6512,10.7,8.3725,19.5,38.8,76.8,148.1
48.4,48.9,53.8,55.8,62.3,70.4,77.1,111.8,167.9,252.6
22.5,19.3,26.5,26.7,41,45.3,64.8,146.7,290,547.9
3.2888,3.3304,12.1,18,17.6,19.3,39.7,67.5,156.4,288.6
31.6,37.3,42.3,49.3,54.2,64.8,127.9,269.6,487.6,920.4
21.9,22.9,28.3,28.1,31,30.9,51.4,74.8,137.5,257.2
17.1,13.8,21.9,23.3,27,32.1,59.3,100.5,199.6,354
36.2,60.9,114.3,81,142.2,164,194.2,202.5,443.3,927.4
23.2,24.6,31.3,32.3,43.6,50.7,88.8,163,347.3,685
15,14.3,19.6,20.4,23.6,32.7,52.7,107.8,219.7,425.1
24.5,26.1,29.9,32.1,36.4,43.1,78.3,152.4,290.6,522.9
35.8,37.2,48,55.5,74.2,78.5,140.6,267.2,489.9,931.8
0,0,2.9037,3.0115,1.9744,2.4687,7.8293,16.8,32,65.8
15,19.4,31,22.8,36.4,38.8,70.9,148.8,304.3,590.3
11.7,8.6658,13.5,17.9,17.5,25.4,42.3,100.5,158.2,321.9
33.6,31.8,52.7,59.7,59.7,68.8,148.9,325.9,568.6,1084.4
3.5989,9.0834,12.3,13.8,16.1,20.1,33.6,56.7,119.6,245.7
22.2,23.6,42.3,39,50.3,59.4,107.4,217,419.6,818.9
16.7,8.5214,14.8,15.5,17.2,22.9,40,63.9,120.5,262
29.2,28.1,45.3,36.8,56.1,54.6,104.5,212.4,406.4,760.6
21.5,24.1,34.6,40.3,38.8,50.1,99.5,185.2,348.9,680.7
12,13,21.4,22.9,24.4,29.6,61.5,110.5,207.1,421.9
14.7,18.1,21.5,20,24.9,28.1,59,114.4,198.7,383.5
10.1,12.9,13.3,15.6,20.9,30.3,48.5,93.3,188.6,350.6
27.7,23.3,37.6,37.3,45.2,50.7,116.1,206.7,376.9,775.4
25,21.2,29.5,23.3,30.9,30.5,30.2,52.5,102.2,141.7
14.5,14,19.5,21.6,25.5,26.8,44.9,89.9,171.4,314.8
20.1,19.3,23.2,23.3,27.9,35.3,57.6,111.5,204.2,375.6
17.9,20.9,26.3,31.1,38.9,45.6,92.7,156.2,293.1,578.3
47,42,64.4,66.9,101.9,109.4,193.6,402.7,748.9,1374.5
22.4,16.4,25.9,24.6,30.3,41.4,82.2,170.5,313.4,591.7
4.1188,3.711,3.9648,8.9565,12.4,9.5916,19.5,40.9,94.5,181.1
17.2,15.3,24.7,25.7,33.5,34.8,71.1,151.7,282.9,506
8.7705,4.0171,8.0342,6.4263,11.2,15.4,20.9,40.8,81.8,133.7
39,53,84.7,73.3,118,132.3,201.3,292.3,566.1,1163.9
44.5,48.8,56.6,55.6,75.2,80.3,128,256.2,473.7,849.5
13.3,10.8,19.1,21.9,24.9,32.1,60.8,122.5,218.8,417.3
24.9,23.8,32,30.6,30,32.1,48.5,78.7,149,232
23.4,22.6,27,35.5,37.1,45.1,86.9,171.8,360.6,656.6
22.3,21.7,20.4,24.5,36.9,42.4,83.3,176.9,323.5,607.3
10.5,8.7039,12.3,10.6,15.4,18.1,30.6,75.4,135.3,255.7
13.1,14,22.2,22.4,35.9,27.5,60.3,86.5,163.3,314.6
12.4,9.8635,17.9,15.2,20.9,28.8,45.6,76.2,147,292.8
70.5,70.1,92.2,94,80.5,96.1,96.1,127.5,165.7,263.9
36.1,33.1,49.1,53.3,67.3,81.3,146.7,304.1,567.9,1101.1
14.8,7.1945,15.1,22.7,21.4,20.7,37.6,97.2,184.2,318
26.6,23.5,33.5,37.1,54.4,57.5,116.9,221.4,408.4,787
16.8,21.1,21,22.6,27.7,33.9,65.7,117.2,259.7,446
11.5,11.6,11.1,20.4,22.6,26.2,41.8,90.2,158.2,306.7
12.2,12.7,16.3,13.3,18.3,23.1,29.5,54,88.7,176.6
9.1114,11.4,14.5,13.8,14.6,18.9,35.4,74.6,140.5,257
25.4,26.5,43,48.2,67.9,77.3,133,279.1,566.4,1059.7
14.6,9.9748,23.2,19.2,21.9,26.5,39.8,88.6,173.3,288.6
23.8,16.5,26.4,29.1,41.7,41.7,67.8,134.2,234.2,459.7
9.1553,8.3282,13.2,14.2,18.3,19,43.1,78.4,150.8,289.3
18.8,11.1,16.7,17.9,22.7,30,50.6,116.3,184.1,347.4
15.4,13.2,26.1,24.9,32,36.8,55.1,102.4,187.9,363.7
24.8,22.4,36.7,38.9,38.4,54,95.4,149,287.5,576.1
43,41.9,51.9,66.6,77.4,94.2,169.7,346.6,666.2,1256.9
87.4,66.7,115.5,148.6,164.6,187.4,363.2,730.7,1353.9,2485.5
13.4,9.8275,16.2,18.1,23,20.8,40.9,84.6,142.8,267.3
42.1,34.5,57.6,59,67.1,75.4,166.9,302,585.3,1076.4
22.8,24.9,32.7,31.8,34.5,34.1,63.7,123.2,202.3,380.5
15.8,18,20.6,19.1,31.7,40.4,57.6,103,189.9,356.2
24.3,21.1,29.9,34.1,43.2,42.6,62.6,104.2,167.6,321.9
70.7,76,93.3,75.7,99.9,95.5,114.7,130.7,180.9,314.8
3.1181,11.4,14.2,8.2389,15.7,15,35.5,78.9,135.9,282
23.4,18.1,24,23.8,32.9,38.8,54.4,82,155.4,295.1
5.9441,2.011,3.7411,7.9435,8.0706,8.7234,20.8,31.9,69.9,117.6
8.7285,8.7393,9.7538,15.5,18,16.4,44,74.9,145.2,269
55,49.3,52.1,61,49.4,46.6,62.6,80,91.5,122.2
10.3,11,11.1,14.9,15,17.6,23.3,41.6,75.1,147.9
91.4,62.4,108.5,124.2,159.2,170.2,329.5,690.5,1284.2,2378.2
25.8,26.9,35.5,40,44.4,52.5,88.4,170.9,323.9,631.6
23.5,22.2,26.1,26.3,27.6,31.2,38.8,64.2,115.6,179.6
27.1,23.5,37.2,36.8,42.4,46.2,85,153.7,261.5,483.3
7.8662,12.2,11.4,11.1,15.4,16.7,20.7,35.5,55.5,118.8
31.3,23.7,38.5,39.3,37.3,49.1,66.2,128.5,234.3,410.3
22.1,21.4,37,35,47.1,52.4,98.5,178.6,336.1,645
8.7836,11.3,11.3,14.4,15.8,19.5,35.7,72.4,135.6,247.6
15.6,13.7,20.5,17.4,29.7,25.3,48.7,69.1,140.9,283.2
28.9,27.9,43.7,47.2,57.2,63.1,129.6,243.3,466.9,834.1
4.3667,6.9227,7.6664,9.9204,15.2,13.7,34.5,54.9,109,202.3
16.3,23.2,24.7,28.5,38.7,47.4,73.9,151.8,305.7,584.8
9.2707,12.2,12,13.7,18.3,19.7,49.9,72.3,145,281.7
3.6887,8.0428,7.6441,12.8,13.9,14.4,27.8,57.7,112.8,227.2
