Bcells_H9_ne,Bcells_H10_ne,Bcells_H11_ne,Bcells_H3_ne,Bcells_H1_ne,Bcells_H2_ne,CLL1_ne,CLL10_ne,CLL11_ne,CLL14_ne,CLL15_ne,CLL16_ne,CLL2_ne,CLL4_ne,CLL8_ne,,,,,,,,,,,,,,,,,,,,,,,,,
19.5522,25.5307,21.6521,22.4259,17.4336,21.5125,23.8404,20.5054,22.2133,18.7181,23.3811,23.7461,21.9106,23.4374,23.7729,,,,,,,,,,,,,,,,,,,,,,,,,
22.6613,21.237,20.0612,17.9443,18.4408,21.3831,22.4251,17.7421,21.1016,18.0698,20.4193,25.3687,21.1073,20.0948,19.8791,,,,,,,,,,,,,,,,,,,,,,,,,
23.8859,25.14,24.7598,24.2376,23.2297,24.0266,21.3046,21.5932,22.0867,21.8829,23.5874,23.0296,21.7175,23.4641,23.7466,,,,,,,,,,,,,,,,,,,,,,,,,
18.1585,19.338,17.8955,17.0376,18.5793,17.1811,19.7316,21.163,17.0706,21.802,21.2939,21.4057,17.4654,16.9841,17.0157,,,,,,,,,,,,,,,,,,,,,,,,,
22.4806,21.4078,21.4366,18.2123,19.5718,18.3463,21.7674,21.4538,17.1724,21.2986,17.0337,17.3647,17.5633,20.6934,20.8076,,,,,,,,,,,,,,,,,,,,,,,,,
18.8735,19.2691,17.5524,18.9297,17.2912,17.0363,19.498,16.8069,17.4701,16.7788,17.1348,17.4638,17.8494,17.0836,17.1198,,,,,,,,,,,,,,,,,,,,,,,,,
21.0889,21.8952,22.4312,16.8917,17.9614,17.7178,17.4184,16.9113,21.3785,16.8824,17.4306,21.1643,25.4383,21.9957,21.2111,,,,,,,,,,,,,,,,,,,,,,,,,
20.2734,21.6297,19.0183,18.7087,19.3141,19.7299,18.7295,19.0948,20.1817,20.1621,19.2191,17.8387,18.2998,19.0307,20.8355,,,,,,,,,,,,,,,,,,,,,,,,,
23.4688,18.0327,20.5187,21.823,22.3904,20.6232,21.9052,22.4188,20.2826,22.3235,22.4735,21.8636,22.7673,24.6236,20.4597,,,,,,,,,,,,,,,,,,,,,,,,,
17.0681,17.9087,21.5159,22.1291,22.342,22.178,21.9334,23.4462,21.9923,17.1855,22.59,22.4731,22.9857,22.1519,23.1808,,,,,,,,,,,,,,,,,,,,,,,,,
18.9115,18.6419,17.756,16.8013,17.918,17.0353,18.5942,17.2164,17.9387,17.6624,17.896,19.075,17.6783,17.3745,17.4242,,,,,,,,,,,,,,,,,,,,,,,,,
22.3677,21.3209,22.1907,18.9946,21.5761,19.479,19.9591,19.9139,18.9587,20.477,20.3239,21.273,22.6342,20.093,18.2413,,,,,,,,,,,,,,,,,,,,,,,,,
21.5734,21.5168,22.5046,21.667,21.7399,21.8089,22.4693,20.4037,20.1297,22.1211,21.6411,20.5236,17.561,24.1169,20.637,,,,,,,,,,,,,,,,,,,,,,,,,
20.7649,23.1425,23.656,22.204,18.6245,19.9885,19.3188,20.3565,17.2921,17.0042,19.6329,20.073,18.9732,19.9139,18.7687,,,,,,,,,,,,,,,,,,,,,,,,,
23.1474,23.6383,22.5029,22.2128,21.3074,20.6535,25.0259,24.466,21.2325,19.4397,21.6056,24.8413,22.3935,22.027,26.2184,,,,,,,,,,,,,,,,,,,,,,,,,
