LFQ intensity IN_1,LFQ intensity IN_2,LFQ intensity IN_3,LFQ intensity IN_5,LFQ intensity IN_6,LFQ intensity PD_1,LFQ intensity PD_2,LFQ intensity PD_3,LFQ intensity PD_5,LFQ intensity PD_6
279660000,266220000,266160000,470730000,296550000,0,0,0,0,0
58748000,72424000,62834000,70547000,86340000,0,0,0,0,0
39775000,27312000,33880000,32080000,34587000,0,0,0,0,0
6471600000,4975600000,7446400000,5636400000,7911200000,6553600000,6313500000,7269800000,7108900000,10755000000
4276700000,4125200000,4785700000,3994100000,4461200000,23184000000,42242000000,38746000000,33916000000,35184000000
52985000,60701000,35510000,67206000,45856000,90312000,70734000,111330000,96384000,62589000
25276000,16327000,19628000,14355000,16053000,0,0,0,0,0
935220000,207810000,2100700000,235630000,846990000,166290000,169300000,154050000,68577000,204900000
4275500000,6342800000,3402300000,9777500000,4151800000,0,0,0,0,0
20166000000,19815000000,15290000000,16427000000,14687000000,3537300000,3499700000,3991100000,4098900000,3066400000
2557200000,1421200000,1804800000,2213400000,2068600000,57415000,7157600,64427000,38830000,46987000
2689100000,4959900000,2220000000,3680800000,2999300000,103810000,76293000,92534000,62686000,119860000
2559700000,2458400000,2436400000,2416200000,1995000000,1412800000,1494700000,1938500000,1713300000,1385700000
58003000,64623000,77255000,109140000,106600000,0,0,0,0,0
45596000,28170000,37974000,33708000,56983000,0,0,0,0,0
0,0,52189000,53648000,0,0,0,0,0,0
51845000,19070000,55518000,31086000,29577000,0,0,0,0,0
22564000,40043000,35733000,44635000,51724000,0,0,0,0,0
7427800,109440000,8060100,18845000,48429000,16504000,91874000,273000000,130890000,0
6289200,0,0,18506000,0,0,0,0,0,0
31250000,32245000,26486000,38020000,35089000,0,0,0,0,0
265100000,298880000,569080000,257370000,643610000,200870000,163650000,33738000,0,0
15379000,10931000,14610000,7836800,9374600,0,0,0,0,0
2389100000,805420000,1769800000,1077100000,2702600000,3982400000,3207100000,4275100000,2081100000,5286800000
108700000,116640000,120270000,119670000,105050000,0,0,0,0,0
334920000,259740000,214100000,184720000,191410000,435690000,204960000,459590000,191690000,283430000
138970000,139630000,170110000,91442000,114210000,0,0,0,0,0
0,11095000,0,0,6796600,0,0,0,0,0
9977800000,6768100000,7553600000,7224100000,9244400000,0,0,0,0,0
943930000,669140000,412520000,487920000,956680000,524310000,666990000,687030000,596420000,702870000
41892000,50619000,16705000,40797000,41652000,0,0,0,0,0
243840000,202440000,168120000,172440000,142960000,0,0,0,0,0
634400000,485230000,658040000,548720000,604660000,0,0,0,0,0
112660000,77720000,104290000,108250000,121470000,0,0,0,0,0
109090000,109550000,166850000,181600000,190640000,0,0,0,0,0
197210000,156420000,194690000,86606000,201580000,0,0,0,0,0
