Rep1,Rep2,Rep3,Rep1,Rep2,Rep3
0.1917,0.0574,0.1046,ND,0.1301,ND
ND,ND,ND,0.13,0.0278,0.0992
ND,ND,ND,ND,0.4433,ND
ND,0.1937,0.0739,-0.1234,0.2946,0.1065
ND,0.2116,-0.1338,ND,ND,ND
ND,0.0437,-0.1421,ND,ND,ND
ND,-0.1311,0.0528,-0.0644,ND,-0.0175
ND,ND,ND,ND,0.2051,ND
ND,-0.0723,ND,ND,ND,ND
ND,ND,ND,ND,0.0867,ND
0.2656,-0.3741,0.1445,ND,ND,ND
0.217,0.1203,0.1463,ND,ND,ND
0.4584,0.0104,ND,-0.1168,ND,-0.0445
0.2055,-0.1193,0.0777,0.1829,-0.0502,0.151
0.4055,-0.4416,0.2364,ND,ND,2.9387
ND,-0.0181,ND,-0.0709,0.4001,-0.0959
-0.0823,0.2104,-0.1919,-0.0581,-0.0722,-0.3528
-0.3484,0.2466,-0.048,ND,ND,ND
-0.1015,0.1688,-0.2291,-0.0408,ND,ND
ND,ND,ND,ND,-0.0267,ND
0.0495,0.0078,-0.0428,ND,0.0164,0.0086
ND,ND,ND,ND,ND,0.2467
ND,ND,ND,-0.2115,0.1623,-0.0678
0.2667,-0.1124,0.1526,0.1182,ND,0.1196
ND,ND,ND,ND,-0.0207,0.1724
ND,ND,ND,0.1195,ND,0.0846
ND,ND,ND,0.0393,ND,ND
ND,ND,ND,ND,0.0449,ND
-0.0076,0.1545,ND,ND,ND,ND
ND,0.1327,-0.1808,ND,ND,ND
0.1554,-0.2721,ND,ND,ND,ND
0.1949,ND,0.2287,0.0789,-0.0043,0.0279
0.0887,0.1528,-2.0305,ND,ND,ND
0.2081,-0.0596,-0.0314,ND,ND,ND
0.3271,-0.0309,0.1804,ND,ND,ND
ND,-0.2831,ND,0.1182,-0.2898,0.1663
-0.068,0.2683,-0.0642,ND,ND,ND
ND,ND,ND,0.182,-0.0665,0.1324
0.2349,0.0198,0.1391,0.195,0.0654,ND
0.2842,-0.0694,0.153,0.2303,-0.125,0.2088
0.3259,0.0114,0.2348,ND,ND,ND
ND,ND,0.1825,ND,ND,ND
0.303,0.0437,0.0871,ND,ND,ND
0.2567,0.0206,0.1982,0.2409,0.0423,0.1909
-0.0909,0.0379,0.1586,ND,ND,ND
0.0101,-0.0822,0.4663,ND,ND,ND
-0.1627,-0.1146,0.7285,ND,ND,ND
0.1309,-0.1336,0.922,ND,ND,ND
-0.017,-0.0146,0.5716,0.2389,0.0411,0.2042
0.1045,-0.4732,0.4541,ND,ND,ND
0.2638,ND,ND,0.1878,0.0147,ND
ND,-0.4329,0.258,ND,ND,ND
-0.0887,-0.0619,0.506,ND,ND,ND
0.1885,-0.0362,0.1881,0.2659,0.0028,0.1573
0.1486,ND,0.2157,ND,ND,ND
0.2113,ND,0.5006,ND,ND,ND
0.2889,ND,ND,0.2588,0.077,0.1505
0.037,-0.0088,0.5229,0.2312,-0.0481,0.2927
0.3272,-0.0236,ND,0.1903,ND,0.138
-0.013,0.2264,0.2843,0.0935,ND,0.0666
ND,ND,ND,ND,ND,0.1471
ND,ND,ND,0.1986,ND,ND
ND,-0.1559,ND,ND,ND,ND
ND,-0.0673,0.1968,ND,ND,ND
ND,0.1396,ND,ND,ND,ND
ND,0.0767,ND,ND,ND,0.1812
ND,ND,ND,ND,ND,0.1678
ND,ND,ND,-0.0402,-0.0259,-0.3287
-0.1275,-0.1177,0.1058,ND,ND,ND
0.0391,-0.0585,0.2397,0.2345,ND,ND
0.1266,ND,0.2889,ND,ND,ND
0.0045,-0.0011,0.386,0.052,0.0056,0.0472
0.9195,ND,0.2169,0.3828,ND,0.1694
-0.382,0.08,0.2798,ND,-0.2052,ND
ND,-0.0485,ND,ND,ND,ND
0.3012,0.021,0.2123,ND,ND,0.0699
ND,-0.2604,0.4759,ND,ND,ND
0.3254,0.0102,ND,0.1687,-0.0056,0.2679
ND,ND,ND,0.3606,ND,0.1891
0.3526,ND,0.4301,0.1776,ND,0.3092
0.2565,0.0261,ND,0.2319,ND,ND
0.3329,0.0171,0.2137,0.1621,-0.1392,ND
0.3162,0.0446,0.196,0.1907,0.0491,0.1439
ND,-0.0245,0.2832,-0.0489,0.0991,0.3134
-0.0593,-0.2422,0.453,ND,ND,ND
ND,0.0855,0.315,ND,ND,ND
ND,0.0875,ND,ND,ND,0.369
ND,-0.0094,0.4476,ND,ND,ND
0.3533,0.0687,0.2416,0.1291,0.0568,0.0871
0.3404,0.0713,0.2388,0.2229,0.0739,0.2044
0.0912,-0.0021,ND,-0.0301,ND,0.0301
ND,0.1243,ND,ND,ND,ND
0.3777,-0.1156,0.0811,0.354,ND,0.3934
0.3773,ND,0.2492,ND,ND,ND
ND,-0.2196,0.2574,ND,ND,ND
ND,ND,0.0435,ND,ND,ND
ND,0.3759,-0.2927,ND,ND,ND
ND,0.1727,ND,ND,ND,ND
ND,ND,ND,0.3417,0.0678,0.424
ND,ND,ND,-0.0961,0.3491,-0.2169
-0.2579,ND,-0.3496,ND,ND,ND
-0.2222,0.2512,-0.1237,-0.6323,0.1373,-0.1142
ND,ND,ND,0.0141,0.2745,0.0136
ND,ND,ND,ND,0.3553,ND
ND,ND,ND,-0.2345,0.5817,ND
ND,ND,ND,0.0171,ND,ND
ND,ND,ND,ND,-0.173,0.4573
0.2023,-0.0433,ND,0.1201,1.2947,0.1467
0.1806,-0.0847,0.1354,0.0821,0.0707,ND
ND,ND,ND,0.1152,0.0766,ND
ND,ND,ND,0.0817,0.0581,0.2483
-0.0457,-0.0199,-0.6625,ND,ND,ND
0.0524,0.0868,0.1093,-0.1313,0.1798,0.0073
0.2241,ND,0.1974,ND,ND,ND
0.0734,-0.0153,-0.0059,0.0885,0.1076,0.1115
ND,0.0924,0.2869,ND,ND,ND
ND,ND,ND,0.1313,-0.0558,-0.0048
ND,0.0639,ND,ND,ND,ND
