Rep1,Rep2,Rep3,Rep1,Rep2,Rep3,Rep1,Rep2,Rep3,Rep1,Rep2,Rep3, 
0.2397,0.2347,-0.4747,ND,ND,ND,0.2257,0.2791,-0.1545,ND,ND,ND,
ND,ND,ND,0.1847,0.2424,0.1617,ND,ND,ND,0.1672,0.9998,0.2991,
ND,-0.3157,ND,ND,0.1939,0.2548,ND,0.4857,ND,ND,0.2779,-0.1950,
-0.2127,0.5277,ND,ND,ND,ND,-0.4828,0.6294,ND,ND,ND,ND,
ND,-0.1587,ND,0.5444,ND,0.1515,ND,-0.4756,ND,-0.3132,ND,0.3287,
ND,ND,0.9665,ND,ND,ND,ND,ND,1.5926,ND,ND,ND,
0.4819,0.2685,ND,ND,ND,ND,0.9324,0.2585,ND,ND,ND,ND,
0.2716,0.3135,-0.3146,0.7988,ND,0.8256,0.2646,0.3162,0.7246,0.1872,ND,0.7658,
0.3762,0.2393,-0.3877,0.2472,ND,-0.1866,0.1822,0.4166,0.4427,-0.1779,ND,-0.1476,
ND,0.2513,-0.4161,0.2224,0.2361,-0.1333,ND,0.1287,0.9838,-0.1172,0.4846,0.1194,
ND,ND,ND,ND,0.3397,-0.4493,ND,ND,ND,ND,0.7669,-0.1765,
0.4747,0.2291,-0.3346,ND,ND,ND,0.8762,0.1265,0.4926,0.1426,0.1644,0.4457,
0.9345,0.7180,0.1942,-0.8750,-0.3649,ND,-0.1756,0.8955,-0.7279,0.2359,-0.3354,0.6918,
ND,-0.5963,ND,ND,ND,ND,ND,0.1788,ND,ND,ND,ND,
0.1228,0.7292,0.8871,ND,ND,ND,-0.6433,0.7332,0.3952,0.3115,ND,ND,
ND,ND,0.3655,0.8155,0.9870,0.7875,ND,ND,-0.4826,0.1173,0.7654,0.1949,
ND,ND,ND,0.1172,0.3413,0.2845,ND,ND,ND,-0.1353,-0.2142,0.2375,
ND,ND,ND,ND,0.1865,-0.1239,ND,ND,ND,ND,0.3250,-0.3255,
ND,ND,0.5199,ND,ND,0.1256,0.6423,ND,0.2342,ND,ND,0.1992,
ND,ND,ND,ND,ND,0.3156,ND,ND,ND,ND,ND,0.1561,
-0.4534,ND,ND,ND,ND,ND,0.2429,ND,ND,ND,ND,ND,
-0.1686,0.8848,0.2338,ND,ND,ND,-0.2197,0.8897,-0.7655,ND,ND,ND,
ND,ND,-0.1333,ND,ND,ND,ND,ND,0.4253,ND,ND,ND,
-0.1892,ND,0.1214,0.1273,0.2285,-0.1157,0.6397,ND,-0.1597,0.1442,0.8395,-0.2918,
0.3839,-0.7366,-0.1759,ND,ND,ND,0.2416,-0.3716,0.2725,ND,ND,ND,
0.3232,0.5543,-0.1839,ND,ND,ND,0.2928,0.1246,0.3316,ND,ND,ND,
ND,0.2615,0.1842,0.2253,ND,-0.1319,ND,-0.2334,0.6870,0.1545,ND,0.7947,
0.1557,1.5536,ND,ND,ND,ND,-0.6578,1.4220,ND,ND,ND,ND,
-1.5142,-0.7342,1.5487,-0.1138,0.3366,0.1166,-0.1895,-0.8352,1.1117,0.5335,0.1335,0.2898,
0.1622,1.4380,-0.1174,0.2965,0.3289,0.1372,0.1842,0.2163,0.4525,0.2434,0.1732,0.2991,
ND,-0.1312,0.4537,ND,ND,ND,ND,-0.2457,0.3198,ND,ND,ND,
-0.5584,-0.4194,0.5494,0.1216,0.1555,-0.6118,0.4811,-0.2437,0.2633,0.4814,0.6173,0.2297,
-0.2644,ND,ND,ND,ND,ND,0.1469,ND,ND,ND,ND,ND,
0.3612,ND,ND,ND,ND,ND,0.3993,ND,ND,ND,ND,ND,
-0.7987,0.2764,ND,ND,ND,ND,0.2385,-0.2138,ND,ND,ND,ND,
-0.6162,-0.4862,0.8746,ND,ND,ND,0.3479,-0.3287,0.8674,ND,ND,ND,
ND,-0.1832,0.4983,ND,ND,ND,ND,-0.2498,0.4728,ND,ND,ND,
0.3195,-0.2682,0.4154,0.1513,0.8318,-0.3426,0.6143,-0.2663,0.2419,0.1854,-0.8848,0.3590,
0.4827,-0.2386,0.4143,0.1885,0.2565,0.2639,0.5948,-0.2119,0.3564,ND,-0.5973,0.3993,
ND,ND,0.4777,ND,ND,ND,ND,ND,0.4947,ND,ND,ND,
ND,ND,ND,ND,0.5542,0.1671,ND,ND,ND,ND,-0.9397,0.2592,
0.3248,-0.2587,0.6268,ND,ND,0.4173,0.2914,0.6382,0.6553,ND,ND,0.4979,
0.2192,ND,0.4430,ND,ND,ND,0.4645,ND,0.3877,ND,ND,ND,
0.2873,-0.2411,ND,ND,ND,-0.1473,0.3782,-0.3486,ND,ND,ND,0.2788,
0.4637,ND,ND,ND,ND,ND,0.3365,ND,ND,ND,ND,ND,
-0.8994,-0.7876,1.3278,-0.2977,-0.3800,0.6645,0.1156,-1.1479,1.3123,0.1853,-0.4137,0.6228,
0.7877,ND,0.9795,0.4496,ND,-0.6480,0.3767,ND,0.4769,0.5124,ND,0.2464,
-0.9348,-0.1446,0.8712,ND,ND,ND,-0.2767,-0.2678,0.6583,ND,ND,ND,
ND,ND,0.1424,ND,ND,ND,ND,ND,0.6789,ND,ND,ND,
ND,-0.1685,0.6239,0.1516,ND,0.4112,ND,-0.2247,0.3174,0.6270,ND,0.1921,
ND,ND,ND,ND,ND,-0.3167,ND,ND,ND,ND,ND,0.2364,
0.3392,-0.1584,0.1550,ND,0.1718,-0.1812,0.4574,-0.9793,0.6665,ND,-0.1125,0.2951,
-0.7757,0.4187,1.1588,ND,ND,ND,0.1978,-0.3484,0.9743,ND,ND,ND,
-0.1897,ND,ND,ND,ND,ND,0.3637,ND,ND,ND,ND,ND,
-1.2894,ND,0.7525,-0.1375,ND,-0.4518,-0.1799,ND,0.8974,0.8486,ND,0.2390,
0.9284,-0.2298,0.4374,0.8782,0.2872,-0.7628,0.5282,-0.2357,0.2366,-0.4876,0.1487,0.1574,
ND,ND,0.2165,ND,ND,ND,ND,ND,0.2764,ND,ND,ND,
-0.4175,-0.1192,0.4322,0.2998,0.1269,-0.1194,0.2818,-0.2900,0.4812,0.9728,0.2462,0.2337,
0.5964,0.3893,ND,0.9458,0.3154,-0.2839,0.5367,-0.1465,ND,0.1237,0.1552,0.1361,
0.1132,-0.7129,0.3476,ND,0.4117,ND,0.5773,-0.1452,0.2756,ND,0.2314,ND,
ND,ND,1.1725,ND,ND,ND,ND,ND,1.5789,ND,ND,ND,
-1.3175,-1.2548,1.1737,ND,ND,ND,0.2877,-1.3467,1.4379,ND,ND,ND,
ND,-0.9432,ND,ND,ND,ND,ND,-1.2298,ND,ND,ND,ND,
0.2315,ND,0.2317,ND,ND,ND,0.5538,ND,0.1625,ND,ND,ND,
-0.8985,-0.3134,1.4684,0.5695,0.1689,-0.1161,0.2785,-0.7598,1.1141,-0.9635,-0.1416,0.2913,
-0.7274,-0.1614,1.5949,ND,ND,ND,0.1867,-0.7767,1.4212,ND,ND,ND,
-0.3188,0.1179,1.2235,ND,ND,ND,0.4375,-0.4646,0.9869,ND,ND,ND,
