Rep1,Rep2,Rep3,Rep1,Rep2,Rep3
0.1349,-0.0425,0.1342,ND,ND,ND
ND,ND,-0.0944,ND,ND,ND
-0.1257,0.2096,-0.2568,ND,ND,ND
-0.0217,0.0709,-0.1028,0.0243,-0.1815,-0.4462
-0.2454,ND,0.0274,ND,ND,ND
-0.0116,0.1145,-0.0329,ND,ND,ND
-0.0935,0.0730,-0.1426,ND,ND,ND
-0.3301,0.4496,-0.1029,ND,ND,ND
-0.1365,ND,ND,ND,ND,ND
-0.0683,0.1679,-0.0402,ND,ND,ND
-0.0033,0.1491,ND,ND,ND,ND
0.1660,ND,ND,ND,ND,ND
-0.1598,-0.0402,-0.1390,ND,ND,ND
-0.2293,0.2193,-0.2786,ND,ND,ND
-0.0696,0.0095,ND,ND,ND,ND
-0.1760,-0.0425,-0.3353,ND,ND,ND
0.0277,0.0638,0.1295,ND,ND,ND
-1.2425,0.0403,-2.2112,ND,ND,ND
-0.0772,-0.0173,-0.1886,ND,ND,ND
ND,ND,ND,ND,ND,-0.1336
ND,0.3343,ND,0.1011,0.0094,0.0983
ND,ND,-1.5845,ND,ND,ND
ND,-0.1534,ND,ND,ND,ND
-0.0067,-0.0184,0.0093,ND,ND,ND
-0.0184,ND,ND,ND,ND,ND
-0.0244,0.1241,ND,ND,ND,ND
1.7349,ND,ND,ND,ND,ND
ND,0.0899,ND,ND,ND,ND
0.4577,-0.7743,0.5480,ND,ND,ND
ND,ND,-0.0530,ND,ND,ND
0.0597,-0.0671,ND,ND,ND,ND
-0.0308,-0.2441,-0.0581,ND,ND,ND
0.0132,0.0604,-0.0204,ND,ND,ND
-0.0605,-0.0049,ND,ND,ND,ND
-0.0285,0.0326,0.0213,0.0009,-0.2012,-0.0967
0.0035,0.0174,0.0043,ND,ND,ND
-0.1075,0.2933,0.1792,ND,ND,ND
ND,0.0435,-0.0722,ND,ND,ND
-0.0459,-0.0601,-0.0123,0.0347,ND,0.1103
-0.0429,0.0467,-0.2173,-0.5271,-0.2100,-0.4846
ND,ND,-0.2508,ND,ND,ND
ND,ND,-0.2023,ND,ND,ND
0.1003,-0.0580,0.0042,ND,ND,ND
0.3157,-0.3600,0.3644,ND,ND,ND
ND,0.5571,ND,ND,ND,ND
ND,ND,ND,ND,ND,ND
ND,0.0437,-0.1421,ND,ND,ND
ND,-0.0723,ND,ND,ND,ND
ND,ND,ND,0.2074,ND,ND
-0.1365,ND,-0.0649,ND,ND,ND
-0.0615,0.0580,0.1529,ND,ND,ND
ND,-0.5254,-0.0116,ND,ND,ND
0.0215,ND,ND,ND,ND,ND
ND,0.1344,ND,ND,ND,ND
ND,-0.4524,ND,ND,ND,ND
ND,ND,-0.0678,ND,ND,ND
ND,0.0830,ND,ND,ND,ND
-0.2373,-0.0587,ND,ND,ND,ND
-0.0957,0.0460,0.0442,ND,ND,ND
ND,ND,ND,0.0393,ND,ND
ND,ND,ND,ND,0.0449,ND
ND,ND,ND,0.1195,ND,0.0846
ND,ND,ND,ND,-0.0207,0.1724
ND,ND,ND,-0.0298,0.2953,-0.0377
ND,ND,ND,ND,ND,-0.1140
ND,ND,ND,-0.0095,ND,0.2174
-0.0941,ND,-0.2567,ND,ND,ND
0.0333,ND,ND,ND,ND,ND
0.0248,0.1439,0.0169,ND,ND,ND
ND,ND,0.0853,ND,ND,ND
-0.1563,ND,ND,ND,ND,ND
-0.0324,0.1460,-0.1108,ND,ND,ND
0.3422,0.0248,0.5874,ND,ND,ND
0.2070,ND,ND,ND,ND,ND
-0.1070,0.1776,-0.2715,ND,ND,ND
-0.0375,0.3201,-0.0678,ND,ND,ND
ND,-0.3679,ND,ND,ND,ND
-0.2579,ND,-0.3496,ND,ND,ND
-0.2318,0.0812,-0.1951,ND,ND,ND
0.0286,ND,ND,ND,ND,ND
0.0195,0.6914,-0.1591,ND,ND,ND
0.1135,ND,-0.1111,ND,ND,ND
0.0818,-0.0566,0.0328,ND,ND,ND
-0.0807,0.2846,-0.1388,-0.2473,ND,ND
-0.0968,-0.2453,-0.1423,ND,ND,ND
-0.1516,0.1963,-0.1593,ND,ND,ND
-0.0139,ND,-0.0948,ND,ND,ND
ND,ND,ND,-0.1470,0.1764,-0.2858
ND,ND,0.8134,ND,ND,ND
ND,0.9706,ND,ND,ND,ND
0.2207,ND,0.2306,ND,ND,ND
-0.1328,0.1249,-0.1835,ND,ND,ND
-0.0244,0.1728,-0.0927,ND,ND,ND
-0.1407,0.3407,-0.3768,-0.2332,ND,ND
0.1234,ND,ND,ND,ND,ND
