Rep1,Rep2,Rep3,Rep1,Rep2,Rep3,Rep1,Rep2,Rep3
ND,ND,1.8663,ND,ND,ND,ND,ND,0.3214
ND,ND,1.8644,ND,ND,ND,ND,ND,1.3326
ND,1.8198,ND,ND,ND,ND,ND,0.3844,ND
ND,ND,1.6535,ND,ND,ND,ND,ND,0.7258
ND,1.6456,ND,ND,ND,ND,ND,1.1393,ND
ND,ND,1.6369,ND,ND,ND,ND,ND,1.4348
ND,ND,1.5287,ND,ND,ND,ND,ND,0.8722
ND,ND,1.4783,ND,ND,ND,ND,ND,1.3692
ND,ND,1.4578,ND,ND,ND,ND,ND,1.4853
ND,ND,1.3219,ND,ND,ND,ND,ND,1.1567
ND,ND,1.2486,ND,ND,ND,ND,ND,1.3759
ND,ND,1.2334,ND,0.8248,ND,ND,ND,0.8117
ND,1.1769,ND,ND,ND,ND,ND,0.7330,ND
ND,ND,1.1725,ND,ND,ND,ND,ND,1.5789
ND,ND,1.1719,ND,ND,ND,ND,ND,0.3573
ND,1.1459,ND,ND,ND,ND,ND,0.7433,ND
ND,1.1377,ND,ND,0.2856,ND,ND,1.2837,ND
ND,ND,1.1333,ND,ND,ND,ND,ND,1.5268
ND,0.7222,1.5337,ND,ND,ND,ND,0.7468,0.1254
ND,1.1116,ND,ND,ND,ND,ND,0.9754,ND
2.5741,ND,-0.3626,ND,ND,ND,0.1418,ND,1.5554
ND,0.9329,1.2187,ND,ND,ND,ND,1.7189,-0.1753
2.2659,ND,-0.1955,0.1165,0.1636,0.4988,0.1163,ND,0.8913
0.2564,ND,1.7734,ND,ND,ND,-0.1311,ND,1.5354
0.1487,1.8524,ND,ND,ND,ND,-0.1586,0.7432,ND
0.9997,ND,ND,0.1347,0.7783,0.9146,0.2774,ND,ND
0.9925,ND,ND,ND,ND,ND,0.2682,ND,ND
1.3997,0.9920,0.2281,ND,ND,ND,1.6951,-0.5389,-0.4354
0.9879,ND,ND,ND,ND,0.7662,0.4191,ND,ND
ND,ND,0.9786,ND,ND,ND,ND,ND,1.4475
ND,ND,0.9665,ND,ND,ND,ND,ND,1.5926
ND,0.9599,ND,-0.1656,0.1375,0.2281,ND,0.8921,ND
ND,ND,0.9535,ND,ND,ND,ND,ND,1.4346
