Rep1,Rep2,Rep3,Rep1,Rep2,Rep3,Rep1,Rep2,Rep3,Rep1,Rep2,Rep3
ND,ND,3.5934,ND,ND,ND,ND,ND,-2.8175,ND,ND,ND
2.1273,ND,ND,ND,ND,0.2386,0.6281,ND,ND,ND,ND,ND
ND,ND,1.9544,ND,-0.4172,0.1111,ND,ND,0.6912,ND,ND,ND
ND,ND,1.9438,-0.5266,ND,ND,ND,ND,0.4785,ND,ND,ND
ND,ND,1.9288,ND,ND,ND,ND,ND,0.8117,ND,ND,ND
1.9174,ND,ND,ND,ND,ND,-0.1177,ND,ND,ND,ND,ND
ND,ND,1.8196,ND,ND,ND,ND,ND,-0.1440,0.1129,0.3723,0.2698
ND,ND,1.6843,ND,0.2314,ND,ND,ND,0.3414,ND,ND,ND
ND,ND,1.6544,0.1584,-0.2388,0.1974,ND,ND,-0.1837,ND,ND,ND
ND,ND,1.6313,ND,0.1968,0.1982,ND,ND,0.4134,ND,ND,ND
ND,ND,1.5926,0.9936,0.9976,0.1220,ND,ND,0.9665,ND,ND,ND
ND,ND,1.5789,ND,ND,-0.2925,ND,ND,1.1725,ND,ND,ND
ND,ND,1.5268,0.1835,ND,0.2132,ND,ND,1.1333,ND,ND,ND
ND,ND,1.4853,ND,ND,ND,ND,ND,1.4578,ND,ND,ND
ND,ND,1.4475,ND,ND,ND,ND,ND,0.9786,ND,ND,ND
ND,ND,1.4348,ND,ND,ND,ND,ND,1.6369,ND,ND,ND
ND,ND,1.4346,ND,-0.2315,ND,ND,ND,0.9535,ND,ND,ND
ND,ND,1.3759,-0.5815,0.5141,-0.1470,ND,ND,1.2486,ND,ND,ND
ND,ND,1.3721,ND,ND,ND,ND,ND,0.8176,ND,ND,ND
ND,ND,1.3692,ND,ND,ND,ND,ND,1.4783,ND,ND,ND
ND,ND,1.3326,0.1582,0.3940,-0.9784,ND,ND,1.8644,ND,ND,ND
ND,ND,1.3184,ND,ND,ND,ND,ND,0.5958,ND,ND,ND
ND,ND,1.3169,0.1386,0.1712,ND,ND,ND,0.9371,ND,ND,ND
ND,1.2837,ND,-0.2518,ND,0.9848,ND,1.1377,ND,ND,0.2856,ND
ND,1.2216,ND,ND,ND,ND,ND,0.6664,ND,ND,ND,ND
ND,ND,1.1998,ND,ND,ND,ND,ND,0.2397,ND,ND,ND
ND,ND,1.1717,ND,ND,0.9620,ND,ND,0.3718,ND,ND,ND
ND,1.1620,ND,ND,-0.9945,ND,ND,-0.8286,ND,ND,ND,ND
ND,ND,1.1567,ND,ND,ND,ND,ND,1.3219,ND,ND,ND
-1.2945,1.1429,1.8395,0.8639,0.3888,-0.1265,-0.4434,2.3832,0.5851,ND,ND,ND
ND,1.1393,ND,ND,ND,ND,ND,1.6456,ND,ND,ND,ND
ND,ND,1.1259,ND,0.5967,-0.9648,ND,ND,0.4347,ND,ND,ND
ND,ND,1.1196,ND,ND,ND,ND,ND,0.7988,ND,ND,ND
0.2728,ND,1.9544,ND,ND,ND,-1.7558,ND,0.6315,ND,ND,ND
ND,ND,1.1115,ND,ND,ND,ND,ND,0.4153,ND,ND,ND
0.2264,ND,1.9296,0.1762,ND,0.8653,-0.4783,ND,0.7237,ND,ND,ND
0.8313,ND,1.1825,-0.2265,ND,0.1796,-0.7857,ND,0.7877,ND,ND,ND
0.9948,ND,ND,ND,ND,1.8798,-0.9785,ND,ND,ND,ND,ND
ND,ND,0.9840,ND,ND,0.1166,ND,ND,0.6122,ND,ND,ND
ND,0.9754,ND,ND,ND,ND,ND,1.1116,ND,ND,ND,ND
ND,ND,0.9744,ND,ND,0.2423,ND,ND,-0.1532,0.2593,ND,-0.3856
ND,ND,0.9743,ND,0.1976,ND,ND,ND,0.6178,ND,ND,ND
ND,ND,0.9668,0.7970,-0.8913,1.3287,ND,ND,-0.1874,ND,ND,ND
0.9633,-1.4938,1.3384,ND,ND,5.7635,-0.5436,-0.7455,1.1273,ND,ND,0.6479
0.9565,ND,ND,0.1285,ND,ND,-0.1280,ND,ND,ND,ND,ND
0.9382,ND,ND,0.1388,0.3645,0.7330,0.3697,ND,ND,ND,ND,ND
0.9720,-1.1731,0.9276,ND,ND,ND,-1.1878,-1.2713,0.4648,0.5915,ND,0.1493
-1.2882,1.5235,0.9266,ND,-0.5783,ND,-0.1315,1.4990,-0.2946,-0.3712,ND,-0.1326
0.9251,ND,ND,0.1780,ND,ND,-0.4287,ND,ND,ND,ND,ND
ND,ND,0.9214,ND,ND,ND,ND,ND,-0.3256,ND,ND,ND
ND,ND,0.9173,-0.6969,0.5314,ND,ND,ND,0.3115,ND,0.1318,ND
ND,ND,0.9149,0.4833,0.7786,0.9827,ND,ND,-0.9915,ND,ND,ND
0.9767,ND,0.8185,-0.2181,ND,ND,-0.5427,ND,0.2618,ND,ND,ND
ND,0.8921,ND,ND,ND,ND,ND,0.9599,ND,-0.1656,0.1375,0.2281
ND,0.8622,0.9190,0.2376,0.4258,0.5430,ND,0.8672,-0.8488,ND,ND,ND
ND,0.8889,ND,ND,ND,0.1462,ND,0.7384,ND,ND,ND,ND
0.8832,ND,ND,ND,ND,ND,0.6564,ND,ND,ND,ND,ND
ND,ND,0.8817,ND,ND,ND,ND,ND,-0.4994,ND,ND,ND
-0.3669,0.8744,0.9863,ND,ND,ND,-0.2230,1.5265,-0.2925,ND,ND,ND
0.4663,ND,1.2815,ND,ND,0.3218,0.3493,ND,0.3626,ND,ND,ND
ND,ND,0.8722,ND,ND,ND,ND,ND,1.5287,ND,ND,ND
ND,0.8686,ND,ND,ND,ND,ND,0.8247,ND,ND,ND,ND
ND,0.8683,ND,0.6797,0.4145,-0.2922,ND,-0.5827,0.5665,ND,0.2328,-0.5864
ND,ND,0.8643,ND,ND,ND,ND,ND,0.5818,ND,ND,ND
ND,0.7647,0.9437,-0.7443,-0.2392,0.3000,ND,0.2912,-0.4245,0.1736,ND,0.8176
0.8514,ND,ND,0.2370,0.9490,-0.1254,-0.5872,ND,ND,ND,ND,ND
0.1418,ND,1.5554,0.1969,-0.1439,-0.3398,2.5741,ND,-0.3626,ND,ND,ND
0.2517,ND,1.4419,0.2154,-0.2683,0.6292,-1.3265,ND,1.2852,ND,ND,ND
0.9324,0.7598,ND,ND,ND,ND,-0.1149,0.2928,ND,ND,ND,ND
0.8455,-1.5625,1.6446,0.1449,-0.5776,0.1184,-1.2187,-0.6579,1.6581,ND,ND,ND
0.8382,ND,ND,ND,ND,0.5500,0.1634,ND,ND,ND,ND,ND
0.8347,ND,ND,ND,ND,ND,ND,ND,0.1866,ND,ND,ND
ND,-0.3372,ND,ND,ND,ND,ND,0.1293,ND,0.2944,0.2719,-0.6836
0.1855,-0.3384,-0.9761,0.1766,0.2183,-0.7517,0.1286,0.7118,-0.2756,0.2175,0.1247,-0.9598
ND,ND,-0.3434,ND,ND,ND,ND,ND,0.9296,ND,ND,ND
-0.3445,-0.8292,1.2134,ND,ND,ND,-1.6485,0.6130,1.2549,ND,ND,ND
ND,0.2816,-0.9857,ND,ND,0.2359,ND,0.7821,-0.2320,ND,ND,ND
ND,-0.3522,ND,ND,ND,0.2832,ND,-0.1439,ND,ND,ND,ND
0.1342,-0.8579,ND,ND,ND,ND,-0.8985,-0.3985,ND,ND,0.4565,ND
ND,-0.3687,ND,0.2878,0.3125,-0.1859,ND,-0.2837,ND,-0.3163,1.3839,0.1426
-0.3787,ND,ND,0.1849,0.1675,0.1828,0.2348,ND,ND,ND,ND,ND
ND,ND,-0.3789,ND,-1.4936,ND,ND,ND,0.8833,0.3513,0.3276,-0.8812
ND,-0.3791,ND,ND,0.3123,ND,ND,-0.2945,ND,ND,ND,ND
ND,ND,-0.3837,ND,ND,ND,ND,ND,0.6363,-0.1949,0.1714,0.1418
ND,ND,-0.3852,-0.4760,ND,0.1988,ND,ND,-0.6280,ND,ND,ND
-0.3884,ND,ND,0.1224,0.7960,0.1744,0.2296,ND,ND,ND,ND,ND
ND,-0.2595,-0.5486,-0.2356,0.1779,ND,ND,-0.1718,0.4121,0.3937,0.3795,-0.1254
ND,-0.4389,-0.3979,0.1977,-0.6780,0.1316,ND,-0.3317,0.3284,ND,0.2988,ND
ND,-0.4189,ND,ND,ND,0.2948,ND,0.4275,ND,0.2357,-0.3862,0.2199
ND,ND,-0.4252,ND,ND,ND,ND,ND,-0.3255,ND,ND,ND
ND,-0.3615,-0.4981,ND,-0.4716,-0.2285,ND,-0.1334,0.7185,0.1126,0.2885,0.2490
1.6951,-0.5389,-0.4354,ND,ND,ND,1.3997,0.9920,0.2281,ND,ND,ND
ND,-0.4361,ND,ND,ND,ND,ND,-0.8836,ND,ND,ND,ND
-0.4365,ND,ND,ND,ND,ND,-0.3429,ND,ND,ND,ND,ND
-0.4387,1.2141,-0.8173,ND,ND,-0.1579,-0.1995,0.8546,0.1388,ND,ND,ND
0.3131,-0.9674,-0.4422,0.6576,0.1591,0.2426,0.1846,-0.1678,0.1463,0.5886,-0.1776,0.3386
