Abundances (Grouped): 126,Abundances (Grouped): 127,Abundances (Grouped): 128,Abundances (Grouped): 129,Abundances (Grouped): 130,Abundances (Grouped): 131
6767,6956,10960,9405,12140,15200
7884,0,12980,7235,22280,8578
7977,0,0,11970,5549,11920
8292,31840,16890,38670,33240,44490
11290,11860,9742,8388,5577,19490
13380,30050,28340,20050,12440,24180
16940,17080,17040,15970,11410,11530
17020,18790,13770,5713,12920,17570
19470,19770,20370,28850,28600,33330
19880,12090,25710,11750,30950,23550
20800,49160,40240,59820,80200,72650
21380,21680,28250,10150,32670,28020
21500,26870,26580,31080,22100,30540
21550,31340,32690,28640,24490,37890
21600,22190,23040,18210,29150,33040
24370,20550,26370,29240,29840,25580
26210,29180,30420,22650,29820,33090
27000,21590,36560,33990,28670,32510
28460,22060,21030,24450,23110,35360
29310,35290,27840,32730,31450,38080
29560,35940,31820,48840,33940,41130
29690,36910,29800,38000,44650,35770
30660,29180,25700,25440,26430,28850
30770,43680,40690,41670,55990,43260
31240,40630,32140,34390,28120,37860
31250,43800,40400,23640,44350,43910
31360,23970,35160,30890,31370,36130
31400,41000,39520,38210,37640,35130
31720,55140,59410,45400,52180,41120
31790,29430,29700,32420,53500,41690
32180,18000,18210,15350,16380,30020
32710,34050,32720,39900,38090,37400
32750,30240,25490,33680,27820,31870
32860,45160,38750,33920,31180,32430
32930,32960,29520,37060,43100,40440
32960,30910,35750,31780,31640,43520
33200,21800,36610,36490,46200,48060
34060,26230,31290,25310,38370,32860
35260,37690,57120,34830,37360,54580
35370,34060,33860,68280,68440,73730
35590,56780,64990,50780,60360,64730
35990,28790,27430,42650,34330,37850
36040,50880,45350,32880,33710,40050
36670,53720,31040,48080,43370,45010
37500,39050,32140,19250,21040,43200
37640,36980,40930,38600,33570,44920
37870,54180,44800,35320,40280,43360
38150,46100,45050,44640,56980,42460
38700,32380,32910,49480,46950,74550
38720,43900,52710,44450,51450,48100
39360,67940,72360,33380,58910,76350
39680,41360,40510,42460,32150,44210
39930,59750,49720,55500,62610,59310
39960,42350,37750,36530,47050,37810
40150,35050,37430,38790,28390,29630
40190,37180,42750,37830,40010,42020
40720,28280,48200,37760,44780,52560
40810,25620,26490,10620,21140,28100
41110,52970,40800,58310,65590,62560
41190,26140,37900,38460,48950,46750
41680,34780,36360,16220,32930,48350
42050,41220,44500,61220,65730,65270
42070,41980,41260,48630,46340,43590
42250,56620,55310,35860,43180,53610
42280,45450,52930,114000,89590,93950
42400,42600,43770,39590,40390,46120
43570,41400,42060,75490,76480,71970
43700,41780,43940,58290,69130,66230
44090,51410,32310,36100,37280,31070
44690,32430,46570,38830,35440,38500
44900,46810,45390,49020,51800,53530
45500,50640,50040,52320,48660,47580
46390,45690,47250,52360,62950,46310
46520,41790,60850,61200,58630,41560
46670,89720,70440,78010,84500,75970
47560,47510,65560,58150,48190,69050
47600,34210,54640,44710,34060,40270
47680,32550,35880,42510,48830,48280
48020,51820,62810,45430,71650,67980
48520,45290,75520,51790,62200,63840
49320,44340,39320,39760,47920,50000
49340,42860,42830,39270,50310,48050
49620,37500,51550,47430,54030,41150
49870,57000,58340,67360,65750,70740
50250,39950,41290,47030,40910,44880
50650,39250,45670,54510,56030,55950
50930,43880,60020,49950,64340,70830
50960,67220,54580,50150,64570,57830
51110,34300,48910,51790,71700,65320
51270,28370,32330,17870,28200,18950
52150,51040,47470,51580,50160,44050
52490,61860,69540,60440,75620,64120
52500,39280,47730,52840,54570,47080
52850,46110,48950,65770,63010,64630
52890,63330,50600,88500,94860,105400
53030,54940,43920,37900,45080,45140
53330,39670,43040,54060,72250,67900
53870,47840,55860,44080,60410,51800
54040,58010,35600,30420,32810,60510
54230,54580,52150,56570,54810,48340
