Abundance Sample AM 36_1 (FFPE),Abundance Sample AM 36_3 (FFPE),Abundance Sample AM 37_1 (FFPE),Abundance Sample AM 37_2 (FFPE),Abundance Sample AM 36_4 (FF),Abundance Sample AM 36_5 (FF),,,,,,,,,
112244813.7,58054771.63,71592863.25,110535940.9,390979633.7,254676985.6,,,,,,,,,
0,0,1868379,2170873.25,2077586.75,1960382.5,,,,,,,,,
719605056.7,602267646.1,438496435.5,533527632.7,498260807.3,444016873,,,,,,,,,
7894920.563,16571569.63,10941041.13,14480714.69,20568321.63,38431795.5,,,,,,,,,
18983269.25,2083295.5,22235082.19,22795081.75,4292168.563,8475398.25,,,,,,,,,
5544686.063,4234225.531,2655585.219,4512486.188,7556259.438,6108419,,,,,,,,,
0,0,2143969.25,0,1720838.75,0,,,,,,,,,
497136.8438,584245.625,730981.3125,653501.625,1947936.938,699747.3125,,,,,,,,,
45323680.56,35827339.81,45997207,60324831.52,116447717.9,78923740.88,,,,,,,,,
17812466,68843846.81,27045457.28,44826885,114678810.3,129030411.9,,,,,,,,,
943754.0625,8549639.688,0,12606621,5835357.375,8675545.125,,,,,,,,,
420299.7188,3030125.875,0,9189524,3164352.25,2965879.594,,,,,,,,,
11065819,16337134,0,2973263.75,5225744.813,29782198.5,,,,,,,,,
644342.0625,895883.9375,0,0,4137547.438,1804524.75,,,,,,,,,
3825007.25,2446337.5,3027414.75,3182918,4197831.5,2390666.75,,,,,,,,,
0,2541149.75,9570778,11991837.5,8879791.25,7209238.5,,,,,,,,,
4520157.75,13460254.38,17787496,26166841.75,45466769.13,34245020,,,,,,,,,
27859035,39602152.5,41099485.5,39808877.25,11847667.72,4247578.063,,,,,,,,,
56053867.44,37122607.38,44063721.13,41475832.89,63168791.69,48392724.75,,,,,,,,,
556272.25,1783303.625,0,0,790069.125,1321871.625,,,,,,,,,
23518965.75,8321993.281,12008606.75,20570616.63,37389229.13,28267321.88,,,,,,,,,
4232611.5,0,3033049,0,10872496.25,5974308.5,,,,,,,,,
928430.125,0,2052110.375,0,9418586.938,6160011.688,,,,,,,,,
