2A,3A,4A,5A,6A,7A,8A,9A,10A,1B,2B,3B,4B,5B,6B,7B,8B,9B
0,0,0,0,0,0,0,0,0,364090.9688,0,0,0,0,0,0,0,0
0,0,0,0,0,639127.1631,2598497.064,1584049.133,2147399.063,148685.0156,0,0,0,0,0,0,3872035.969,2321138.844
1578878.563,4224780.737,1443919.801,2493818.371,1493801.422,4306916.703,0,1839976.234,1929083.841,245488.5469,1545207.336,1239648.047,2009237.563,1397452.754,1236856.969,2119830.583,2995602.531,3390647.844
523086996.7,696607649.5,667948117.8,605020079.5,509014660.9,854740504.3,0,19335387.23,164966447.1,170401441.4,233271004.7,0,114189921,50986958.76,162208039.5,65207019.49,51920595.12,49525659.41
2969333.125,2090651.5,2987693.953,3604967.063,0,6449815.406,0,2045491.078,4809914.281,4855750.842,4855750.842,0,6147919.625,1829375.938,4855750.842,2715380.875,4163899.188,9422178.583
0,0,0,0,0,0,0,0,0,979957.0469,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,59394396.78,0,7390895.938,2064431.75,0,0,0,0,0
1349840,3368574.995,1216542.176,3346239.896,6298694.844,4621215.406,3989061.987,10650495.1,45088657.57,1071988.906,1280280.604,940219.125,4615230.943,1561526.811,1122099.742,2371478.755,6172079.245,9371876.995
4093654.406,3211727.953,3227070.234,3271371.221,1555863.875,3619625.708,0,2475915.682,5099935.969,319054.4453,0,0,3531560.156,0,4348322.668,5293317.042,2963939.875,9633741.82
15056846.75,10968291.95,20481221.78,23101210.94,1662485.188,12659600.02,2455424.221,387145.6797,3015027.125,1753604.75,6713458.453,4598554.871,22654197.09,7604380.547,5426317.727,10063831.02,0,34928298
7614693.867,5752668.24,6220632.688,1789453.852,20078901.7,11555572.62,2604854.688,0,9731931.625,999204.0391,1572632.873,572516.2031,5638736.234,2155391.66,5301553.75,8846568.875,0,36103778.73
6579364.469,10678360.45,10969289.81,13990133.08,23662431.63,17846747.2,4365646.443,12056009.76,31737979.54,3409085.09,3654574.073,3464306.862,15334127.05,6489649.318,5920187.135,12882001,30399567.48,15967326.72
9550016.953,7238372.81,18379133.71,0,1456423.813,14598479.95,1628074.07,0,6942290.23,2650440.188,2121889.857,0,5287464.5,0,2945729.406,3493747.129,0,5865296.411
3308433.656,1994150.313,6021578.385,0,2733377.813,10258012.72,2366063.844,0,699056.25,4225783.938,1714609.438,0,1450327.844,0,0,3359865.281,0,3772490.438
4425443.639,3478269.297,5067009.982,4988204.984,5049491.125,10145622.29,21292883.78,1701383.145,6008151.578,3962612.531,3628715.258,4343896.047,5370589.633,4517021.086,4276790.047,5412643,0,1316279.742
16102137.44,19131655.02,20777527.45,21702388.87,21150105.7,32124842.94,19073745.38,46540775.9,45474307.75,2783574.75,8955883.236,10317133.93,28099230.47,14904644.65,14451768,15160762.97,9274024.225,49984002.09
12288022.83,33686539.18,31381469.96,41145594.36,10133215.77,12676763.27,130082991.5,56836633.74,16661869.44,1182972.141,2158216.768,9260270.349,18800750.8,55021296.48,4196620.625,12992730.41,15477376.11,72075996.88
0,0,0,0,0,6418270.245,3288004.688,3663365.172,5136666.388,566400.8906,1540411.406,0,0,0,0,1360784.719,1322473.625,2911986.388
5926237.01,3199161.521,10602834.02,1933354.458,8430699.375,26693775.17,3542853.688,18251997.81,27475092.39,2463974.284,2116161.62,1274207.984,7015259.839,2338174.938,5230168.224,7394243.237,5692445.5,16831371.72
27666146.17,15947027.92,24911264.06,29720166.66,14889642.13,69420190.15,13292610.78,28473068.37,54880862.17,2953245.578,11797429.49,6586926.906,29177799.15,18049600.75,11689460.63,64233359.29,18263574.35,102672642.2
15232984.69,11163111.75,12935894.16,8948093.401,10072505.62,0,23892948.3,36367532.42,68765534.86,5505372.413,2284066.026,6246324.885,12066024.99,5220887.441,3340211.055,15708916.35,21401446.41,56250673.17
