"Abundances (Normalized): F15: 126, Sample, 24H-VOR-dn, #03","Abundances (Normalized): F16: 126, Sample, 01H-OKR-up, #03","Abundances (Normalized): F17: 126, Sample, 01H-VOR-up, #01","Abundances (Normalized): F15: 127N, Sample, 01H-VOR-dn, #02","Abundances (Normalized): F16: 127N, Sample, 24H-Ctrl, #01","Abundances (Normalized): F17: 127N, Sample, 24H-Ctrl, #03","Abundances (Normalized): F15: 127C, Sample, 24H-Ctrl, #02","Abundances (Normalized): F16: 127C, Sample, 24H-VOR-dn, #02","Abundances (Normalized): F17: 127C, Sample, 24H-VOR-dn, #01","Abundances (Normalized): F15: 128N, Sample, 01H-Ctrl, #03","Abundances (Normalized): F16: 128N, Sample, 24H-OKR-up, #01","Abundances (Normalized): F17: 128N, Sample, 24H-VOR-up, #03","Abundances (Normalized): F15: 128C, Sample, n/a, Pool1, n/a","Abundances (Normalized): F16: 128C, Sample, n/a, Pool3, n/a","Abundances (Normalized): F17: 128C, Sample, n/a, Pool5, n/a","Abundances (Normalized): F15: 129N, Sample, 01H-OKR-up, #01","Abundances (Normalized): F16: 129N, Sample, 24H-OKR-up, #03","Abundances (Normalized): F17: 129N, Sample, 24H-OKR-up, #02","Abundances (Normalized): F15: 129C, Sample, 01H-VOR-dn, #01","Abundances (Normalized): F16: 129C, Sample, 01H-VOR-up, #02","Abundances (Normalized): F17: 129C, Sample, 01H-VOR-up, #03","Abundances (Normalized): F15: 130N, Sample, 24H-VOR-up, #02","Abundances (Normalized): F16: 130N, Sample, 01H-Ctrl, #02","Abundances (Normalized): F17: 130N, Sample, 01H-OKR-up, #02","Abundances (Normalized): F15: 130C, Sample, 01H-VOR-dn, #03","Abundances (Normalized): F16: 130C, Sample, 01H-Ctrl, #01","Abundances (Normalized): F17: 130C, Sample, 24H-VOR-up, #01","Abundances (Normalized): F15: 131, Sample, n/a, Pool2, n/a","Abundances (Normalized): F16: 131, Sample, n/a, Pool4, n/a","Abundances (Normalized): F17: 131, Sample, n/a, Pool6, n/a"
225459,285081.7,236200.2,228457.3,269064.5,235601.7,206352.1,291093.3,239325.5,217119.9,287026.5,246854,218038.2,285005.9,243940.7,224575.5,289694.6,253662,222981.8,294586.2,236695.5,233399.7,267701.4,249921.7,178491.5,285943.7,222868.1,219971.3,285738.9,243056
5148.8,3235.5,2304.2,4968.4,3159.7,2260.1,4825.6,3556.8,2395.5,4902.2,3555.4,2232.6,5119,3389.3,2359.1,5512.4,3413.8,2544,5454.8,3295.5,2302.5,5607.5,3151.7,2136,4563.7,3629,2190.9,5203.1,3578.9,2407.2
4009,5359.6,4415.2,3973.8,5103,4248.6,3224.4,5551.6,4137.7,3753,5538.1,4348.4,3651.4,5674,4351.1,3879.4,5707.4,4360.7,3642.2,5865.7,4148.1,4020.6,5371.1,4534.2,2852.3,5803.9,3880.7,3646.9,5617.1,4183.2
150327.2,157609.3,145443.5,148585,150559.8,144074.6,138563.1,160014.5,144723,136242,158694.8,148157.2,144557.7,157721,146669.1,145762.5,160314.9,151806.9,150854.9,162226.9,141491.8,155671,147597.9,151640.9,94487.8,157949.6,137368.4,141984.2,155118.6,143082
12.1,,11.4,11.7,,11.7,14.6,,10.6,9,,9.1,11.4,,15.9,11.5,,9.4,13.7,,11.9,17.1,,9.4,13.4,,12.7,12.2,,11.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74406.3,92144.1,72420.5,75565,87394.6,71472.8,72380.7,94320.9,73390.2,73591.9,92294.5,74542.5,74419,92127.8,74543.3,76678.7,92216.8,76808.4,76146.9,92414.2,74274.4,78140.9,84345.5,72399.3,70408.9,91391.4,66732.3,74065.3,91171.8,73146.6
105565.2,141820,113637.1,107165.5,132890.1,114450.6,101016.6,146134.4,117071,103067.9,143923.4,120734.9,104110.9,141659.2,119847.6,106131.3,143611.8,127673.7,106765.5,144718.2,115650.3,109729.4,131465.3,122296.9,90618.8,141374,109125.5,105214.4,141795.1,118646.9
121759.6,146974.5,136539.4,122835.3,141362,131731.5,116141.4,152279.2,136828.5,117899.3,151253.9,137870.8,119158.2,150078.5,138797.8,125196.2,151543,142516.9,122410.2,151324.9,137097.1,126072.9,138979.2,138127.9,105719.9,151982.5,126356.8,121128.9,150408.5,138342.9
65251.3,82646.2,73607.3,66315.5,78115.5,73929.8,62292.9,85627.9,77042.4,61638.8,83563.1,78886.2,63392.8,82216.8,77486.5,64168.6,83999.4,81739.8,64976.7,85210.3,74849.2,68576.1,76902.6,78651.6,49315.6,81800.4,70530.1,64170.7,83317.5,77647.9
149142.8,175495.3,143614.9,152237.8,170742.8,144744.7,142861.1,180275.2,144393,147265.3,176250.7,142240.2,149129.8,178063.6,146279.7,157290.8,176702.3,149873.9,155239.6,181368.2,141005.8,152884.8,163418.4,148095.8,153577.3,175958.3,136429.9,149112.1,177449.2,143675.6
49293.1,64147,48802.9,49520.3,59921.2,50058.3,50455.8,66391.7,51649.1,49724.2,65412.2,53531.5,50158.9,62996.7,52132,50022.2,63985.3,55992.3,52507.6,62991.8,50355.5,52127.4,58250.3,51740.1,47372.7,62144,47403,50844.8,63600,52358.1
