"01H-Ctrl, #01","01H-Ctrl, #02","01H-Ctrl, #03","01H-VOR-dn, #01","01H-VOR-dn, #02","01H-VOR-dn, #03","01H-VOR-up, #01","01H-VOR-up, #02","01H-VOR-up, #03","01H-OKR-up, #01","01H-OKR-up, #02","01H-OKR-up, #03","24H-Ctrl, #01","24H-Ctrl, #02","24H-Ctrl, #03","24H-VOR-dn, #01","24H-VOR-dn, #02","24H-VOR-dn, #03","24H-VOR-up, #01","24H-VOR-up, #02","24H-VOR-up, #03","24H-OKR-up, #01","24H-OKR-up, #02","24H-OKR-up, #03"
0.999048842,0.97768828,1.025538429,0.97302516,0.999038099,0.969737278,1.013267336,1.007381459,1.042805177,0.973995225,0.995592825,0.997047447,1.004027433,1.027746318,0.988600415,1.001641857,1.048365337,0.992122814,1.05403516,0.992307654,1.036177929,0.994427109,1.000104352,0.966982594
1.030299166,0.992556655,1.025279533,1.024499403,1.00095281,1.003639648,1.021786132,1.05106579,1.009027635,1.037416286,1.052423824,1.012975081,1.023941678,0.972177086,1.019382782,1.003816391,1.002030607,1.027101548,1.016076318,1.013140258,0.994250992,0.971485297,0.997493444,1.016028373
1.007608782,0.990661441,1.031788177,0.903432872,0.956521819,0.907426368,0.922794597,1.004934038,0.957152051,1.057655489,0.932987833,1.06075879,1.040056357,0.996247057,0.905566566,0.913202801,1.007766264,1.062669342,1.050064075,1.02914731,0.931297013,1.071389968,1.03264088,1.034486562
0.917618297,0.969015142,1.029870313,0.949414137,1.049819525,0.993599608,0.972759752,0.929941595,1.020853071,0.933823972,1.057073524,0.970726525,0.982282349,1.089121024,0.949444055,1.027803877,0.968376828,1.023134515,0.968400405,1.043444833,1.004912195,0.997927501,0.992567277,0.937534369
0.907354971,1.038975204,0.840247614,0.993797431,0.680231675,0.998492866,0.915853959,0.98255799,0.863567869,1.023174915,0.863938531,1.021982989,1.079820918,0.978771089,0.904686404,0.8795322,1.058076579,0.909489066,0.833819799,1.053994844,0.892215204,0.943124702,0.89643839,1.179899714
1.017023015,0.964046066,0.986693248,1.049697806,0.949345953,1.041824431,1.012507871,0.964279081,0.998505344,1.00E+00,1.004968313,0.984808172,0.973557012,0.978396208,1.024353728,0.979258266,0.997532788,0.999693372,0.999097458,1.016831634,0.991819664,1.033425239,1.008151389,0.9680067
1.001026849,0.86577661,1.18289472,0.971333575,1.021503612,0.963829741,0.909272065,0.854111349,0.911352125,1.023313075,0.912523019,0.786958587,0.982264041,1.017521151,0.915975625,0.861602157,0.804713838,1.074537736,0.909785515,1.05263676,0.870677923,0.839275752,0.868931936,0.828332471
0.98036445,1.020278668,0.996521218,1.031571029,1.004829942,0.999779075,0.929092751,1.034739547,0.980053299,1.001628048,1.017601065,1.041293578,1.016972259,0.991590556,0.961507717,0.973825368,1.041256517,1.020273928,1.021279983,0.99053995,1.023448146,1.038013155,1.051380817,1.049544139
1.034872817,1.03542358,1.029806649,0.988549615,1.046960024,0.945072358,1.054702958,1.022610268,1.00894916,1.054875159,1.036242858,0.970534721,1.016703467,0.948305921,1.030880967,1.003689876,0.987631861,1.004937515,1.008217708,1.033737395,0.991283018,0.964870866,0.949768808,1.00292983
0.972386102,1.22312976,1.084553263,1.116664289,1.310891376,1.048742417,1.007580743,0.95381362,1.117323262,1.141888041,1.151319522,1.026853171,1.017273474,1.177914072,1.196099507,1.186531474,0.84156941,1.039928376,1.037320578,1.068953308,0.969128048,0.830190971,0.994690679,0.906831846
0.887717528,0.917362061,0.891114225,0.835846959,0.965630013,0.904971882,0.830837408,0.918195107,0.809247011,0.895255781,0.961012426,0.963080241,1.049761967,1.022520278,1.01283235,1.059652279,1.0649258,0.916808804,0.927113134,0.920218995,1.076935466,1.112126432,0.910053192,0.978509019
