wk2_control,wk2_control,wk2_control,wk2_control,wk2_control,wk2_CLas,wk2_CLas,wk2_CLas,wk2_CLas,wk2_CLas,wk10_control,wk10_control,wk10_control,wk10_control,wk10_control,wk10_CLas,wk10_CLas,wk10_CLas,wk10_CLas,wk10_CLas,wk14_control,wk14_control,wk14_control,wk14_control,wk14_control,wk14_CLas,wk14_CLas,wk14_CLas,wk14_CLas,wk14_CLas
386.17,320.36,581.45,507.88,416.27,590.97,455.17,763.4,560.9,535.58,429.24,446.98,419.37,500.3,274.35,390.87,313.05,206.12,124.21,492.39,892.05,"1,028.30","1,267.70","1,078.20",694.2,"1,078.20",832.96,"1,169.50",719.65,842.92
64.001,5.8334,17.708,8.8334,31.375,45.25,2.9167,3.9167,19.667,2.9167,7.9214,10.254,10.254,14.63,4.7918,51.755,7.9214,2.8751,9.168,22.297,9.7918,2.8751,1.9167,2.8751,20.625,29.542,49.502,8.7085,30.292,59.792
132.44,103.72,192.02,160.16,153.3,180.02,120.86,208.88,161.3,189.16,72.721,92.581,102.3,119.44,65.721,113.44,52.721,57,19,117.02,335.6,377.32,394.32,360.46,304.32,361.32,286.6,390.19,267.74,317.32
100.89,78.89,127.76,110.8,109.84,125.78,91.836,137.74,125.8,121.8,111.74,117.74,116.73,133.71,80.799,168.67,77.872,50.909,39.927,142.62,217.67,242.62,256.52,254.6,194.58,230.62,201.71,263.56,191.74,226.6
69,48,97,96,84,111,45,130,93,89,74,73,86,87,52,78,55,33,23,84,158,201,215,175,163,178,146,215,142,173
170.24,197.14,222.55,223.99,203.47,212.72,255.96,213.22,178.52,209.53,147.09,250.47,243.19,278.49,192.61,248.77,136.56,204.53,101.76,303.13,349.62,394.72,408.39,340.63,280.97,376.53,308.95,394.7,254.6,349.48
66.794,71.275,55.427,53.947,79.641,58.389,115.93,75.832,71.198,76.237,116.15,145.84,172.72,151.55,86.588,301.5,195.92,128.76,146.98,291.5,175.8,113.7,120.22,105.26,153.44,161.32,100.3,129.55,135.07,118.82
71.651,65.651,59.581,60.581,62.721,61.721,95.512,56.721,76.512,69.651,68.884,59.023,73.814,74.884,72.535,143.4,87.744,134.19,201.12,123.12,164.16,137.16,122.3,112.23,142.09,143.23,110.23,134.95,114.37,116.37
41.718,31.648,63.578,49.255,57.648,56.648,32.859,69.578,65.648,68.184,85.812,80.164,90.443,103.02,60.512,82.331,55.837,31.395,11,97.766,122.83,132.23,124.69,130.83,96.296,114.9,120.3,132.23,103.9,122.9
331.46,112.15,197.1,158.68,108.15,191.44,345.34,79.32,127.26,179.76,13.699,15.222,19.788,17.759,10.148,23.34,29.428,24.862,24.355,33.487,336.57,446.89,527.69,183.19,333.96,517.66,318.61,218.81,395.02,281.39
61.05,57.926,107.13,84.311,61.755,92.54,60.897,82.424,66.696,83.968,36.517,56.264,57.265,61.235,44.723,57.538,44.061,37.304,47.922,60.199,189.75,174.36,224.61,179.31,131,199.98,128.43,230.61,125.82,165.62
34.872,38.116,69.087,55.431,37.748,58.674,38.115,56.198,40.017,57.565,13.422,19.616,19.616,24.615,16.958,21.164,14.788,9.6059,17.75,22.59,125.04,117.76,152.04,119,78.294,134.58,82.352,148.04,72.937,102.26
42.45,35.587,52.243,44.45,44.312,54.106,22.518,57.45,55.037,49.312,32.794,28.794,29.862,31.794,14,41.794,14.794,11,10,28.725,89.624,105.35,105.76,97.899,74.381,89.899,87.968,109.14,68.243,86.106
49.206,45.725,40.573,40.053,53.359,45.611,87.069,51.168,54.802,51.763,81.855,99.16,91.275,83.45,69.412,165.5,102.08,85.237,100.02,134.5,110.2,85.298,93.779,87.74,104.56,111.68,84.702,98.45,96.931,84.183
27,28,28,29,31,25,36,30,34,36,16,28,30,20,28,41,23,29,30,45,81,72,59,62,60,63,56,72,56,56
57,53,31,40,46,39,64,42,52,42,4,6,6,6,5,30,10,12,9,31,68,62,54,87,81,88,111,112,116,100
33,40,22,29,38,25,45,49,22,31,10,14,10,33,4,47,8,8,10,13,92,80,75,84,57,67,42,90,49,60
20,24,20,19,22,21,28,23,20,20,48,66,69,56,60,86,53,56,56,71,42,39,41,39,44,44,40,46,40,37
23,23,19,17,25,17,30,19,18,16,30,48,46,38,49,65,42,63,41,64,33,32,37,33,40,37,36,44,33,30
31.611,22.679,39.453,35.561,41.524,40.533,20.786,72.937,46.474,67.24,29.869,28.859,27.878,37.859,14.925,28.916,32.887,12.944,1,46.84,88.921,79.968,75.986,82.94,70.162,84.986,70.085,70.132,68.113,80.076
49.552,57.552,21.552,25.776,25,37.552,66.776,6,36.776,31.552,13.971,22.523,44.837,20.076,31.523,31.09,36.718,49.285,56.733,47.047,67.328,34.328,48.105,31,67.105,91.105,101.1,57.328,110.1,78.105
23,19,35,40,37,38,21,59,31,45,11,8,7,19,5,4,15,2,2,12,65,51,51,55,46,64,49,52,50,50
21,21,21,22,23,19,20,19,22,19,16,44,45,13,32,58,22,44,34,39,42,33,37,37,53,37,50,40,38,48
52.968,42.214,40.372,46.239,48.126,44.181,36.489,40.449,38.181,43.207,25.284,24.449,23.339,25.339,12.725,26.368,32.954,8.6696,2.8348,31.009,84.475,92.637,78.582,69.358,75.491,79.663,82.53,89.586,73.825,67.773
21,19,28,24,22,23,21,27,29,22,14,12,10,14,7,15,9,7,2,17,51,53,56,47,43,40,43,51,40,50
26,27,22,21,24,23,27,21,19,23,10,11,12,13,8,38,3,6,12,19,41,45,45,36,42,38,38,42,36,41
