Intensity Rep #1,Intensity L Rep #1,Intensity H Rep #1,Intensity Rep #2,Intensity L Rep #2,Intensity H Rep #2,Intensity Rep #3,Intensity L Rep #3,Intensity H Rep #3
,,,,,,,,
235380000,105630000,129740000,172770000,49311000,123460000,0,0,0
250200000,167070000,83128000,152330000,88151000,64175000,191090000,112000000,79089000
64736000,43677000,21059000,56821000,49927000,6894000,34141000,22449000,11692000
384000000,258240000,125750000,307480000,217450000,90023000,362460000,253620000,108830000
173790000,149110000,24683000,151550000,132170000,19384000,73951000,61689000,12261000
22268000,5885300,16382000,74780000,39028000,35752000,0,0,0
4200600000,4010600000,190060000,4386000000,4175600000,210420000,3403000000,3329700000,73348000
389870000,265710000,124160000,400970000,266310000,134670000,358980000,243160000,115820000
188350000,100690000,87668000,272500000,145740000,126760000,176490000,101920000,74572000
4939300000,2795400000,2143900000,5299800000,2918200000,2381600000,3247600000,1850100000,1397500000
152740000,89429000,63311000,241530000,124030000,117500000,57594000,26901000,30693000
4797200000,3030200000,1767000000,3207200000,2206000000,1001300000,3259000000,2183200000,1075800000
308610000,197500000,111120000,183030000,129590000,53445000,104840000,73136000,31708000
1609600000,1099000000,510600000,1877600000,1288400000,589200000,1963200000,1332000000,631230000
223840000,156860000,66978000,155610000,99635000,55976000,210750000,136290000,74466000
1114700000,663660000,451080000,1290100000,812600000,477520000,1440100000,891980000,548100000
163110000,115260000,47849000,205000000,134540000,70465000,161460000,108980000,52482000
1000900000,624460000,376390000,985150000,618060000,367100000,871420000,524650000,346770000
62725000,41013000,21712000,139120000,80701000,58419000,210380000,118990000,91386000
910220000,691320000,218900000,701150000,498110000,203050000,233380000,184600000,48781000
2520300000,1930900000,589440000,2297200000,2084800000,212400000,1377800000,1299800000,78042000
1681200000,1139100000,542020000,1808300000,1226800000,581500000,1116100000,715250000,400900000
137190000,75689000,61501000,290370000,179320000,111050000,181570000,110000000,71574000
111570000,47466000,64099000,145850000,90965000,54888000,51672000,34726000,16946000
307030000,146420000,160610000,248280000,105280000,143000000,206890000,94089000,112800000
234520000,126810000,107720000,269290000,147650000,121630000,161750000,96577000,65172000
26442000,16617000,9824900,0,0,0,90515000,52318000,38196000
6442200000,3733000000,2709100000,7539300000,4376600000,3162700000,5867300000,3444100000,2423100000
3027500000,1959700000,1067800000,3006700000,1913900000,1092800000,2996000000,1980500000,1015500000
215740000,128810000,86923000,282200000,160840000,121360000,197590000,111580000,86007000
639740000,396050000,243690000,721710000,444150000,277560000,973380000,559200000,414180000
352040000,222950000,129080000,566650000,297240000,269410000,486350000,297480000,188860000
77013000,37432000,39581000,24911000,15939000,8972200,4794600,1747200,3047400
301720000,234130000,67589000,180490000,119300000,61198000,194330000,128250000,66078000
19722000,13555000,6167000,55589000,37846000,17743000,29355000,20603000,8751700
0,0,0,56310000,29246000,27064000,19308000,11117000,8190600
40700000,23108000,17592000,113700000,57667000,56037000,95598000,55354000,40244000
226970000,137840000,89129000,246730000,136660000,110070000,381570000,244830000,136740000
1001100000,610590000,390530000,877700000,545490000,332210000,1027800000,644810000,383000000
351730000,241490000,110240000,419080000,289380000,129700000,416500000,267190000,149300000
5060600000,3338500000,1722000000,2646800000,1675600000,971160000,3059600000,1899700000,1159900000
48446000,29825000,18621000,24234000,12037000,12197000,34503000,17332000,17171000
5199000000,2890400000,2308600000,5584400000,2936400000,2648000000,5046300000,2688900000,2357400000
20633000000,513630000,20119000000,19098000000,423550000,18674000000,16868000000,337890000,16530000000
1517100000,859500000,657630000,1292000000,659810000,632230000,813260000,444990000,368270000
0,0,0,53626000,36615000,17012000,20175000,12903000,7272000
33258000,21618000,11640000,69831000,52859000,16972000,53447000,37660000,15787000
1658100000,962640000,695480000,1808800000,1112100000,696720000,1463200000,939850000,523360000
3699300000,1778100000,1921200000,4785400000,1899900000,2885500000,3544000000,1595100000,1948800000
5981500000,1244800000,4736600000,6561000000,1575200000,4985800000,7230500000,1235100000,5995400000
579890000,324540000,255350000,562220000,290250000,271970000,452740000,246970000,205770000
