nc_rep1,nc_rep2,lpm_rep1,lpm_rep2,mpm_rep1,mpm_rep2,hpm_rep1,hpm_rep2,rlpm_rep1,rlpm_rep2,rmpm_rep1,rmpm_rep2,rhpm_rep1,rhpm_rep2,sl_rep1,sl_rep2,sm_rep1,sm_rep2,sh_rep1,sh_rep2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05959306,0,0,0,0,0
0.736813395,0.033891045,0.017743432,0.05720537,0,0,0.132592205,0.19740974,0,0,0,0,0.275990256,0.011986116,0,0,0.13707508,0.075985953,0.102705146,0.116862924
0,0,0,0,0.248412551,0.215479804,0.23522046,0.704850347,0,0,0,0,0,0,0.603276205,0.953286182,0.407813852,0.611809248,0,0
0,0,0,0,0.133033736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.348091245,0.374617391,0.710860914,0.644712975,1.7470813,0.628330294,0.369954592,1.097213345,0.842100164,0.710728473,1.055411677,1.483655958,0.792645667,1.585735106,1.026777274,1.211484793,0.933757876,0.711600974,0.486045344,0.525763208
0,0,0,0,3.784347085,0.049044318,0.577560313,0.352133823,0.065289875,0.544430402,0.634536615,2.247493741,0,0,1.191022499,1.05141141,1.060953658,0.699956792,0.600790635,0.54800745
0,0,0,0,0,0,0,0,0.128878629,0.574027773,0,0,0,0.073588534,0,0,0,0,0,0
7.460891331,5.755593886,6.481486902,5.807218646,12.01180881,6.102419661,5.665627834,10.67838392,4.384190012,3.619746998,3.646441931,5.402485316,4.045070288,4.873995116,7.424583068,8.338611945,9.211436472,7.747882195,5.065569184,6.074274531
0,0,0,0,0.022483201,0.024365186,0.036882605,0.050983996,0,0,0,0,0,0,0.12574894,0.132611327,0,0,0,0
2.079113169,1.297348984,2.120890256,2.371289401,1.229626276,4.195244589,1.646289874,1.460292795,1.045258035,1.132727102,1.101483188,1.379244917,0.560608245,0.414390665,1.454863232,2.234117138,2.731049801,1.658479712,0.864794449,0.862719213
0.243111555,0.084450341,0.126870712,0.175313324,0.369692596,0.31342706,0.124865145,0.700154467,0.139882541,0.409745088,0.288439158,0.447265241,0.052123662,0.084361449,0,0,0,0.44310217,0,0.232526363
