Cancer_1,Paracancer_1,Normal_1,Cancer_2,Paracancer_2,Normal_2,Cancer_3,Paracancer_3,Normal_3,Cancer_4,Paracancer_4,Normal_4,Cancer_5,Paracancer_5,Normal_5,Cancer_6,Paracancer_6,Normal_6,Cancer_7,Paracancer_7,Normal_7,Cancer_8,Paracancer_8,Normal_8,Cancer_9,Paracancer_9,Normal_9,Cancer_10,Paracancer_10,Normal_10,Cancer_11,Paracancer_11,Normal_11,Cancer_12,Paracancer_12,Normal_12,Paracancer_13,Normal_13,Cancer_14,Paracancer_14,Cancer_15,Paracancer_15,Normal_15,Cancer_16,Paracancer_16,Normal_16,Cancer_17,Paracancer_17,Normal_17,Cancer_18,Paracancer_18,Normal_18
1852.71,0,855.263,153823,0,0,2115.45,0,0,2552.2,0,0,3597.61,0,0,0,0,0,4250.55,5584.53,0,5114.61,0,0,2901.84,4274.39,3415.56,4596.98,2143.91,0,4266.95,2772.17,2317.92,3866.3,2805.04,6343.2,6157.68,0,9456.5,0,8578.95,0,0,4134.5,0,0,3616.69,0,0,6637.12,0,0
0,0,0,6546.06,0,0,4754.56,0,0,3221.59,0,0,3690.91,0,0,0,0,0,0,0,0,6088.65,0,659.71,0,0,0,2734.36,0,870.562,0,2680.07,1959.61,0,0,6345.13,5735.03,0,2591.12,1676.19,0,0,0,1867.39,0,0,4223.82,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44939.2,0,0,39019.5,0,0,0,0,0,16963.1,0,0,18497.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38963.5,73130.6,0,0
0,0,0,0,0,0,784.604,0,0,0,0,0,0,0,0,0,0,0,2924.47,0,0,0,0,0,0,0,0,0,0,0,2394.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6485.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2674.66,0,0,0,0,0,0,0,0,0,0,0,1591.95,0,1047.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45777.1,17345,0,0,11586.5,0,37100.9,38799.3,13166.9,18966,22657.5,16926.3,20265.6,55985.2,0,0,0,72044.2,9855.69,0,0,37100,21211.1,20319.6,0,14863.8,0,23182.6,18864.9,18337.8,13537.2,25761.8,13902.2,14421.4,20609.5,0,17895,0,28544.8,7784.51,23958.2,23616,13087.1,29971.1,40659.2,0,0,13765,0,14763.5,48480.9,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.768,0,0,0,311.211,0,717.6,0,0,0,0,400.308,0,1409.94,0,0,0,0,0,0,0,0,0,0,0
21899.7,0,0,0,0,8620.43,42786.7,84236.8,0,56001,44190.3,12168.1,29519.6,0,0,0,0,0,0,0,0,79165.2,0,0,0,0,0,0,0,0,15045,3882.05,15777,6906.98,0,14115.7,10193.3,0,61668.2,31153.6,198511,18592.1,0,34145.2,13919.7,22560.1,12451.1,0,0,0,0,0
0,0,2495.63,0,0,0,5225.14,0,0,0,0,838.773,1740.75,0,0,0,0,0,8471.99,19002.3,0,16032,0,0,0,0,0,0,0,0,4189.27,0,14504.2,0,0,0,24654.4,11051.4,8754.76,2992.59,0,0,0,19943.8,0,15304,8870.03,6596.41,25313.1,0,0,0
0,2596.27,0,0,0,0,0,0,2976.45,1596.69,0,0,0,29890.6,19246.9,0,16378.6,0,6043.79,0,0,0,0,0,0,0,0,6507.01,14696.9,0,617.705,0,2319.27,0,0,0,6424.21,29808,0,0,0,0,0,10129.9,0,0,0,0,10059.6,2212.29,7818.72,37224.1
