"Abundances (Normalized):127N, WT Rep1","Abundances (Normalized):127C, WT, Rep2","Abundances (Normalized):128N, WT Rep3","Abundances (Normalized):128C, pup2-ts Rep1","Abundances (Normalized):129N, pup2-ts Rep3","Abundances (Normalized):129C, pup2-ts Rep3","Abundances (Normalized):130N, rpn5-ts Rep1","Abundances (Normalized):130C, rpn5-ts Rep2","Abundances (Normalized): 131, rpn5-ts Rep3"
13.5,16.2,19.1,18.6,16.6,21.1,22.4,17.7,33.1
19.5,19.3,25.3,51.3,34.6,48.4,51.7,47.8,53.5
22,33.7,24.3,81.5,80.7,160.4,87.8,135.2,122.3
8.7,26,37.6,177.5,98.3,160.6,161.3,173.4,167.9
15.7,28.5,36.1,50.5,86.8,88.3,59.8,56.5,45.4
11.7,29.5,33.9,36.2,41.7,52.9,43.3,50.6,52.9
24.3,29.8,47.2,191.8,177.5,289,68.6,65.3,26.3
43.5,33.5,30.5,22.3,22.2,26.4,24.7,28.4,21.4
29.6,36.6,43.2,170.2,114.4,129.4,159.6,167.2,155.4
39.4,36.9,54.3,53.8,44.6,49.3,79.6,74.7,116
53.7,42.3,48.1,37.6,52.4,49.5,39.9,39.9,38.6
45.5,48.3,60.8,118,68.1,117.7,114.5,116.3,128.5
79.7,61.2,29.6,33.8,37.3,30.3,24.5,27.5,37
55.6,67.3,63.8,41.1,39,36.3,48.1,49.1,42
66.1,40,63.9,62.6,99.8,88.3,63.8,78.9,64.7
79.4,64.3,52.7,43.1,36.7,39.7,31.7,29.4,41.2
68.2,40.2,150.9,896.1,785.2,962,816.4,1042.4,836.2
73.4,68.4,64.1,101.5,98.7,104.3,94.2,112.8,105.3
55.5,75,72.5,66.7,73.6,78.5,71.2,67.2,71.4
65.6,72.6,76.9,65.9,66.4,45.6,60.6,66.3,80.8
73.5,77.7,82,107.3,104.4,112.6,98,75.1,76.1
144.6,52.9,79.3,74.1,71.9,71.2,62.7,65.1,62.8
101.2,79.3,82.9,99.4,101.9,107.7,124.4,121.6,146.8
109.6,78.7,83.9,67.2,69.8,64.6,60.2,64.8,73.3
105,84.9,82.6,88.4,76.7,81.9,98.8,79.6,76.1
72.4,89.9,86.3,85,87.2,83,83.6,83.6,95.2
74.3,87.5,88,97.1,100.2,111.1,83.6,103.9,101.7
165.1,77.7,91.3,118.3,83.6,145.4,187.9,230.6,174.2
82.6,92.2,99.3,86.5,95.4,121.1,118.5,113.1,119.7
100.3,91.9,92.3,153.6,163.3,151,159.4,147.6,171
55.4,92.5,129.7,338.3,367.9,399.7,361.7,390.8,381.2
63.8,107.2,93,106.8,102.5,115.8,141.1,139.5,143.4
57.5,98.3,123.9,138.9,142.7,126.7,136.6,106.7,155.4
118.2,105.1,103.5,107,116.7,96.2,196.2,197.1,144.2
101.8,127.2,106.8,115.8,118.6,122.8,96.7,107.7,104.8
110.2,90.8,115.5,234.9,190.9,237.1,230.2,245.7,267.5
123.2,116.6,109.2,190.4,165.8,192.6,184.4,155.1,170.5
130.9,121.8,116.2,261.8,170.2,235.9,280.2,283.7,302.5
144,125,116.4,152.6,147.3,154.4,160.7,151,173.4
126.8,84.1,134.6,153.3,217.4,164,165.8,186,152.5
104.6,134.3,143.8,167.4,147.8,165.3,174.6,166.6,159.6
124.3,135.5,142.4,178.9,175.9,176.4,131.8,125.4,124.9
93.6,136.8,143.7,146.5,133.7,173.8,168.9,182.6,217.5
144.7,150.3,164.5,270.5,280.4,302,291,314.4,303.5
154.4,145.6,153.8,203.6,191.4,194.7,221.9,271.1,260
156.7,128.8,158.6,149,196.6,164.6,212.9,178.1,182.5
161.7,146.2,167.3,109,130.2,117.7,103.9,132.5,133.5
161.6,169.8,162,116.1,153.4,115.2,114.7,106.9,110
201.9,201.5,220.9,67.2,117,47.8,52.4,53.5,50.6
203.9,208.6,211.1,210.2,199.5,247.4,201.7,190.9,212
175.5,242.9,303.2,740.1,648.5,728.7,540.4,564.6,488.1
254.5,270,268.5,315.5,283.4,329.9,306.6,338.9,332.7
298,281.7,266.5,177.2,327.6,274.9,205,344.5,273
303.7,336.5,266,267.2,285.5,340.8,261.6,281.4,300.9
170.4,327.2,347.9,298.5,280.4,275.1,302.8,277.5,312.1
321.8,331.4,407.3,527.3,436.6,485.8,516.5,494.7,440.4
460.1,767.4,547.8,228.1,180.5,213.9,190.9,180,200.2
626.2,1199.9,613,246.7,192.4,138.6,125.6,100.9,143.9
6.8,5.7,10.8,60.7,27.2,71.7,53,52.9,62.1
17.8,16.7,25,25.5,32.7,27.3,31,21.8,30.2
23.2,22.7,36.9,75.7,61,65.3,72.2,65.3,61.3
20.9,23.9,35.2,37.1,38.6,53.3,41.4,53.1,50.1
14.3,25.1,35.2,39.2,47,37.3,50.3,37.1,37.5
26.2,29.5,19.2,51.8,47.6,93.8,45.6,52.7,24.5
26.8,24.3,28.3,28.2,22,29.2,25.1,22.6,25.6
26.8,26.6,31.5,33,32.5,35,39.9,30.5,23.2
18.9,28.3,31.2,77.7,63.3,98.7,83.8,78.1,104.8
25.1,28.7,45.6,62,60.2,75.1,74.1,68.9,65.4
19,29.8,35.5,61.7,32.5,107.5,60.4,66.3,30.8
24.1,31,44,155,88.2,169.3,167.9,176.6,188
29.7,31.7,35.4,58.1,45.7,61.6,59.1,70.4,56.1
,31.8,39.6,86.5,110.7,99.8,114.5,129.5,143.1
16.9,37,60.2,87,103.5,96.8,100.9,89.2,94.1
30.5,42.1,48.8,56.2,56.2,46.3,43.7,48.8,63.6
52.9,43.9,43,87.5,92.2,103,121.4,109.9,119.9
40.3,45.2,47.5,63.4,59.7,67.8,77.7,75.3,96.5
32,45.6,47.2,71,57.4,59.3,66.7,64.6,81.3
17.6,46.5,61.2,314.4,574.3,741.3,100.7,97.1,78.2
47.1,45.8,52.8,51,42.1,51.6,51.1,50.1,44.6
43.8,48.6,56.7,83.5,100.2,88.9,94.2,99.2,84
46.9,49.1,67,68.4,75.2,70.4,70.1,72.1,76.9
36.9,55.4,51.5,132.5,94.7,146.9,129.7,122.9,133
57.4,45.1,52.2,57.6,57.4,51.4,59.6,66.1,65.4
45.7,52.3,59.6,146.8,116.7,140.3,136.6,139.3,138.5
