"Raw Abundance:127N, WT Rep1","Raw Abundance:127C, WT, Rep2","Raw Abundance:128N, WT Rep3","Raw Abundance:128C, pup2-ts Rep1","Raw Abundance:129N, pup2-ts Rep3","Raw Abundance:129C, pup2-ts Rep3","Raw Abundance:130N, rpn5-ts Rep1","Raw Abundance:130C, rpn5-ts Rep2","Raw Abundance:131, rpn5-ts Rep3"
11.2,14.3,19.1,11.8,7.9,9.9,10.6,8.3,12.7
16.1,17,25.3,32.6,16.5,22.7,24.5,22.4,20.5
18.2,29.7,24.3,51.8,38.5,75.2,41.6,63.4,46.9
7.2,22.9,37.6,112.8,46.9,75.3,76.4,81.3,64.4
13,25.1,36.1,32.1,41.4,41.4,28.3,26.5,17.4
9.7,26,33.9,23,19.9,24.8,20.5,23.7,20.3
20.1,26.2,47.2,121.9,84.7,135.5,32.5,30.6,10.1
36,29.5,30.5,14.2,10.6,12.4,11.7,13.3,8.2
24.5,32.2,43.2,108.2,54.6,60.7,75.6,78.4,59.6
32.6,32.5,54.3,34.2,21.3,23.1,37.7,35,44.5
44.4,37.2,48.1,23.9,25,23.2,18.9,18.7,14.8
37.6,42.5,60.8,75,32.5,55.2,54.2,54.5,49.3
65.9,53.9,29.6,21.5,17.8,14.2,11.6,12.9,14.2
46,59.2,63.8,26.1,18.6,17,22.8,23,16.1
54.7,35.2,63.9,39.8,47.6,41.4,30.2,37,24.8
65.7,56.6,52.7,27.4,17.5,18.6,15,13.8,15.8
56.4,35.4,150.9,569.5,374.6,451.1,386.6,488.7,320.7
60.7,60.2,64.1,64.5,47.1,48.9,44.6,52.9,40.4
45.9,66,72.5,42.4,35.1,36.8,33.7,31.5,27.4
54.3,63.9,76.9,41.9,31.7,21.4,28.7,31.1,31
60.8,68.4,82,68.2,49.8,52.8,46.4,35.2,29.2
119.6,46.6,79.3,47.1,34.3,33.4,29.7,30.5,24.1
83.7,69.8,82.9,63.2,48.6,50.5,58.9,57,56.3
90.7,69.3,83.9,42.7,33.3,30.3,28.5,30.4,28.1
86.9,74.7,82.6,56.2,36.6,38.4,46.8,37.3,29.2
59.9,79.1,86.3,54,41.6,38.9,39.6,39.2,36.5
61.5,77,88,61.7,47.8,52.1,39.6,48.7,39
136.6,68.4,91.3,75.2,39.9,68.2,89,108.1,66.8
68.3,81.2,99.3,55,45.5,56.8,56.1,53,45.9
83,80.9,92.3,97.6,77.9,70.8,75.5,69.2,65.6
45.8,81.4,129.7,215,175.5,187.4,171.3,183.2,146.2
52.8,94.4,93,67.9,48.9,54.3,66.8,65.4,55
47.6,86.5,123.9,88.3,68.1,59.4,64.7,50,59.6
97.8,92.5,103.5,68,55.7,45.1,92.9,92.4,55.3
84.2,112,106.8,73.6,56.6,57.6,45.8,50.5,40.2
91.2,79.9,115.5,149.3,91.1,111.2,109,115.2,102.6
101.9,102.6,109.2,121,79.1,90.3,87.3,72.7,65.4
108.3,107.2,116.2,166.4,81.2,110.6,132.7,133,116
119.1,110,116.4,97,70.3,72.4,76.1,70.8,66.5
104.9,74,134.6,97.4,103.7,76.9,78.5,87.2,58.5
