Ependy,Medullo,Aggressive,Cranio.LGG_BRAF.V600E,HGG.rich,Ganglio.rich,LGG_BRAF.fusion.rich,LGG_BRAF.WT.rich
-0.08597,-5.88110,-6.35824,-0.78572,-0.99986,1.11828,-0.37225,2.33930
-2.31344,-8.41399,-11.46733,-2.49779,-3.17963,3.47468,-1.22473,3.58702
-0.98734,-9.44363,-10.73283,-1.80923,-1.00032,4.26844,-1.80222,5.80589
0.74583,-4.79958,-2.21315,2.01120,-0.24391,0.33786,-0.61712,0.73419
-0.34007,-0.11267,0.32788,0.93883,0.43147,0.36559,0.65940,0.24567
-0.78625,-1.84077,-0.23114,0.17981,-0.03121,0.00648,0.04424,0.26787
0.07449,-3.55462,-3.79091,-1.18595,-0.60192,0.28835,0.82259,1.05422
0.80502,7.30573,3.86088,5.52931,-0.03184,-2.76178,-0.25502,-2.34781
0.71326,6.88333,3.13310,2.11159,0.71256,-2.08834,0.28223,-1.08623
-0.29834,-6.51785,-15.97402,-1.55604,-2.05454,5.14127,-0.06692,1.60784
-0.77511,-2.21182,-1.41600,-0.06762,-2.39961,1.15845,-1.04009,4.67407
0.09277,-1.22191,-1.74636,-0.07404,-1.56953,1.24486,-0.58138,4.86148
0.63752,-2.92609,-0.87489,-0.04802,-1.91211,0.61441,-1.90772,2.67887
0.91010,-18.50188,-1.06179,0.13489,-0.88392,0.49233,0.75880,3.14537
1.08691,-2.94457,-0.99940,0.01655,-1.71025,0.72262,-1.21024,2.88558
0.59046,-2.86973,-0.41854,0.57932,-2.09745,0.61869,-1.93446,2.75726
-4.04284,1.89904,-2.49619,-2.43470,0.01506,7.81507,-2.01903,-0.36231
-2.66188,0.07922,-4.88967,-3.30033,-0.88129,4.91134,-0.85511,0.45234
1.55208,17.06667,16.40814,0.34986,1.90991,-0.57687,-3.19401,-1.53793
2.51510,7.84688,17.02064,1.68641,1.72967,-3.88615,1.39464,-0.24253
1.57615,10.54278,9.03098,0.15986,1.00386,-1.74086,-0.08165,-0.26326
3.35688,7.73109,1.31760,-0.40622,0.28561,-3.94074,-1.72881,-2.48165
3.05158,0.31774,-0.04332,-0.02520,-0.00873,-3.59758,-0.43294,-1.48592
-3.25036,0.42430,-0.43114,-5.52134,0.08296,2.25673,-0.58594,-0.73123
-3.71761,0.52962,-1.17666,-3.47597,-0.15907,10.22751,-1.64486,-0.33058
-3.80537,-6.17583,-7.60212,-3.88181,-2.92366,-1.69497,4.87289,-0.40446
-6.62961,-3.35752,-4.12332,-2.18778,-0.20296,-0.25977,10.50852,0.10548
-1.90190,-1.19354,-3.55980,-2.56624,-2.20741,1.22613,1.26310,0.01878
0.72375,0.86014,0.71995,0.11723,0.44110,5.90681,-1.71066,0.32142
0.59464,-8.15358,-4.84458,-1.66258,-2.35632,-0.16053,0.15131,1.37564
