Ependy,Medullo,Aggressive,Cranio.LGG_BRAF.V600E,HGG.rich,Ganglio.rich,LGG_BRAF.fusion.rich,LGG_BRAF.WT.rich,
2.3931,-9.8639,-4.8278,-0.0721,0.0273,0.0522,0.2227,1.1663,
0.2098,1.9922,4.6392,1.6711,0.5805,-1.7290,-0.0919,-0.2246,
0.0801,-4.1414,-1.5160,0.2816,0.4361,0.1255,0.2202,0.5123,
-0.1442,-0.1033,0.0121,2.1293,2.3942,0.0048,1.3327,0.9135,
0.1487,-7.1895,-6.5262,-1.4052,-0.8283,0.2339,0.2427,1.1742,
-3.0691,-7.2430,-3.9860,0.2248,0.0622,-1.0215,3.3335,0.4043,
1.2023,2.6977,2.2733,2.9492,1.8984,-0.5690,0.0425,-0.0170,
1.0594,-0.0599,2.6308,1.3231,2.5550,0.3066,1.2208,0.3385,
0.1242,0.8345,3.9189,4.2434,0.9929,0.0129,0.0537,0.0807,
-1.0236,0.3271,0.2336,2.5663,2.3333,0.3737,0.0624,0.6469,
-0.3770,-1.2797,0.0309,1.6787,0.9670,0.2178,0.3287,1.8239,
0.3074,4.0348,5.9465,3.8149,1.4730,-0.2160,-0.4354,-0.0133,
0.0569,3.4800,8.6410,4.2427,1.6649,0.0446,-0.6277,-0.0727,
2.9439,-2.0993,1.4600,3.5127,3.8826,-0.0998,1.7613,0.9515,
1.3154,-11.2470,-8.0175,0.1529,-0.0616,0.4131,1.3588,0.8691,
-0.3324,-5.1292,-0.7447,0.6582,1.7613,-0.9722,1.9442,0.5618,
1.2428,1.2846,7.8670,4.8328,2.6116,-0.2055,-0.2023,0.0628,
-0.4380,5.2583,2.2958,3.1819,3.4930,0.1483,0.0276,-0.0189,
0.1375,6.2768,4.7339,3.8496,2.0399,-0.1624,0.0746,0.0947,
-0.3313,0.0187,1.7775,3.0460,0.5910,-0.3970,0.0183,0.0480,
2.9623,-4.6039,-0.9475,0.7095,1.1615,-0.0313,1.9405,1.6815,
-2.6189,-6.3781,-3.5038,0.4628,1.2386,0.6238,3.4885,1.4521,
0.5554,3.1094,8.1555,5.3664,2.8339,-0.0761,0.0610,0.2001,
0.1615,8.6252,7.4445,3.5335,1.3824,-0.2305,-0.3535,-0.1184,
0.4357,3.7578,7.3194,4.5379,1.4461,-0.2051,-0.1097,-0.0432,
0.0562,2.3466,5.9387,1.4369,1.0221,-0.2608,-0.2272,0.0228,
-0.2033,1.8808,8.4373,4.4136,1.6160,-0.2660,-0.1737,-0.0302,
0.2496,1.7042,3.9113,4.3674,1.6978,0.1392,0.0216,0.3529,
0.9220,0.9588,-0.0637,1.1074,1.2806,1.2608,0.6313,0.5954,
0.5995,1.9741,9.1363,4.5578,4.0336,-0.0738,0.5426,0.1959,
0.0337,5.7917,5.9235,2.1559,1.1518,-0.1775,-0.2021,-0.0556,
0.1240,3.5221,6.0078,3.6400,1.6946,-0.0066,0.2464,-0.0562,
-0.0883,3.4934,4.7301,3.1384,0.7063,-0.9000,-0.6866,-0.4188,
0.2777,1.5531,6.8674,4.1252,1.2616,-0.0691,-0.0620,0.0418,
0.4656,2.3709,6.0322,3.8286,1.8785,0.0243,-0.2102,-0.0244,
-0.0707,3.3969,5.1554,3.5964,1.7246,-0.1209,-0.2807,0.0543,
-0.8704,-7.9629,-5.6880,0.7299,0.3014,-0.2862,1.2330,0.8711,
0.2871,3.2392,7.6143,3.6813,1.5586,-0.3505,0.0526,-0.0379,
0.0841,2.0701,2.7236,3.3603,0.6866,-0.1103,0.0950,0.2118,
0.1693,1.7521,3.7562,1.3297,0.4849,-0.5408,-0.5085,-0.2062,
-1.0594,0.5669,-0.0545,0.4761,0.6723,0.0636,0.0547,-0.4194,
0.1100,2.4709,8.2438,3.7797,2.6882,0.0546,-0.1954,-0.0020,
-0.2794,2.5692,3.7724,0.4960,4.0443,0.2598,0.5973,0.0463,
2.4021,4.9317,2.5255,-0.2209,4.0686,0.7543,-0.0202,0.7857,
0.3191,1.9425,7.6762,3.6266,2.2051,-0.1151,-0.1054,-0.0203,
1.6030,-0.1889,0.4239,1.0405,0.8115,0.4180,0.0125,-0.0532,
1.3740,1.0465,2.7641,2.9987,3.9743,-0.3989,0.0615,0.2465,
-0.0255,2.2703,6.5151,3.6931,0.9759,-0.1967,0.0034,0.0901,
0.1436,3.2146,7.3533,3.3170,1.9536,-0.2523,-0.0405,-0.0298,
0.0936,5.5951,6.6284,3.9028,2.0525,-0.0351,-0.1505,-0.0016,
-0.0471,4.4675,7.8313,2.0826,1.7692,0.0224,-0.7609,-0.2678,
-0.0607,0.4113,6.0134,2.5863,0.4401,-0.2276,-0.2116,-0.0498,
-0.4421,4.5526,7.3427,2.8249,1.6710,-0.1497,-0.2190,-0.0565,
-0.0592,1.5975,4.4718,3.2509,1.3829,-0.1940,0.1882,0.0881,
-0.0181,2.7452,4.6863,3.2574,1.2569,0.0292,-0.4167,0.0203,
-1.1315,-3.2150,-7.7264,-0.2466,-0.3809,0.2482,0.5001,0.0418,
-0.0056,2.4414,5.2436,2.8834,1.2187,0.0483,-0.0913,0.0706,
0.2439,4.4374,8.4932,3.9269,1.4600,-0.2514,-0.0521,0.0171,
0.1973,0.5050,4.0170,3.6662,1.8908,-0.0090,0.1887,0.1576,
0.0727,4.5012,5.8244,1.6574,0.5070,-1.3339,-0.5866,-0.2656,
0.2994,2.7868,8.4583,3.7515,1.7827,-0.1919,-0.1663,0.0271,
0.3118,3.4428,4.9765,5.0502,2.1391,-0.0177,0.0769,0.2509,
0.5938,3.8877,8.4445,3.8215,4.3930,-0.2947,0.2463,0.1059,
0.2929,3.6980,7.6119,3.4017,1.3707,-0.1326,-0.1354,0.1097,
0.7182,4.8047,8.1891,3.4493,1.7347,-0.2577,0.0014,0.0688,
0.2010,2.0128,6.5920,3.1858,2.2970,-0.3431,-0.4226,-0.0416,
0.0588,1.9433,8.6577,4.2085,2.6174,-0.2464,-0.0619,0.0158,
0.1193,1.8248,8.5454,3.8541,1.3923,-0.2306,-0.1755,-0.0011,
0.0055,4.3943,8.8294,2.3572,1.8710,-0.5669,-0.1816,-0.0330,
0.0660,2.2528,4.7001,3.3833,2.5824,-0.0021,-0.0130,0.1986,
-0.0484,2.8401,8.4057,3.6596,1.8563,-0.3588,-0.2125,-0.0688,
1.1058,-1.1971,-0.0126,-1.2157,-0.5184,-0.0024,0.3197,0.0762,
0.0843,-8.4925,-6.9904,2.2711,-0.4785,-0.7815,1.1174,0.5245,
0.4361,-1.5335,-0.8691,0.4064,0.5503,-0.5216,-0.2397,-0.2105,
0.1285,2.7681,3.9914,2.6159,0.7838,-0.2665,-0.1760,0.0811,
0.0131,3.4930,5.8263,2.1054,1.8906,-0.4806,-0.3303,-0.0739,
-0.3664,1.5942,2.7639,2.1559,0.6023,-0.5227,-0.0501,-0.2495,
-0.0733,5.6547,-3.0517,0.0112,0.4618,-1.8895,-0.2972,-1.4958,
0.0428,2.1830,5.7060,2.4310,0.2757,-1.4822,-0.6765,-0.2845,
0.0242,6.4336,6.2553,0.0897,1.0103,-0.4564,0.0065,-0.0624,
0.0882,3.6146,8.1435,4.0565,1.6020,-0.7430,-0.1663,-0.0333,
-0.0092,2.3392,6.0536,3.0104,0.8972,-0.1242,-0.3840,-0.0386,
0.1929,4.2504,6.0608,3.2462,1.2359,-0.0420,-0.2421,-0.0221,
0.0324,0.1327,1.1838,-0.2807,0.1377,-0.5739,-0.2232,-0.4263,
0.3916,2.8729,8.7300,4.4600,1.5388,-0.0432,-0.1496,-0.0699,
-0.0442,2.4106,4.8430,2.2881,0.0171,-0.6282,-0.6588,-0.1969,
0.3296,13.8674,7.0674,0.7127,0.8036,0.1073,-0.0174,0.0474,
0.0020,1.4663,5.8926,2.5713,1.1641,-0.3437,-0.1989,-0.0001,
0.1191,1.5086,8.6377,2.5833,1.0721,-0.6207,-0.3434,-0.0761,
-0.1033,1.0580,5.7782,3.1970,0.8768,-0.2394,-0.3929,-0.0104,
0.2239,1.9329,6.1380,4.1464,0.5248,-0.3600,-0.2410,-0.2026,
0.1191,0.8453,4.4788,3.3409,1.6497,0.2329,0.7403,0.8910,
0.1004,2.8215,5.2361,1.2431,1.0040,-0.9386,-0.2949,-0.0909,
0.6765,4.1343,6.6156,0.2067,5.6155,2.3587,-0.0105,0.2456,
-0.7181,0.5903,0.0713,-0.5226,-3.8160,-0.4165,-0.6409,-0.6808,
1.8942,-15.1215,-4.5044,0.0700,-0.0306,-0.7914,2.2633,0.6988,
-0.3542,-2.0850,-0.4191,0.4596,0.4028,0.3783,2.9670,0.7365,
0.1811,3.5054,9.0619,4.2858,2.1459,-0.0572,-0.0222,0.0483,
-0.2750,2.0269,5.9141,1.1512,0.3119,-1.3765,-1.2832,-0.4357,
0.2177,5.9803,10.1840,3.0371,1.8698,-0.4505,-0.6997,-0.1015,
0.0398,3.1543,6.1980,1.7021,1.5747,-0.5024,-0.2632,-0.0899,
0.5730,5.2899,3.6761,0.4299,-0.0059,-0.2635,0.3787,-0.0590,
0.4686,0.1359,1.8848,0.7503,4.4090,0.6435,1.6755,0.9285,
0.1710,4.5282,6.4562,4.1921,1.0572,-0.3700,-0.0294,0.0603,
-0.0277,6.1841,7.6031,2.7744,0.8560,-0.4602,-0.3002,-0.2343,
0.1192,4.6609,4.6968,3.9883,3.8102,-0.0267,-0.0725,-0.0171,
2.8605,0.5358,0.1894,0.3701,1.3049,-0.0255,0.7777,0.5170,
0.3763,1.6149,2.9235,2.8399,1.5144,0.0581,0.0138,-0.0046,
-0.0004,2.1673,3.1405,1.1799,0.1456,-0.3746,-0.7267,-0.1709,
-0.6583,-0.2336,-0.0961,0.8905,0.4599,-0.5341,-0.0616,-0.1286,
-0.3069,0.1086,-0.4869,2.0107,1.8036,0.2672,0.1380,0.0950,
0.5965,-1.9189,0.8877,1.9702,5.2442,-0.5013,1.5648,0.2823,
0.1470,4.1639,7.1621,3.0951,1.1838,-0.7116,-0.5031,-0.1851,
0.2754,0.1204,0.0543,-0.0958,-0.4219,-2.7373,-0.6256,-1.4105,
-0.0023,3.5116,8.5940,2.3005,1.4843,-0.0646,-0.0943,0.0670,
0.0523,-7.3334,-7.8520,-1.6725,0.1287,0.7459,0.2206,0.4385,
4.6283,-0.1550,-0.1329,-0.0120,0.2294,1.2036,-0.4515,0.2352,
0.4790,3.6411,5.0899,4.7815,2.2991,0.2687,0.0521,0.1823,
0.4814,2.3467,7.3814,0.3999,0.3273,-0.8163,-0.1864,-0.1094,
