WT_1,WT_2,WT_3,WT_4,WT_5,KO_6,KO_7,KO_8,KO_9,KO_10
601.4,565.7,601.6,617,624.9,257.8,249.4,272.1,259.3,237.4
501.5,509,851.1,2517.8,2767.2,522.2,482.9,570.8,600,621.9
263,288.3,437.7,1112.1,1472.3,326,292.9,330.2,309,359.5
3053.3,2481.6,3082.2,3669.9,3599.4,1550,1682.2,1872,1744.7,1629.4
3276.5,2603.3,3560.6,3646.7,3515.2,1691.6,1867.5,2003.4,1933.3,1781.7
14724.8,12002.5,15082.7,17309,16926,7884.1,8849,9490.4,8969.7,8490.2
1125.8,919.3,1158.3,1336.9,1340.5,587.9,636.5,689.2,640.8,606.1
3728.3,2971.6,4058.2,4200.1,4158.9,1987,2306,2389.9,2371.7,2057.9
3141.2,2516,2809.2,3512.1,3462.1,1726.1,1767.1,1875.1,1794.3,1829.7
3179.4,2706.1,3386.7,3842.5,3708,1708.4,1996.7,2141.8,2056.9,1913.3
7851.2,6328.5,7822.9,8815.6,8702.1,4278.5,4733.1,5050.4,4779.9,4492.7
1639.2,1337.2,1433.1,1787.8,1750,712.2,773.2,859.2,761.8,791.8
3504.2,2762.6,3287.5,4043.3,3896.9,1931.4,2120.1,2187.1,2158.6,2045.3
4010.5,3338.5,3849.1,4702.5,4609.8,2304.9,2502.3,2658.8,2550.6,2439.7
3143.7,2586.9,3008.1,3610.7,3503.9,1826.1,1908.9,2118.6,1934,1894.1
1130.8,883.6,775.2,1284.8,1337.7,685.3,542.7,585.6,586.6,738.6
2879.4,2415.1,3355.8,3421.4,3308,1589.8,2020.6,2132.6,2174.9,1673.3
5088.4,4122,5326.5,6095.8,5528,2760.1,3199.4,3461.4,3272.1,2996.5
4542.3,3711.8,4484.8,5225.1,5185.1,2583.3,2807,2947.7,2844.9,2720.4
3775.7,3102,3874.2,4450,4325.6,2253,2492.5,2617.4,2529.3,2366.5
4337.2,3562.5,3956.2,4949.3,4768.3,2473.1,2677.7,2743.8,2666.4,2598.8
3139.4,2478.4,3024.6,3510.8,3478.9,1888.9,1991.7,2127.1,2025.7,1943.5
115.3,106.1,121.2,124.5,123.4,60,62.6,70.4,70,62.7
5857.7,4861.3,5244.2,6500.1,6461.7,3455.4,3487.4,3787.6,3529.7,3554
9827.6,7895.7,9996.7,10999.9,10712.1,5764.8,6635.4,6795.7,6767.9,6162.2
30.2,30.4,56,151.4,127.9,30.8,35.5,35,42.7,41.7
7126.5,5718.6,7497.8,7799.1,7821.4,4117.1,4882.7,5055.8,4997.5,4364.4
4420.4,3664.1,4388,5304.2,5001,2641.1,2835.5,2960.3,2910.3,2735.6
1858.6,1581.5,1948.7,2220,2004.9,1007.4,1173.2,1165,1227.8,1133.7
1603.8,1370.2,999.8,1837.2,1616.5,911.4,699.1,786.2,716.7,1019.1
1958,1691.1,1802.2,2211.2,2168.3,1119.1,1133.7,1263.1,1170.1,1210.4
6014.7,4890.8,5529.2,7192.1,6970.5,3636,3788.2,3924.8,3934.6,4002.9
645.9,485.2,580.9,697.6,696.8,340,361.9,398.5,412.9,355.6
3533,2916.4,3321,3500.2,3613.2,2021.4,2329.5,2314.3,2291.7,2184.7
4029.1,3337.4,4014.2,4576.5,4475.5,2443.6,2784.6,2786.6,2809.2,2671.3
2607.4,2139,2144.9,2655.3,2627.8,1550.3,1618.7,1584.3,1577.2,1631.6
3407.8,2945.2,3125.5,3855.6,3748.5,2155.7,2217.9,2294.4,2387.1,2292.6
9029.9,7228.4,8921.8,9244.9,9032.5,5277.2,6081.3,6435.5,5976.7,5570.9
622.5,675.6,495,790.7,662.7,394,366.5,384.7,379,463.1
11158.6,9196.1,11564.8,12651.9,12186.7,6812.8,8041.1,8056.7,8010.7,7369.5
