380-1,380-2,380-3,800-1,800-2,800-3,380-1P,380-2P,380-3P,800-1P,800-2P,800-3P,380-1Fe,380-2Fe,380-3Fe,800-1Fe,800-2Fe,800-3Fe,380-1FeP,380-2FeP,380-3FeP,800-1FeP,800-2FeP,800-3FeP
5.4168,5.5541,7.1894,6.102,6.4754,4.9746,7.9523,4.1648,6.7441,7.5877,8.4571,7.2322,3.7659,4.4274,7.0004,4.254,7.8655,6.4487,6.2233,5.5104,3.9739,5.7392,8.9549,7.4923
15.348,18.514,15.278,13.076,14.801,11.939,13.916,13.536,14.452,15.175,8.4571,10.848,14.122,13.282,22.168,18.079,11.798,16.122,15.558,15.613,10.928,20.087,20.596,17.794
13.542,10.182,16.176,9.5888,13.876,11.939,10.934,10.412,12.525,9.7556,9.8666,8.4375,12.239,12.175,10.501,10.635,13.765,12.897,14.521,11.939,12.915,9.5653,9.8504,11.238
7.2224,6.4797,7.1894,9.5888,8.3255,6.9645,5.9642,8.3296,7.7076,7.5877,9.8666,6.0268,10.356,9.9617,5.8337,10.635,11.798,13.972,15.558,8.2655,3.9739,9.5653,9.8504,13.111
0,2.777,1.7974,1.7434,3.7002,3.9797,2.9821,4.1648,4.8172,6.5037,2.819,3.6161,3.7659,4.4274,3.5002,2.127,3.9328,4.2991,6.2233,3.6736,4.9674,5.7392,3.5819,4.6827
3.6112,3.7027,2.696,6.102,3.7002,2.9848,4.9702,5.206,4.8172,5.4198,7.0476,8.4375,5.6489,3.3206,3.5002,5.3175,6.8823,4.2991,7.2605,4.592,6.9543,5.7392,6.2684,4.6827
9.028,6.4797,8.9868,12.204,12.951,10.944,8.9463,12.494,7.7076,11.923,5.6381,9.6429,11.298,8.8549,12.834,12.762,13.765,11.823,9.335,11.021,13.909,13.391,11.641,14.985
3.6112,5.5541,4.4934,5.2302,5.5503,4.9746,4.9702,5.206,4.8172,5.4198,1.4095,1.2054,6.5904,5.5343,7.0004,4.254,5.8991,3.2243,5.1861,5.5104,4.9674,4.7826,5.3729,5.6192
19.862,21.291,17.974,22.664,21.276,21.888,10.934,15.618,12.525,15.175,15.505,12.054,24.478,16.603,22.168,19.143,20.647,19.346,12.447,16.531,12.915,21.044,25.074,26.223
32.501,31.473,35.947,31.381,35.152,34.822,28.827,31.236,26.977,34.686,35.238,42.188,31.069,24.351,40.836,28.714,29.496,35.468,31.117,33.062,28.811,37.305,36.715,37.461
4.514,5.5541,5.3921,7.8454,6.4754,6.9645,3.9761,3.1236,3.8538,1.084,4.2286,3.6161,9.4148,5.5343,3.5002,6.3809,8.8487,9.673,3.1117,4.592,7.9478,5.7392,8.0594,7.4923
3.6112,0,3.5947,3.4868,0.92505,0.99493,3.9761,1.0412,6.7441,3.2519,0,2.4107,2.8244,3.3206,1.1667,3.1905,3.9328,2.1496,4.1489,5.5104,3.9739,2.8696,3.5819,1.8731
