Ctrl_p1,45I_p1,120R_p1,Ctrl_p3,45I_p3,30R_p3,120R_p3,Ctrl_p5,45I_p5,30R_p5,120R_p5
0.4627686,1.24325,1.370163,0.8001442,0.8405781,-3.346778,0.625082,-0.2534256,-0.9618454,-3.916733,-0.4605045
-3.844338,-3.012859,-2.116707,-4.202477,-2.457833,-3.374892,-1.091356,-2.915642,-1.994839,-3.441255,-1.378628
-2.032246,-3.033451,-1.385906,-2.482878,-3.704783,-3.553141,-2.842339,-3.054946,-3.583059,-3.409923,-1.3363
-3.432615,-2.958384,0.2924156,-3.497353,-3.681576,-3.465493,-0.097929,-3.408276,-2.579869,-2.868431,0.4045773
-1.68022,-0.5298996,0.8997002,-1.361748,-3.244538,-3.01691,0.8862858,-2.453209,-1.658747,-1.291752,-0.1412411
-3.227808,-4.61916,-0.7820187,-3.250572,-3.238239,-4.434254,-3.018013,-3.455733,-2.863756,-3.803566,-0.3959084
-3.167207,-3.079751,-0.1680241,-0.004735947,-3.311993,-2.272059,-0.8020668,0.3846455,-3.603418,-3.216087,-0.06781769
-3.963432,-1.926435,-1.401733,-3.325697,-2.440802,-3.597605,-1.761164,-2.792362,-3.207241,-3.723995,-1.806883
-2.990721,-4.415453,-1.447874,-2.149231,-3.39439,-3.950023,-2.629377,-2.946996,-2.890146,-3.773009,-1.85243
-3.391249,-3.404692,-0.7009754,-3.254715,-3.371121,-4.273501,-2.054855,-1.077923,-3.343773,-4.371423,-0.6328049
3.097168,2.382244,2.267548,1.865557,1.98506,-3.130805,1.947926,1.607201,0.5467548,0.4044437,1.714514
-2.251374,-0.6442127,-0.3598194,-3.082276,-2.818145,-4.461283,-1.147104,-2.77796,-3.635279,-3.9871,-0.4681892
-2.637451,-3.370383,-1.719488,-3.080427,-2.856682,-2.881781,-2.230158,-2.995067,-2.425468,-3.819473,-1.525566
1.016483,1.453045,2.111958,0.8322926,0.8251247,1.355856,1.720869,1.078203,0.9440193,0.9074326,1.518923
1.016483,1.453045,2.111958,0.8322926,0.8251247,1.355856,1.720869,1.078203,0.9440193,0.9074326,1.518923
-2.211341,-3.833956,-0.4675198,-3.486493,-2.956421,-3.385093,-0.6287384,-3.804334,-4.192115,-3.979717,-0.2175083
-3.319679,-3.833956,-0.4675198,-2.391316,-2.354501,-3.828006,-0.6287384,-2.10718,-2.013406,-3.36398,-0.2175083
-2.841732,-3.845185,-0.9685879,-3.566439,-3.295402,-3.031305,-0.9813633,-3.440455,-3.100689,-2.987249,-0.5796738
-3.218365,-2.633457,-1.106262,-2.189569,-2.825054,-2.125647,-1.942789,-2.654431,-3.847485,-3.170788,-0.8217945
-3.668296,-2.882233,-1.43648,-2.382945,-3.047023,-3.433831,-1.738546,-2.545712,-3.217043,-3.702275,-1.07638
-3.488865,-1.726822,-0.004468918,-3.170197,-4.385138,-3.005736,-1.101082,-3.314365,-3.645564,-3.35063,-0.8882179
