C1_liver,C2_liver,C3_liver,C_liver_average,V1_liver,V2_liver,V3_liver
0.465453327,0.654243767,0.640485704,0.586727599,0.171565458,0.193714395,0.233041063
1.335690737,1.20943892,0.920601547,1.155243735,0.629599273,0.526139915,0.666142106
3.109550953,2.638978004,3.621137619,3.123222192,1.551914573,1.549080253,1.918465257
0.92088753,0.990378261,1.10480082,1.005355537,0.856705248,0.730447233,0.833932877
2.159230471,1.130780697,2.502155304,1.930722157,3.801959038,3.642712831,3.439898014
72.62263489,50.67459869,49.93254852,57.7432607,133.1397858,130.8783417,162.2227325
23.22377968,22.02361679,23.70602798,22.98447482,11.82332993,6.351438999,16.62619972
4.370601654,4.429950714,4.272646427,4.357732932,6.702047825,6.971646309,7.063474655
0.555312872,1.108383656,0.94968909,0.871128539,2.154657125,2.310270548,1.605365634
0.456335574,0.351937771,0.368859202,0.392377516,0.24733749,0.180758864,0.111951888
0.137035877,0.038275406,0.085096136,0.086802473,0.17209971,0.2442265,0.208925024
0.435742766,0.457795024,0.556579292,0.48337236,0.641389132,0.916409075,0.953537166
2.097035885,4.091666698,2.758020401,2.982240995,10.9756012,9.374613762,11.57224274
1.241324306,1.079822898,1.656740546,1.325962583,0.301203907,0.348465353,0.577525496
2.776772499,1.895146132,2.762561321,2.478159984,0.691896677,0.452456921,0.51408875
0.814075232,0.360430747,0.719620943,0.631375641,0.251219958,0.122905225,0.205691695
1.078973889,1.124760389,1.009344935,1.071026405,0.925057888,0.888239145,0.946193039
2.0429883,1.618498206,1.421144485,1.694210331,0.831415892,0.939967573,0.939973056
5.542728424,4.194871426,4.441446304,4.726348718,2.444772959,1.498120308,2.235986233
0.511284471,0.979735136,0.597512424,0.696177344,1.233410478,2.450953245,1.977405667
0.12128374,0.115580909,0.052753799,0.096539482,0.392591268,0.231551692,0.306070149
0.38152191,0.375660688,0.232920945,0.330034514,0.489189684,0.566573679,0.611360908
5.311145306,5.606420994,6.825704575,5.914423625,1.109777331,0.660373271,1.817296267
37.10521698,24.3801403,38.85032654,33.44522794,19.36598587,9.301431656,6.119604111
0.921684861,0.918600202,0.897699952,0.912661672,1.155262828,1.075470805,1.007044315
2.555174112,0.094848715,1.614754438,1.421592422,4.120748043,5.393727779,7.587305069
2.483896732,2.703624725,1.947254181,2.378258546,3.806233168,4.569681644,4.024655819
2.668504238,1.241117239,1.933861971,1.947827816,4.85663414,4.37352705,4.381369591
1.009256363,0.58948952,1.458326459,1.019024114,0.262867332,0.149584815,0.279267848
8.220834732,5.955815792,7.69175148,7.289467335,3.548423767,2.334163189,5.128522396
0.483931363,0.560892999,0.567569375,0.537464579,0.202008903,0.185159832,0.077884696
25.39747429,24.91838646,25.5095253,25.27512868,54.38290787,45.3392601,63.47047424
4.419829845,3.464263439,5.66055727,4.514883518,1.70621562,1.799736023,2.769559145
1.642606974,0.822346807,1.033562541,1.166172107,0.041375104,0.071079455,0.593000591
0.509724379,0.52735126,0.621499777,0.552858472,0.289182574,0.255457729,0.268236667
11.2827158,9.748973846,8.813135147,9.94827493,13.07711601,16.17049217,19.15430641
5.43803072,4.309903145,3.937678814,4.561870893,9.43009758,8.906117439,10.37732315
0.062536448,0.153491333,0.122820899,0.11294956,0.175750688,0.287143081,0.245722473
0.512220502,0.325760156,0.69563359,0.511204749,0.215864658,0.136041164,0.195001513
0.908719003,0.766658843,0.885624051,0.853667299,1.355939507,1.778884172,2.413406849
1.02884388,1.301463842,0.917969167,1.082758963,2.510952711,1.860854506,1.888151884
13.43040371,16.0552578,9.844362259,13.11000792,22.66998863,40.8080101,28.38204575
0.050657157,0.08857815,0.025655409,0.054963572,0.278083712,0.560024023,0.41445595
1.717698097,1.632294655,1.618900299,1.656297684,1.945360661,1.972899318,1.993667483
0.096106775,0.100585908,0.11395479,0.103549158,0.205378458,0.218422398,0.17532225
2.196290493,2.279479027,1.815274358,2.097014626,2.996366978,4.033349514,3.824190855
0.650268674,0.381537646,0.316945791,0.449584037,0.898771167,1.364588618,1.02690351
4.087710381,3.712171316,2.901714325,3.567198674,2.148993731,1.378957748,1.563361883
0.199417591,0.176352024,0.187101454,0.18762369,0.495316118,1.212243676,0.671387911
13.55832863,20.02257347,10.41031933,14.66374048,29.72965431,32.69385529,47.25345612
9.066736221,7.364139557,6.65789175,7.696255843,11.56936646,17.23847389,12.31864357
7.579476357,6.747774124,7.794412136,7.373887539,3.703294516,4.409617901,4.513264656
2.048743248,2.117252827,1.993682384,2.053226153,1.65955472,0.846134543,1.270795941
0.457271576,0.227603883,0.436839879,0.373905112,0.160886899,0.048961688,0.06567613
1.548171163,1.737399459,1.544963956,1.610178192,1.052110434,0.752969861,1.327300668
0.514092565,0.502839923,0.545918226,0.520950238,0.819234192,1.469248652,1.055605531
2.263442516,1.321459889,1.721957207,1.768953204,0.813392758,0.592939138,0.985011995
3.96359849,4.714482307,3.074825048,3.917635282,4.993766785,6.690948963,5.97084856
2.31658864,2.34351635,2.512454271,2.390853087,1.027960896,0.833102167,1.114133716
0.196966544,0.145375758,0.190747261,0.177696521,0.088014327,0.14211534,0.065340921
0.427006423,0.729820251,0.472376704,0.543067793,0.244217306,0.32672137,0.151594654
25.27994919,39.75202179,22.2411232,29.09103139,66.67142487,60.70742035,53.05381012
4.93569088,5.828600407,3.892599821,4.885630369,8.812823296,11.75886726,10.83108521
2.434217453,3.023597717,2.189332247,2.549049139,0.782439947,1.011979699,0.741719127
0.167034149,0.158279657,0.068962507,0.131425438,0.269631356,0.301679164,0.283899128
8.119951248,7.879450798,7.065249443,7.688217163,10.50756931,13.42199707,9.487033844
0.229398504,0.142251521,0.15815866,0.176602895,0.310995549,0.298424423,0.300236046
1.767654657,1.814982653,2.505511522,2.029382944,0.447301894,0.124619469,0.777353108
0.259823173,0.234749421,0.062242664,0.185605086,0.337741762,0.544919908,0.428432226
0.723279655,0.666356087,0.46306473,0.617566824,1.29827261,1.660724044,1.193495274
0.170903116,0.256200373,0.401105613,0.276069701,1.101193309,0.889609158,1.157936215
2.964985371,3.7523067,1.919318318,2.87887013,0.152431771,0.12286438,0.112304702
7.439071178,7.214348793,8.823336601,7.825585524,3.819412231,2.71771574,5.223321915
0.653250158,0.583791733,0.83810997,0.691717287,0.221289411,0.299794495,0.347946674
0.448500603,0.46954906,0.374354243,0.430801302,0.182479084,0.176839173,0.079308257
0.772126853,0.746340334,0.692376018,0.736947735,0.385859311,0.379809856,0.526453853
2.091176987,0.947519243,2.190418243,1.743038158,0.527301908,0.30051294,0.070236422
1.042399049,0.834136665,0.599355102,0.825296938,3.234977961,6.14793396,4.802158833
7.676893711,8.857750893,9.593630791,8.709425131,4.954229832,3.241683483,6.775704384
0.078622453,0.089372292,0.124088138,0.097360961,0.344188809,0.368715644,0.30610013
1.223643661,1.199297547,1.261656523,1.228199244,0.485271633,0.650916457,0.889276147
0.679563165,0.558348715,0.748840094,0.662250658,0.277499557,0.254608929,0.358037323
16.18789864,20.27951622,10.92790699,15.79844062,33.03401184,42.72609711,40.92475128
0.598127961,0.421816498,0.557368994,0.525771151,0.196028501,0.142386928,0.215531334
0.379684538,0.058250688,0.605113328,0.347682851,1.122244,2.012998819,2.104541302
27.68313599,25.0674572,33.02621841,28.59227053,8.39893055,6.0089221,10.60626507
0.939192235,0.466574669,0.799940765,0.73523589,0.238810316,0.361230373,0.158265874
3.712601662,2.956227064,2.289329052,2.986052593,5.567586899,8.002873421,6.054406166
18.03363037,13.71485996,17.72169495,16.49006176,12.65538692,11.70606899,11.10686588
1.254151583,1.360699534,1.368760467,1.327870528,0.848976016,0.582546651,0.776491344
10.77309895,16.08965874,11.22536278,12.69604015,35.89670563,49.11530304,43.61137009
0.140142694,0.084078267,0.04898328,0.09106808,0.196580589,0.233479828,0.322594404
17.58537102,16.63757896,12.05488586,15.42594528,7.680499077,5.824463844,8.868030548
3.753510237,2.843095303,2.854266167,3.150290569,2.102511168,0.85592556,1.406587243
1.045969844,0.704986453,1.241420269,0.997458855,0.244562775,0.431939334,0.406474829
0.659837067,0.502194881,0.270438612,0.477490187,0.774033844,1.031494856,1.196905017
4.847287178,3.463761806,4.174920082,4.161989689,2.78247571,3.154500484,2.520870924
14.41081524,6.548171043,13.98209953,11.64702861,4.408904552,1.692102075,5.098171234
0.442086995,0.453064799,0.379553139,0.424901644,0.174080133,0.096824728,0.143135503
16.21875763,18.47951126,23.50235176,19.40020688,4.196616173,6.243170738,2.79073
14.28982639,11.00535679,10.48040581,11.92519633,30.93108368,57.79685593,42.59217834
16.71173286,11.182024,12.46388817,13.45254834,4.437044144,3.61297226,6.308452606
1.045900464,1.351525664,1.243822217,1.213749448,0.840035677,0.796845496,0.687612414
0.073555209,0.053605553,0.073936358,0.067032373,0.095994815,0.10812369,0.093532674
102.6728897,166.5119934,94.71554565,121.3001429,288.0926819,355.3824158,356.9995117
1.829675913,1.639927626,1.88315618,1.78425324,0.762742639,0.487644315,0.432254195
