LFQ.intensity.1.Plasma.1,LFQ.intensity.2.Plasma.1,LFQ.intensity.3.Plasma.1,LFQ.intensity.4.WB.1,LFQ.intensity.5.WB.1,LFQ.intensity.6.WB.1
28.101,28.249,28.075,39.257,39.155,39.344
28.678,28.613,28.587,39.508,39.383,39.586
27.638,27.502,27.676,38.418,38.193,38.468
22.784,22.266,22.197,33.975,33.996,34.282
26.661,26.479,26.095,37.051,36.806,37.138
26.428,26.111,26.268,36.385,36.165,36.548
23.449,24.176,23.747,34.581,34.539,34.872
23.361,24.163,23.779,34.941,34.726,35.165
22.579,22.628,23.407,34.963,35.232,34.554
22.770,22.495,22.534,32.557,32.428,32.931
22.865,23.300,22.140,34.486,34.445,34.671
21.666,21.890,22.115,31.211,31.097,31.110
21.780,21.936,22.458,32.523,32.658,32.090
23.691,22.863,22.880,33.264,33.420,33.266
23.467,22.844,23.916,33.685,33.696,33.885
22.315,22.395,22.173,30.820,30.685,31.017
22.269,23.109,22.684,32.714,32.252,32.433
30.531,30.714,30.622,38.817,38.698,38.980
22.125,22.159,22.084,30.295,30.216,30.093
23.206,23.109,24.028,33.679,33.307,33.840
23.430,22.419,23.222,33.144,32.969,32.756
22.299,22.889,22.810,31.055,31.310,31.274
23.925,23.836,23.686,32.107,31.729,32.165
22.040,22.517,22.526,30.649,30.878,30.627
23.548,23.665,22.488,33.992,33.629,34.279
22.208,22.367,22.309,30.286,30.128,30.610
22.277,22.206,22.512,30.191,30.162,30.017
22.381,22.328,22.117,30.364,30.915,30.432
23.036,22.750,22.748,30.601,30.862,30.578
21.851,21.848,22.106,30.176,30.244,29.743
23.609,23.842,22.382,34.195,34.157,34.241
23.062,22.711,24.291,34.584,34.599,34.780
22.056,23.631,21.846,34.991,35.047,34.728
22.846,22.491,22.696,30.365,30.245,30.243
22.782,22.913,22.288,30.980,31.202,30.768
21.766,22.910,22.830,32.253,32.237,32.487
21.967,22.013,22.197,30.213,30.772,30.059
22.159,22.257,22.993,31.297,31.079,31.469
22.409,21.286,21.879,31.287,31.670,31.180
22.071,22.581,23.631,33.624,33.752,33.451
23.209,23.355,23.250,31.101,30.764,31.322
21.878,22.973,22.972,32.126,32.104,32.188
22.779,21.474,22.857,32.912,32.835,32.835
23.284,22.987,22.650,30.852,31.122,30.827
22.263,22.722,23.827,33.603,33.688,33.509
23.755,22.760,23.384,32.314,32.356,31.960
24.706,26.271,25.566,36.277,36.620,36.051
24.919,25.183,23.463,36.183,35.885,36.211
22.792,22.166,21.908,30.634,30.678,30.911
24.221,25.273,24.815,33.770,33.880,33.484
22.669,23.239,22.759,30.629,30.492,30.683
21.982,22.622,21.678,30.847,30.944,30.543
23.990,22.861,23.356,32.254,32.454,32.332
23.652,23.640,22.461,32.934,33.035,32.812
22.629,22.216,21.477,31.165,31.369,31.062
21.522,22.555,21.082,31.880,31.729,31.977
22.253,21.588,22.398,30.356,30.143,30.383
23.240,23.187,22.764,30.616,30.616,30.411
23.787,22.623,23.514,32.370,32.617,32.366
22.497,22.635,22.805,29.708,29.713,29.813
21.931,22.216,21.030,30.889,30.793,31.121
22.836,23.647,22.509,32.067,31.798,32.125
21.847,22.428,22.372,30.014,30.178,29.754
23.265,23.207,21.741,33.446,33.367,33.688
23.792,23.677,23.764,31.196,31.183,30.741
22.456,22.347,22.560,29.800,29.961,29.471
22.254,21.587,21.386,29.895,29.736,29.844
27.368,27.110,27.318,34.874,34.618,34.335
21.475,22.177,22.436,30.394,30.503,30.905
22.565,22.073,23.002,30.558,30.807,30.572
22.259,22.837,22.126,30.318,30.103,30.598
25.902,24.374,23.866,36.766,36.510,36.700
22.111,21.940,22.035,28.976,28.830,29.177
22.532,22.893,22.908,30.429,30.742,30.084
22.600,22.334,22.213,30.427,30.645,29.849
22.183,22.906,23.385,31.588,31.912,31.616
21.430,22.628,22.614,31.635,31.737,31.396
23.183,22.827,22.815,30.029,30.127,29.848
22.308,21.987,22.527,29.755,30.061,29.533
22.822,22.650,22.118,30.000,30.162,29.922
22.584,21.333,22.202,31.009,31.096,30.782
23.144,21.969,22.857,31.363,31.290,31.632
24.454,24.202,22.706,34.636,34.458,34.797
23.085,22.864,23.197,29.708,29.709,29.809
22.703,21.768,22.279,29.970,30.167,29.973
22.425,23.258,23.160,30.797,30.636,31.063
22.645,22.840,22.222,29.821,30.270,29.823
22.140,21.627,21.145,29.523,29.600,29.374
23.155,22.881,23.210,30.287,29.949,30.595
22.676,22.099,22.738,29.741,30.009,29.650
23.147,23.663,23.662,30.551,30.668,30.353
23.263,21.944,23.209,31.996,31.876,32.157
22.518,22.070,20.854,31.614,32.025,31.752
24.887,23.153,23.167,34.608,34.277,34.776
23.032,21.361,21.955,31.955,31.601,31.913
22.822,22.663,24.083,32.289,32.374,32.280
23.584,22.878,22.595,30.715,30.918,30.584
22.414,23.156,21.461,32.134,31.810,32.172
23.588,23.987,23.444,30.741,31.299,30.703
24.431,23.252,23.810,32.179,31.947,31.713
22.605,22.351,22.868,29.123,29.141,29.063
23.296,23.106,22.168,30.905,31.224,30.823
22.386,23.097,23.024,29.776,29.849,29.726
23.467,22.256,22.088,31.813,31.820,31.316
21.964,22.527,22.720,29.412,29.651,29.268
22.270,22.243,21.559,29.196,29.587,29.048
22.748,22.845,22.303,29.103,29.385,29.524
23.402,23.718,23.273,29.797,29.923,30.213
22.567,22.767,23.487,30.144,30.309,30.030
23.434,22.978,24.182,31.210,31.309,31.434
22.558,23.538,22.679,30.365,30.600,30.266
21.847,21.037,21.383,28.190,28.200,28.315
22.470,22.395,22.364,28.412,28.690,28.397
22.824,21.729,22.610,30.029,30.220,29.920
21.238,23.141,21.708,32.073,32.091,32.524
23.405,21.817,22.147,32.024,32.274,31.536
22.320,23.406,22.753,30.163,30.175,30.349
22.827,21.598,22.814,30.703,30.837,30.529
23.384,22.699,22.585,29.828,29.722,29.675
22.532,23.920,22.568,31.579,31.582,31.737
22.954,23.311,24.143,31.152,31.047,31.404
23.612,22.529,22.710,30.404,30.444,30.327
21.959,22.809,22.985,29.771,29.848,29.826
22.580,23.542,21.988,31.325,31.440,31.072
23.466,23.159,21.945,31.408,31.437,31.360
23.098,23.014,22.029,30.392,30.325,30.032
22.147,23.218,21.596,31.151,31.386,30.920
21.644,23.095,21.520,31.148,30.920,31.154
22.978,23.036,22.070,29.767,30.044,29.865
23.779,22.570,23.236,31.395,31.876,30.971
22.843,22.618,22.045,29.120,29.331,29.001
23.636,22.683,23.103,30.584,30.041,30.692
23.633,22.933,23.240,29.752,29.493,29.679
22.453,23.245,23.133,29.689,29.769,30.237
22.898,22.064,23.224,30.129,29.990,30.327
22.510,22.777,22.440,28.921,28.804,28.418
20.918,22.384,22.879,31.801,31.651,31.884
22.825,23.752,22.607,30.356,30.425,30.363
22.492,22.764,24.055,31.767,32.123,31.651
22.561,23.751,21.943,31.991,32.366,31.799
32.013,32.011,32.035,23.377,24.817,23.754
21.682,22.245,21.941,27.978,27.956,28.159
23.658,23.007,23.077,29.617,29.448,29.776
22.761,22.694,22.229,28.618,28.572,28.579
22.804,22.682,22.957,28.529,28.727,28.488
21.870,22.680,21.103,30.219,30.342,30.026
23.168,24.046,22.509,31.419,31.645,31.321
22.836,23.437,21.600,31.738,31.811,31.628
23.101,23.573,23.637,30.402,30.728,29.851
22.706,22.681,21.698,29.646,30.153,29.612
22.471,24.278,22.761,32.380,32.389,32.382
24.501,24.254,23.237,31.726,31.389,31.631
23.468,23.396,23.966,29.700,29.980,29.584
21.953,22.120,22.674,28.408,28.384,28.482
22.842,21.951,23.864,32.095,31.808,32.041
22.578,22.274,22.497,28.512,28.112,28.677
24.372,24.574,24.703,30.217,30.182,30.525
23.183,23.426,22.738,29.193,29.128,29.459
23.700,23.985,22.948,30.995,30.502,31.349
24.226,25.159,24.379,31.216,31.119,31.077
23.432,22.371,23.231,30.229,30.199,29.769
