LFQ.intensity.1.2M.urea,LFQ.intensity.2.2M.urea,LFQ.intensity.3.2M.urea,LFQ.intensity.4.Std.Wash,LFQ.intensity.5.Std.Wash,LFQ.intensity.6.Stad.Wash,LFQ.intensity.7.LiCl,LFQ.intensity.8.LiCl,LFQ.intensity.9.LiCl,LFQ.intensity.10.Std.1.wash,LFQ.intensity.11.Std.1.wash,LFQ.intensity.12.Std.1.wash
,,,,,,,,,22.80074883,,23.04129601
,25.78723526,25.8698082,24.06636429,24.54751396,,,,,25.41609383,25.34021187,
,22.90245819,22.89145088,,,,,,,,,
23.82774353,24.25645065,,,,,,,,23.59684753,,
,25.73050117,25.19215965,,,,,,,24.74683571,,
25.8429966,26.62561226,26.37026024,23.17729187,,,,,,24.33067131,24.44588089,
,,,,,,,23.15008545,23.29094887,,,
25.01256752,25.52543068,25.68915176,26.58075333,26.68338013,26.47684288,26.1767025,26.70067978,26.21900368,26.68190765,26.7850647,26.69776535
,,23.59012222,24.97285461,25.22070122,24.81836319,24.52832413,24.65937996,24.74729729,24.8348484,24.90421486,25.06085205
,,22.58719444,26.54192924,26.95049286,26.69882584,27.38063431,27.14384651,27.07755089,26.29440689,26.02369118,26.7113533
25.56523132,26.28256035,26.41525459,26.16129112,26.27061653,26.23518562,26.47917175,26.66519356,26.80341148,25.72785568,25.80323982,25.8488102
,,,23.86344147,,,24.09675789,24.14546013,24.4651947,,,
,24.80291939,24.94207954,,,,23.26542091,23.91515541,23.28263092,,,24.55993462
,,,25.11187553,25.27891541,25.39894676,24.8111763,25.02093887,24.69848251,25.05668259,25.1030159,25.14265823
28.82320023,28.28303719,28.2548027,28.75219345,28.98682404,28.6124897,28.25975037,28.57361984,28.26905632,29.30510712,29.22777367,29.50614357
33.70027161,33.25617218,33.18844223,31.84882927,31.95386696,31.51031876,30.89756966,30.96732903,30.84811974,31.94935226,31.98695183,31.71301079
,,,24.33435822,24.88785744,25.08836937,24.10972595,24.42815781,24.18888092,25.03996849,24.66936302,25.43504524
28.46707726,27.88878632,27.97361183,25.8910141,26.09538841,26.72012329,26.14732552,25.81404114,26.13574791,26.47213745,26.05007362,25.33878517
25.28369141,23.07406425,24.28834534,,,,,,,,,
28.64010048,,23.73510551,,,,,,,,,
35.01981735,34.52309036,34.58670807,33.91812134,33.88175964,33.94889832,33.43427658,33.56240463,33.64967346,35.38397217,35.26978302,35.3812027
28.0083313,25.3656292,26.7983532,23.61346817,,24.9111824,24.23702812,23.62321472,23.78835487,24.37749481,24.1612339,
29.11902046,27.17169189,27.95021439,25.12202454,25.68284416,26.8773632,26.34085846,24.73246765,25.06422806,25.94380188,26.33798599,25.74627304
32.45189285,32.39419937,32.05962753,30.72720337,30.65574074,30.18411636,29.50371933,30.35510445,31.24360085,30.31267929,30.35751915,30.0493412
