LFQ.intensity.1.Li_Fresh,LFQ.intensity.2.Li_Fresh,LFQ.intensity.3.Li_Fresh,LFQ.intensity.4.Li_Paper,LFQ.intensity.5.Li_Paper,LFQ.intensity.6.Li_Paper,LFQ.intensity.7.Li_Std,LFQ.intensity.8.Li_Std,LFQ.intensity.9.Li_Std,LFQ.intensity.10.PBS_paper,LFQ.intensity.11.PBS_paper,LFQ.intensity.12.PBS_paper
38.14195633,38.274086,38.13528061,37.93742371,38.01156235,38.00514603,38.42455673,38.48629379,38.17133331,37.82014465,37.80814362,37.93577957
37.95750809,37.77828217,37.82133484,37.87033081,38.07790756,37.95084381,37.81227493,37.60021973,37.84156799,38.50870895,38.25362778,38.53535461
37.52101517,37.53933334,37.63895416,37.97662354,37.88478851,37.91337967,37.7411499,37.52707291,37.70560837,38.29929733,38.170681,38.3726387
37.43984222,37.55148697,36.83728409,36.60402298,36.75471115,36.7158699,36.99063873,37.4408493,36.98088455,37.99359512,37.99222183,37.9916954
37.35735703,37.46096802,36.77153397,36.58930588,36.69941711,36.67213821,36.97267151,37.43728638,36.92702484,37.97047806,38.01494217,37.9683342
36.68864441,36.73983002,36.20374298,36.36499023,36.51933289,36.48330688,36.20798492,36.84665298,36.30184555,37.52072144,37.42709732,37.49212646
36.27091217,36.16879654,35.69607925,36.33579636,36.47528076,36.45957947,36.02184677,35.95499802,36.12121964,36.37065125,36.07966614,36.22135162
34.85990143,34.84357071,34.99488068,34.69083405,34.59267807,34.65427017,35.08076096,35.08428955,34.95380783,34.23706055,34.23862839,34.19337082
34.85680008,34.99811935,34.74820328,34.62391281,34.88412857,34.82207108,34.92366791,35.10422897,34.79372025,34.38708878,34.4329071,34.55023956
34.79149246,34.79309082,35.10422897,35.66633224,35.58455276,35.4899292,34.98103333,34.65352249,35.17956924,35.52851486,35.47018051,35.40302277
34.67929077,34.63817215,34.69488525,34.42373276,34.5705719,34.55241776,34.62853622,34.80034256,34.55104446,34.83808517,34.78633881,34.87417603
34.6216774,34.69369125,35.21635818,35.91119385,35.60865402,35.79633331,35.11679077,35.03694534,35.08317947,36.20188141,36.23542023,36.33404922
34.41153717,34.37003708,33.70666504,32.83062363,32.65234756,32.82746506,33.64387894,34.18423462,33.60554123,31.74510956,31.88478279,31.73424721
34.28664398,34.31209564,34.11613464,33.94471741,34.13131714,34.05229187,34.2161026,34.14429474,34.01330185,35.48348618,35.4370079,35.48345566
34.22848511,34.39993668,34.51294708,34.00294876,34.01886368,34.04596329,34.36326218,34.68065262,34.43041611,33.39010239,33.30252838,33.71466827
34.13789749,34.24338913,34.27551651,34.17563629,34.16743469,34.29686737,34.58452606,34.46763229,34.35060883,33.70676804,33.81783676,33.69820023
33.7628746,34.096241,33.90643311,33.49058533,33.76900101,34.07956696,34.25947189,34.22611618,33.95220184,32.14661789,32.25169373,31.9965477
33.7602005,33.69892502,33.39253616,33.42129135,33.33777237,33.37386322,33.09260559,33.49893188,33.20016861,32.02881241,32.12213516,32.02877808
33.67250824,33.69602585,33.04066467,33.7103653,34.05366898,33.91687775,33.21741867,33.48219681,33.29433441,33.85999298,33.91794205,33.80510712
33.66384125,33.74625015,33.83695602,33.72912979,33.82969666,33.84146118,33.98955917,33.90329361,33.76416016,34.72389984,34.75836563,34.74274063
33.56943893,33.51312256,32.13699722,29.14591217,28.21377754,28.43745995,32.18736267,33.55018234,32.15119171,30.21303558,30.2596817,29.97172165
33.44899368,33.38843536,33.57238007,34.06020737,34.08686066,34.09143829,33.3140564,33.24175644,33.52671051,34.82856369,34.7407341,34.94192123
33.16667175,33.18244553,33.19763947,32.97218323,32.88205338,32.87942505,33.21033859,33.567173,33.07469559,32.4358902,32.44987869,32.45875168
33.1015892,32.81233978,33.12721634,27.89446449,28.19919777,27.95476913,33.24033356,33.48014832,33.03926086,29.20855331,29.22121811,29.51073456
32.94069672,32.66805649,32.73561859,32.53635406,32.47346497,32.42154312,32.66980743,32.44285202,32.66710281,31.28350067,31.0905571,31.32833481
32.90866852,32.95798874,33.06868744,33.64162064,33.69675064,33.45513153,32.91131592,32.30258179,33.01866531,33.54213333,33.46026611,33.63244247
32.89124298,32.81962585,33.73044586,34.71839905,34.73150635,34.68619537,33.67608643,33.1095314,33.76692963,34.97018814,34.97082901,34.84814835
32.75127029,32.627491,33.11809921,32.84168625,32.87789154,32.8004303,32.88863373,32.71305084,32.88618469,31.83069801,31.75266457,31.86595917
32.74865341,32.67554092,32.85153198,32.72780991,32.79739761,32.76586151,32.79946518,33.06935883,32.80418396,33.06964874,33.0262413,32.99785995
32.68248367,32.8788414,32.6316185,32.38007355,32.39955521,32.4960289,32.9848671,32.91927719,32.77205276,31.94548416,32.01045227,32.35110855
