LFQ.intensity.1 Healthy,LFQ.intensity.3 Healthy,LFQ.intensity.5 Healthy,LFQ.intensity.7 Healthy,LFQ.intensity.9 Healthy,LFQ.intensity.2 Stage3,LFQ.intensity.4 Stage 3,LFQ.intensity.6 Stage 3,LFQ.intensity.8 Stage 3,LFQ.intensity.10 Stage3
20.830,21.509,19.446,25.513,24.665,25.015,27.934,27.040,25.792,25.909
21.805,21.381,22.432,21.877,21.703,23.499,25.037,21.899,23.493,24.442
21.632,22.524,20.484,20.980,21.576,22.772,24.117,22.884,23.082,22.256
22.324,22.072,26.008,21.556,21.346,24.447,26.544,23.400,27.946,25.715
21.470,21.076,22.121,20.931,21.357,21.872,21.193,25.175,25.782,26.775
21.358,21.047,20.513,20.224,20.766,21.988,20.993,22.492,22.620,22.114
21.615,20.754,20.756,21.371,21.586,24.365,20.713,21.769,24.763,25.107
21.473,22.057,20.276,22.854,21.362,22.819,24.103,22.219,22.948,23.126
24.394,20.596,24.398,21.535,20.624,23.833,24.843,24.018,24.076,24.906
21.284,21.434,21.300,25.162,21.387,24.583,25.882,24.229,21.643,25.730
23.261,23.730,20.077,24.509,21.688,23.751,25.203,24.609,25.163,23.930
20.267,22.933,23.027,22.794,21.106,23.588,24.300,22.677,23.142,24.161
19.906,22.925,20.918,20.947,19.623,22.020,21.272,22.553,23.185,23.329
20.982,20.745,20.708,19.628,21.882,21.328,23.037,22.075,21.262,23.149
21.894,23.279,24.261,20.285,21.059,23.730,24.776,23.217,23.882,23.698
25.360,26.374,26.238,26.803,24.402,26.456,27.850,26.516,27.794,27.263
25.183,25.003,22.093,20.006,24.262,24.935,26.122,24.873,25.086,25.453
20.835,20.966,22.718,21.086,20.860,22.721,23.264,21.523,21.781,23.606
22.785,21.520,22.700,22.411,22.158,21.753,21.694,21.549,20.128,21.017
21.041,19.889,21.662,20.669,21.073,19.953,23.912,21.141,24.566,24.036
21.710,22.215,22.833,21.917,21.260,20.944,20.691,21.380,21.166,20.848
21.164,21.554,24.446,25.316,22.285,24.451,24.670,23.730,25.570,24.708
21.716,22.288,22.813,20.486,21.609,21.167,20.191,20.887,20.810,20.430
25.547,24.332,26.050,20.173,21.625,25.105,27.557,24.329,26.427,25.507
21.327,22.428,22.811,21.152,22.498,21.279,21.207,21.717,20.524,19.993
21.277,21.942,23.909,21.083,23.231,21.629,24.704,23.700,24.498,24.455
20.279,21.894,21.700,20.851,21.266,22.131,21.074,23.099,26.034,21.962
21.198,24.374,24.085,23.564,23.190,19.806,21.531,21.154,21.302,24.292
21.709,19.765,21.191,20.891,21.379,21.733,23.871,20.917,24.325,21.339
21.023,22.673,20.901,22.066,20.397,22.208,22.675,21.767,23.323,22.579
21.650,20.718,20.866,21.742,20.813,22.205,22.548,21.129,23.788,21.656
21.205,21.637,20.211,23.139,21.690,22.408,23.048,21.399,23.881,23.305
21.243,22.755,20.036,20.817,21.137,22.318,24.216,21.139,25.769,21.068
19.703,25.042,25.376,21.464,21.067,24.067,26.186,22.006,26.683,24.804
20.786,23.510,21.028,21.246,21.924,21.743,23.589,21.704,24.966,23.328
21.335,21.007,21.494,19.554,20.794,19.608,23.159,21.956,24.493,22.331
22.116,20.868,22.167,21.500,19.848,21.721,22.988,21.303,23.173,22.819
23.946,24.463,24.483,19.560,22.607,24.149,25.055,23.574,25.400,24.895
22.934,21.596,22.107,23.971,21.327,23.435,25.094,21.214,25.715,24.038
24.116,21.101,23.799,24.019,20.338,23.976,24.384,23.327,25.216,23.589
20.448,20.749,21.356,22.309,21.227,21.765,22.537,20.884,25.262,22.297
21.082,20.909,21.085,21.550,21.349,22.270,21.083,21.403,23.353,22.418
24.591,24.082,24.186,24.615,23.038,22.599,21.284,20.421,24.380,24.750
21.717,23.625,21.262,24.187,20.614,24.298,24.090,21.409,23.571,25.471
21.593,20.734,21.346,20.814,20.315,20.211,21.877,20.910,25.554,23.958
29.248,29.057,30.628,30.860,29.455,30.049,31.813,29.618,33.107,30.681
