Intensity,Intensity LEIBR,Intensity LEIDO,Intensity LEIIN,Intensity LEIAM,Intensity LEIMA,Intensity LEITA,Intensity LEITR
4953700000,627680000,995600000,623930000,93055000,169060000,2382100000,62299000
83992000,83992000,0,0,0,0,0,0
25922000,0,0,0,0,0,25922000,0
138940000,0,19973000,18728000,0,19123000,77997000,3122800
5759300,0,0,0,0,0,5759300,0
162710000,0,53066000,25481000,0,30023000,46906000,7239000
45046000,11059000,0,0,0,8261100,25726000,0
11354000,11354000,0,0,0,0,0,0
536210,536210,0,0,0,0,0,0
142810000,142810000,0,0,0,0,0,0
823630000,447140000,0,0,97480000,2706100,264640000,11668000
29443000,29443000,0,0,0,0,0,0
32568000,0,0,0,32568000,0,0,0
682910000,29933000,0,0,652980000,0,0,0
20413000,0,0,0,0,0,0,20413000
10094000,10094000,0,0,0,0,0,0
2480500,2480500,0,0,0,0,0,0
21379000,9542400,0,0,11837000,0,0,0
2621400,0,0,0,0,2621400,0,0
7403400,7403400,0,0,0,0,0,0
110630000,110630000,0,0,0,0,0,0
42850000,19046000,0,0,0,0,23803000,0
240230000,0,14586000,0,0,0,225640000,0
715280,0,0,0,0,0,0,715280
53933000,0,0,0,0,0,53933000,0
4878400,0,0,0,0,4878400,0,0
74107000,0,0,0,0,74107000,0,0
5992200,0,0,0,0,5992200,0,0
14004000,0,8866200,511080,0,0,4626500,0
232660000,96059000,0,0,26476000,0,110120000,0
60102000,37288000,17677000,0,0,5137300,0,0
2503600,1352500,0,0,0,0,1151200,0
9318400000,9318400000,0,0,0,0,0,0
708400000,708400000,0,0,0,0,0,0
16727000000,15712000000,100220000,285810000,302510000,270840000,4369800,51150000
90339000,55491000,1276600,3147200,0,597350,29827000,0
35451000,35451000,0,0,0,0,0,0
33279000,33279000,0,0,0,0,0,0
17046000,17046000,0,0,0,0,0,0
8560200,8560200,0,0,0,0,0,0
10740000,10740000,0,0,0,0,0,0
2643100,2024000,619090,0,0,0,0,0
389870000,210070000,24482000,110060000,2545500,13065000,28900000,748360
41284000,41284000,0,0,0,0,0,0
180630000,20646000,0,0,0,0,159980000,0
1008800000,1008800000,0,0,0,0,0,0
6341000,6341000,0,0,0,0,0,0
91801000,60218000,23275000,8307300,0,0,0,0
6985400,6985400,0,0,0,0,0,0
11534000,11534000,0,0,0,0,0,0
32348000,32348000,0,0,0,0,0,0
2262500000,1409400000,122640000,85932000,74022000,136900000,422200000,11412000
148950000,33778000,0,0,0,0,115170000,0
22947000,22947000,0,0,0,0,0,0
110560000,8797800,19343000,42391000,2707800,18091000,19228000,0
27488000,27488000,0,0,0,0,0,0
133740000,50648000,61660000,3238100,1905100,0,16286000,0
818860000,818860000,0,0,0,0,0,0
793560000,155770000,47097000,4099100,78464000,3690100,504430000,0
23445000,23445000,0,0,0,0,0,0
6293200,6293200,0,0,0,0,0,0
4937100,4937100,0,0,0,0,0,0
41312000,41312000,0,0,0,0,0,0
22059000,22059000,0,0,0,0,0,0
37253000,37253000,0,0,0,0,0,0
65742000,65742000,0,0,0,0,0,0
1431000,1431000,0,0,0,0,0,0
34845000,34845000,0,0,0,0,0,0
176480000,176480000,0,0,0,0,0,0
47375000,47375000,0,0,0,0,0,0
171340000,171340000,0,0,0,0,0,0
30023000,30023000,0,0,0,0,0,0
18439000,18439000,0,0,0,0,0,0
74723000,0,0,66170000,0,0,8552500,0
40396000,1338300,0,0,0,2487700,36570000,0
28826000,28826000,0,0,0,0,0,0
24733000,0,0,0,0,0,24733000,0
17649000,17649000,0,0,0,0,0,0
143720000,29254000,0,0,0,0,114460000,0
1863800,1863800,0,0,0,0,0,0
13026000,13026000,0,0,0,0,0,0
7425300,7425300,0,0,0,0,0,0
145750000,64842000,0,0,0,0,80905000,0
32062000,32062000,0,0,0,0,0,0
20952000,12478000,1110400,1356300,0,0,6007200,0
372110000,309400000,0,0,0,0,62708000,0
69617000,69617000,0,0,0,0,0,0
22806000,0,0,0,6325900,0,16481000,0
59265000,59265000,0,0,0,0,0,0
976280000,342900000,0,0,0,0,633380000,0
2037000,2037000,0,0,0,0,0,0
2360200,2360200,0,0,0,0,0,0
6252800,6252800,0,0,0,0,0,0
26623000,26623000,0,0,0,0,0,0
65948000,65948000,0,0,0,0,0,0
29271000,29271000,0,0,0,0,0,0
24811000,5619600,0,17092000,0,700980,1398300,0
612680000,11764000,29843000,23352000,0,0,547720000,0
109480000,99455000,0,0,0,0,10027000,0
120920000,120920000,0,0,0,0,0,0
11972000,11972000,0,0,0,0,0,0
