Abundance Ratio: (129) / (126),Abundance Ratio: (130) / (127),Abundance Ratio: (131) / (128),Abundances (Grouped): 126,Abundances (Grouped): 127,Abundances (Grouped): 128,Abundances (Grouped): 129,Abundances (Grouped): 130,Abundances (Grouped): 131
0.98,0.991,0.994,46360000,46330000,46120000,45420000,45900000,45840000
0.988,0.994,0.994,20400000,20540000,20600000,20160000,20410000,20470000
0.987,0.986,0.981,46300000,46460000,46560000,45690000,45820000,45680000
0.981,0.987,0.991,16430000,16530000,16580000,16110000,16310000,16430000
0.995,0.998,0.977,16160000,16240000,16390000,16090000,16210000,16020000
0.974,0.989,0.982,24310000,24030000,24130000,23690000,23770000,23690000
0.985,0.995,0.997,10540000,10690000,10680000,10380000,10640000,10650000
0.982,0.988,1.006,8082000,8103000,8039000,7939000,8004000,8083000
0.963,1.017,1.003,8115000,8086000,8188000,7817000,8225000,8217000
0.987,0.973,0.985,29690000,29930000,29580000,29300000,29110000,29140000
0.994,1.008,1.013,6808000,6898000,6955000,6764000,6952000,7044000
0.986,0.999,0.983,41640000,41730000,42530000,41070000,41680000,41820000
0.993,0.998,1.007,6207000,6248000,6253000,6163000,6236000,6295000
0.973,0.997,0.971,29130000,28850000,29140000,28330000,28770000,28310000
0.976,0.992,0.999,6213000,6211000,6228000,6061000,6159000,6221000
0.989,0.964,1.006,19540000,19800000,19440000,19330000,19090000,19550000
0.983,1.007,1.001,50380000,49850000,49690000,49500000,50190000,49720000
0.969,0.983,0.993,18300000,18170000,18080000,17740000,17860000,17960000
0.995,1.011,1.001,19200000,18980000,19120000,19100000,19180000,19140000
0.981,1.001,1.002,6647000,6660000,6677000,6518000,6666000,6690000
0.989,0.988,0.996,13330000,13490000,13350000,13190000,13330000,13300000
0.99,1.019,0.997,28410000,28230000,29030000,28130000,28760000,28940000
0.984,0.988,0.998,20410000,20560000,20550000,20080000,20310000,20500000
0.995,0.987,0.999,11960000,11990000,11910000,11900000,11830000,11900000
0.967,1,0.979,21880000,21620000,22030000,21150000,21620000,21570000
0.966,0.984,0.984,28640000,28210000,28280000,27670000,27750000,27820000
0.974,0.992,0.964,39000000,38140000,38890000,37970000,37850000,37490000
1.002,1.003,0.994,10750000,10620000,10760000,10770000,10650000,10700000
0.975,0.987,1.003,5717000,5719000,5711000,5572000,5646000,5729000
0.998,0.999,1.025,4412000,4472000,4441000,4405000,4470000,4551000
0.998,0.986,1.024,3435000,3549000,3459000,3430000,3501000,3541000
0.978,0.986,1.002,14590000,14600000,14640000,14270000,14410000,14680000
0.995,1.012,1,3616000,3643000,3681000,3597000,3686000,3683000
0.976,1.025,1.003,2748000,2750000,2817000,2682000,2819000,2824000
0.986,1.003,0.986,8950000,8925000,8979000,8824000,8948000,8858000
1.006,1.012,1.016,3580000,3660000,3627000,3602000,3703000,3684000
0.984,0.988,0.992,18800000,18940000,19000000,18500000,18710000,18840000
1.001,0.989,0.984,53950000,54450000,54490000,54020000,53840000,53640000
0.983,0.994,0.978,18050000,17940000,18080000,17750000,17830000,17690000
0.993,1,0.986,20990000,20850000,21000000,20850000,20850000,20690000
0.977,0.97,0.997,7062000,7146000,7025000,6901000,6933000,7005000
0.98,1,0.987,14820000,14710000,14820000,14520000,14720000,14630000
1.004,1.01,1.007,6570000,6592000,6610000,6595000,6655000,6653000
1.006,1.019,1.007,6022000,6031000,6119000,6060000,6147000,6159000
1.002,1.03,1.027,2298000,2298000,2324000,2303000,2367000,2388000
1.016,1.021,1.06,2020000,2056000,2062000,2051000,2100000,2186000
0.969,0.968,0.995,15950000,15980000,15890000,15450000,15480000,15810000
1.027,1.001,1.024,9042000,9193000,9200000,9290000,9204000,9416000
1.004,1.016,0.985,4511000,4531000,4586000,4531000,4601000,4516000
0.988,1.006,0.996,5325000,5351000,5298000,5260000,5383000,5274000
1.016,0.967,0.998,9209000,9402000,9185000,9353000,9091000,9163000
0.979,1.008,1.003,3029000,3054000,3049000,2967000,3077000,3059000
0.983,0.998,0.944,4447000,4460000,4617000,4370000,4449000,4358000
0.975,0.994,0.998,3620000,3629000,3634000,3529000,3605000,3625000
0.988,1.016,1.007,5046000,5070000,5084000,4986000,5151000,5120000
0.977,1.006,0.999,5216000,5153000,5134000,5096000,5183000,5127000
0.988,0.992,0.998,10860000,10870000,10930000,10730000,10790000,10900000
0.975,0.997,0.974,13610000,13450000,13570000,13270000,13410000,13230000
0.999,0.995,1.009,8317000,8255000,8371000,8310000,8212000,8445000
0.979,1.014,0.985,42230000,41430000,42410000,41360000,42030000,41790000
0.967,0.99,0.988,14030000,13950000,14040000,13570000,13810000,13870000
0.993,0.967,0.992,5246000,5290000,5251000,5211000,5115000,5211000
0.99,1.013,0.981,3380000,3306000,3397000,3347000,3349000,3332000
0.993,0.974,0.991,30590000,30260000,30270000,30390000,29480000,30010000
0.962,0.993,0.981,8675000,8589000,8569000,8347000,8531000,8402000
0.987,0.999,0.999,4018000,3989000,3968000,3967000,3986000,3966000
0.988,0.966,0.974,42330000,42660000,42570000,41830000,41220000,41480000
0.981,1.002,0.992,30170000,29710000,29740000,29590000,29770000,29500000
0.971,0.987,0.978,41570000,41080000,41630000,40350000,40570000,40720000
0.99,0.996,0.999,8093000,8125000,8146000,8015000,8089000,8138000
0.988,1.009,0.974,3754000,3701000,3788000,3711000,3732000,3691000
0.975,0.992,0.979,9314000,9241000,9302000,9084000,9169000,9109000
0.987,0.999,0.999,7198000,7202000,7311000,7108000,7198000,7307000
0.982,1.004,1.013,6588000,6628000,6580000,6470000,6654000,6667000
0.975,0.974,0.996,15160000,15060000,14820000,14790000,14680000,14760000
0.999,0.976,0.969,113800000,115700000,115800000,113600000,112900000,112200000
0.976,0.983,0.975,19920000,19730000,19950000,19440000,19400000,19460000
0.982,0.996,1.008,7155000,7229000,7318000,7030000,7203000,7377000
0.984,0.997,0.983,15530000,15660000,15590000,15280000,15610000,15330000
0.99,0.982,1.003,11360000,11500000,11240000,11250000,11290000,11270000
0.995,1.007,0.988,59290000,58740000,59460000,59020000,59140000,58720000
0.975,1.016,1.006,5454000,5372000,5447000,5318000,5455000,5482000
0.98,0.985,0.991,3204000,3235000,3197000,3140000,3188000,3168000
0.969,0.983,0.989,206100000,202800000,203300000,199700000,199300000,201100000
0.997,0.997,1,10010000,10040000,10110000,9980000,10010000,10110000
0.99,0.997,0.995,4277000,4300000,4333000,4232000,4285000,4312000
0.979,0.998,1.004,11020000,10910000,11020000,10780000,10890000,11060000
0.972,1.001,0.993,4740000,4724000,4737000,4606000,4730000,4703000
0.978,0.969,1.007,3803000,3965000,3869000,3718000,3841000,3894000
0.967,0.992,0.972,11570000,11460000,11510000,11190000,11370000,11190000
0.983,0.992,0.989,12500000,12400000,12540000,12290000,12290000,12410000
0.97,1.015,0.996,4799000,4665000,4703000,4654000,4732000,4686000
0.973,1.006,0.995,7194000,7143000,7212000,6997000,7187000,7174000
1.496,1.452,1.47,5458000,5624000,5512000,8166000,8167000,8104000
0.972,0.987,1.005,3029000,3011000,2976000,2944000,2973000,2991000
1.021,0.98,0.985,4457000,4582000,4619000,4548000,4492000,4551000
0.986,0.971,0.993,13260000,13230000,13100000,13080000,12850000,13000000
0.983,0.999,0.975,8168000,8135000,8162000,8031000,8129000,7958000
0.981,0.997,0.983,6408000,6361000,6373000,6285000,6340000,6263000
0.986,0.982,1.017,2319000,2399000,2351000,2288000,2356000,2391000
0.966,0.992,0.977,35770000,34660000,35150000,34550000,34370000,34340000
0.983,1.017,0.997,6362000,6377000,6486000,6252000,6484000,6466000
0.96,0.973,0.974,17640000,17540000,17530000,16930000,17060000,17060000
0.988,1.003,0.958,3930000,3916000,4030000,3884000,3927000,3860000
