Intensity trophozoite 1,Intensity trophozoite 2,Intensity trophozoite 3,Intensity trophozoite 4,Intensity  pseudocyst 1,Intensity  pseudocyst 2,Intensity  pseudocyst 3
1906600000,2563900000,2532100000,2588000000,2929000000,2832400000,2777500000
1851000000,4715300000,2855400000,2852100000,2606500000,2671900000,806760000
0,186940000,171980000,153490000,30040000,224510000,67202000
78574000,197760000,250920000,256090000,37695000,74354000,42620000
21560000,125340000,208120000,194800000,27751000,0,0
20671000,39734000,28532000,32772000,342930000,639910000,210380000
9585500,35918000,0,0,415830000,655720000,213870000
385760000,406180000,356130000,347820000,551490000,582480000,290840000
0,0,6282100,0,779400000,592860000,172950000
410280000,332360000,304530000,456470000,1016300000,852990000,538430000
0,44528000,121200000,85047000,0,0,0
98600000,262100000,170940000,91876000,148640000,165640000,64198000
0,0,0,0,104400000,89043000,0
195600000,193550000,123430000,97910000,49589000,43282000,38973000
1388600000,2778200000,3620500000,2736000000,25249000000,22672000000,18423000000
19928000,50829000,0,7473600,0,0,0
319700000,24056000,106100000,71487000,2190200000,1463600000,713020000
412910000,917080000,723710000,641560000,912630000,792570000,1150600000
73747000,52103000,20584000,41381000,27136000,57143000,0
860700000,1666700000,1730100000,1790900000,704440000,472720000,580030000
394430000,490780000,623840000,603650000,2880000000,4683200000,3081900000
193720000,319950000,257510000,245480000,64008000,92632000,0
15752000,16749000,4506700,6454700,0,9014200,3897200
250850000,285640000,115120000,173490000,135570000,176520000,65330000
273390000,298780000,359010000,447340000,2552500000,2438700000,987640000
101460000,58180000,86724000,87452000,49469000,85166000,33219000
0,0,0,17434000,662130000,673020000,0
3295300000,4303400000,5869200000,4310600000,11853000000,11922000000,5682100000
111060000,77649000,0,78510000,220370000,258100000,176760000
0,76201000,0,62390000,225330000,108700000,278000000
2591800000,554900000,128030000,210940000,256120000,208190000,0
60936000,37886000,1822500,17021000,0,0,47052000
45243000,163750000,155530000,136090000,0,0,13808000
10126000000,10670000000,10066000000,12421000000,13487000000,15377000000,7629800000
36829000,12107000,161180000,372750000,0,0,0
0,118560000,43090000,54832000,52794000,0,232200000
75517000,146580000,138580000,178670000,0,0,0
43535000,34825000,25727000,20145000,20316000,0,0
64824000,6646300,115150000,18110000,104640000,85569000,0
24219000,214480000,171060000,157790000,69898000,50234000,30951000
361420000,2637000000,1734700000,2270000000,57187000,38806000,0
134360000,80964000,68657000,136390000,53010000,34277000,80332000
0,31850000,71255000,28807000,0,7113100,0
930660000,449640000,1073000000,1251000000,226560000,210160000,601710000
5791200000,11620000000,9484300000,10510000000,4143700000,3495800000,1552100000
522680000,1462500000,1697500000,1336800000,1989600000,2025500000,748630000
8428600,162160000,0,112130000,105270000,89016000,151230000
0,38742000,25925000,85816000,282690000,42276000,0
646310000,624970000,717230000,808420000,2899400000,3177100000,1766500000
147670000,173500000,110170000,122760000,126950000,182120000,106390000
1597400000,1112300000,720350000,900280000,2695500000,2563700000,1402600000
49530000,103470000,82398000,87917000,154230000,124820000,36614000
106930000,23438000,48732000,61613000,52239000,117570000,36556000
0,2290300,38543000,79685000,104230000,141090000,0
3989600000,4503700000,4652800000,5141200000,1955100000,2070400000,1694700000
73090000,700080000,137540000,132580000,323330000,281840000,51143000
0,0,0,0,587210000,844380000,783700000
43209000,436030000,479030000,542320000,560750000,413260000,373880000
0,19495000,67716000,86736000,135700000,0,92154000
0,0,0,0,60036000,59940000,0
25807000000,47151000000,31822000000,35939000000,9903200000,7090300000,767320000
684970000,1746700000,1349900000,1259300000,1797900000,1566700000,1205200000
0,22800000,0,0,1938000000,2028900000,1429100000
716050000,815020000,577050000,619850000,1888200000,2435100000,1357100000
593220000,999650000,778240000,830740000,861590000,796890000,411720000
26711000,876970000,570250000,450720000,231020000,140690000,137030000
29318000,60927000,0,34049000,32283000,0,0
173800000,351000000,332780000,436790000,309030000,305020000,87850000
1614400000,2719000000,1874500000,2070100000,1483400000,1859200000,859060000
0,0,0,0,76554000,27344000,74578000
25093000,23773000,21303000,16847000,636850000,544050000,301310000
727660000,1969400000,1449500000,1491400000,2154100000,1766100000,156670000
0,0,0,0,63695000,55263000,98992000
0,50460000,54340000,47656000,223210000,219420000,126730000
948680000,613130000,653840000,1003600000,1427700000,1547100000,947990000
97048000,11492000,14947000,25158000,0,0,0
241190000,1228700000,2057900000,1859400000,202710000,72797000,221760000
142450000,292770000,279890000,140410000,1145000000,1633500000,121650000
