TMT-126,TMT-127,TMT-127,TMT-128,TMT-128,TMT-129,TMT-129,TMT-130,TMT-130,TMT-131
18768738.15,12528698.68,224073595.3,213164262.4,39357249.36,41560282.61,193563746.8,204313953.1,96386932.13,102154836.4
798471.8856,660814.4208,9101439.923,8857506.345,1668384.437,1840990.646,8346465.776,8895875.288,4018164.293,4314001.036
218237.5768,231468.4564,2223106.748,2449317.987,391198.144,642701.9088,2047472.001,2262785.027,938423.1988,1386804.364
4267929.299,3202466.735,53441570.61,51237426.94,8986630.261,7426111.841,43966793.68,50724524.01,23238705.93,24084847.46
376554.4947,286350.3282,4403837.849,4025042.45,788591.1753,814543.8748,3868802.202,4020951.924,1989565.219,1965077.107
715301.5944,577599.0429,8166202.145,8543580.302,1405305.015,1782746.9,7479867.854,8129491.876,3643692.959,4029134.295
135314.7357,141395.2102,1362579.577,1519833.229,287881.9717,293072.5903,1335131.188,1395036.554,672040.1108,701888.6112
120370.8841,172597.7838,1337391.216,1337016.187,240667.1777,383092.9396,1231412.071,1283636.19,590433.2101,678381.9203
225251.4711,155316.1823,2468644.703,2501027.075,367179.697,426421.0631,2422873.078,2340706.819,1126707.302,1114882.858
1648003.861,1514717.593,19036609.41,19174655.08,3490199.833,4446208.391,17611843.48,18740103.04,8729353.268,10081909.21
857045.8456,899909.8235,10110587.56,9812172.495,1671518.927,2207085.937,9152293.7,9607974.763,4640220.434,5170631.881
195146.5529,165629.5359,2117915.316,2146000.397,427274.3681,439243.8738,1973619.514,2103233.035,977145.0644,1074955.388
524115.7289,490384.2307,6412712.046,6308515.654,1113472.211,1427856.183,5720621.531,6170165.442,2896439.914,3259256.107
19647.90391,17185.91532,238137.964,228581.8729,47155.23749,57618.92875,224191.0439,240554.4631,105766.9901,124754.9102
363334.2197,241453.0883,3701634.266,3236008.324,615371.2388,627693.7602,3264755.218,3176423.553,1649304.72,1661188.415
2044898.054,1733628.457,23174211.78,22370418.87,4215436.634,5135677.104,20437208.2,21817673.63,10239695.91,11212269.73
