Log2(LFQ intensity 1a),Log2(LFQ intensity 1b),Log2(LFQ intensity 1c),Log2(LFQ intensity 2a),Log2(LFQ intensity 2b),Log2(LFQ intensity 2c),Log2(LFQ intensity 2d),Log2(LFQ intensity 3a),Log2(LFQ intensity 3b),Log2(LFQ intensity 3c),Log2(LFQ intensity 3d)
22.58,22.59,22.59,NaN,21.39,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,21.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.98,23.80,22.99,NaN,22.15,NaN,NaN,NaN,NaN,NaN,NaN
NaN,21.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,21.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.05,24.81,24.51,23.35,23.39,23.04,22.17,23.21,22.62,23.24,22.69
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,19.36,NaN,NaN,NaN,NaN,NaN
22.30,21.80,22.50,21.80,21.51,21.50,21.55,21.21,20.95,21.15,NaN
27.52,27.28,27.50,26.61,26.61,26.58,26.69,26.12,26.18,25.99,26.33
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37
NaN,NaN,19.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,19.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,19.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,22.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,21.94,21.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,22.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.97,26.95,26.69,25.80,25.81,25.73,26.00,25.29,25.39,25.19,25.17
NaN,21.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.48,30.79,30.78,29.90,29.84,29.64,29.78,29.30,29.37,29.22,29.10
27.45,27.61,27.39,26.37,26.41,26.57,26.49,25.79,25.97,25.72,25.91
25.26,24.79,25.34,23.45,24.07,24.12,23.63,23.60,23.38,23.38,23.77
NaN,NaN,NaN,NaN,NaN,NaN,19.64,NaN,NaN,NaN,NaN
NaN,NaN,20.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.61,NaN,21.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.51,24.00,24.12,23.21,23.19,23.52,23.06,21.65,22.84,22.01,22.78
24.31,23.81,24.01,22.77,22.59,22.88,22.76,22.85,22.23,22.50,22.17
22.83,23.59,23.34,22.32,22.61,23.01,NaN,21.66,NaN,22.00,NaN
24.67,24.41,24.30,23.26,23.14,23.18,23.37,NaN,21.67,22.51,NaN
22.88,23.74,23.48,NaN,22.30,NaN,22.22,NaN,21.71,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.46,NaN,NaN
23.80,23.40,23.44,22.53,22.41,22.57,22.40,22.03,22.36,21.90,22.94
NaN,22.90,22.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.49,22.28,23.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.04,NaN,NaN,NaN
NaN,21.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.14,22.51,22.74,NaN,22.11,22.10,22.15,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,19.26,NaN,NaN,NaN,NaN,NaN
26.86,27.08,26.85,25.83,25.89,25.76,25.90,25.06,25.57,25.22,25.15
NaN,NaN,21.93,21.60,20.44,NaN,NaN,NaN,NaN,NaN,NaN
22.49,22.83,22.50,21.89,21.50,21.64,NaN,21.84,NaN,NaN,NaN
NaN,23.40,22.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.94,27.14,27.04,26.12,26.05,26.02,26.01,25.55,25.58,25.43,25.75
24.70,25.11,24.58,23.07,23.93,23.33,23.10,23.13,NaN,23.31,22.42
22.83,22.96,23.18,22.06,21.97,21.83,22.14,NaN,21.49,21.58,NaN
27.28,27.19,26.86,25.91,26.01,26.09,26.05,25.51,25.75,25.43,25.54
25.03,25.28,25.12,23.89,23.71,24.27,24.10,23.35,23.69,23.38,23.59
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.47,28.47,28.38,27.11,27.25,27.11,27.21,26.68,26.83,26.78,26.55
NaN,19.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.73,25.72,25.75,24.78,24.79,24.80,24.92,24.25,24.20,24.45,24.38
23.20,22.60,23.02,22.15,21.89,22.07,21.64,21.44,21.20,21.05,21.50
22.15,21.92,22.56,NaN,NaN,21.21,21.70,NaN,NaN,NaN,NaN
26.38,26.39,26.00,24.93,25.03,25.07,25.10,24.83,24.27,24.79,24.49
27.21,27.45,27.38,26.34,26.10,26.03,26.43,25.69,25.91,25.53,25.91
NaN,21.00,21.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.57,NaN,22.55,NaN,21.84,22.04,22.08,NaN,NaN,NaN,NaN
22.18,21.70,22.45,21.40,21.58,21.55,NaN,NaN,21.06,NaN,NaN
27.74,27.75,27.56,26.41,26.63,26.71,26.56,26.30,26.01,26.17,25.86
NaN,21.86,22.34,20.74,21.96,NaN,NaN,NaN,21.21,NaN,NaN
22.43,22.41,22.76,21.16,21.39,20.99,21.08,NaN,NaN,21.13,21.19
27.76,28.05,27.72,26.73,26.85,26.87,27.07,26.26,26.29,26.29,26.16
21.49,20.89,21.61,20.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,20.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.36,28.31,28.35,27.37,27.31,27.44,27.46,26.88,26.82,26.78,26.83
NaN,NaN,19.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.98,23.46,24.06,23.35,23.38,23.29,23.17,22.46,22.59,23.11,22.85
