Intensity Normal1,Intensity Normal2,Intensity Normal3,Intensity Normal4,Intensity Normal5,Intensity Normal6,Intensity Normal7,Intensity Normal8,Intensity Cancer1,Intensity Cancer2,Intensity Cancer3,Intensity Cancer4,Intensity Cancer5,Intensity Cancer6,Intensity Cancer7,Intensity Cancer8
1.19E+08,2.45E+07,2.00E+07,1.76E+07,7.21E+07,3.56E+07,2.76E+07,6553000,4.86E+07,3.57E+07,4.22E+07,1.65E+07,3.42E+07,2.73E+07,1.34E+07,255230
2462300,1.12E+07,7753800,2.42E+07,2598800,9289700,6114000,1291400,5636900,3643700,2602400,3.35E+07,3.02E+07,2.76E+07,524800,1709000
3634300,3360300,3085100,4644400,4657900,1997400,1469100,1041200,3139100,1740000,5023900,1.59E+07,1.18E+07,988390,1943300,440530
4.99E+08,1.21E+08,3.35E+08,4.85E+07,1.50E+08,2.48E+08,6.88E+07,1.62E+07,2.29E+08,3.18E+08,1.46E+08,7.83E+07,5.94E+07,6.31E+07,3.40E+07,7012600
7432100,7483600,6692100,1.49E+08,8396800,5768700,792560,1254200,3.46E+07,4000600,1.67E+07,5439500,5892900,1114300,202940,326240
6206400,3703500,1.39E+07,8740700,1.46E+07,6361500,7160900,2588300,2.33E+07,5668300,1.82E+07,1.64E+07,6.67E+07,6.63E+07,1.06E+07,2082900
5949100,8454900,1.91E+07,1.32E+07,2.32E+07,2.43E+07,6.08E+07,890670,1.35E+08,7.87E+07,4.57E+07,8342200,7.21E+07,2.71E+07,8543900,2361800
0,1.97E+08,1300600,0,2787300,0,0,0,700350,2575500,9133700,0,0,0,0,0
0,0,0,535970,2425000,334840,0,0,1037500,769590,0,0,1454300,368420,0,0
1580300,1156200,6892900,1.90E+07,2.49E+07,1.20E+07,8688000,1301200,1591300,7743400,2679200,1.15E+07,4.11E+07,9500900,515770,325060
1.11E+07,8659900,8394500,1.20E+07,1.33E+07,6280200,7695400,717500,1.70E+07,2.23E+07,2.20E+07,1.13E+07,2.43E+07,2.75E+07,8138800,661470
1.25E+08,7.37E+07,1.83E+08,9.39E+07,1.43E+08,9.92E+07,1.04E+08,2.91E+07,4.04E+08,2.96E+08,3.23E+08,1.81E+08,2.94E+08,3.31E+08,2.42E+08,5.03E+07
9627500,1.26E+07,1449900,1.22E+07,4681400,4752900,320570,2803600,2.63E+07,9783100,1.96E+07,3.09E+07,5207700,1.01E+07,7549000,1384000
2316500,1.46E+07,6345600,5515000,5299700,6996800,4832600,1300600,1.40E+07,1694800,1.54E+07,5315300,8855500,1.23E+07,6854800,205950
9.17E+07,2.48E+07,1.92E+07,4.61E+07,1.67E+07,527010,8201.7,27679,9426700,1606400,1.98E+07,7272900,6307800,48902,0,307480
7679300,3139300,3352400,3309100,1410600,0,1055900,0,8357600,5913400,1.82E+07,3740100,2.64E+07,8364700,1419100,0
626020,261500,1975200,0,1439400,554530,381820,0,4959500,1.53E+07,7856100,2094100,5939200,6704500,2290100,8246
2.55E+07,1.20E+08,1.67E+07,1.26E+07,4174500,7771400,604920,425840,4806500,0,2.10E+08,2186200,2919400,1153100,2572300,1.87E+07
0,0,0,0,2978900,136520,151220,0,0,0,0,0,0,0,0,0
680720,2.60E+08,1.29E+07,80009,1442500,3732600,559590,1352500,1.39E+07,682380,4733200,1.99E+07,2892100,2444600,2183100,2196500
9521200,3.38E+08,1.82E+07,1.07E+07,5341700,7701200,1.02E+07,2273100,2.82E+07,1.51E+07,1.43E+08,3.93E+07,2.37E+07,1.78E+07,4408900,1435000
0,4427300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
644820,366760,298120,0,392690,450690,0,74181,1371900,0,0,190890,974990,0,1.22E+07,92428
1.43E+07,1.24E+07,2.55E+07,9359500,8672100,1.17E+07,2.10E+07,1736500,1.49E+07,1.22E+07,9.21E+07,2.89E+07,8.94E+07,3.43E+07,5265500,2269300
9207800,2791300,5857500,1166700,532600,1664700,1270000,0,1.45E+07,4534700,2.04E+07,7651500,3487600,1721500,1855000,41832
2955600,527980,2414500,1211900,2130600,1741000,978840,17345,1.35E+07,6078200,1.25E+07,4783300,269580,5523200,3650600,2239500
6425500,865180,2488000,0,0,0,0,0,1.65E+07,2.52E+07,1966600,0,0,0,0,0
0,705060,0,0,0,0,0,0,0,0,0,2851100,0,0,0,0
6.71E+07,1.03E+07,1.11E+08,2.19E+07,4.21E+07,6.60E+07,3.77E+07,4036500,4.46E+07,3.62E+07,2.14E+07,1811700,775720,2059600,4713900,89024
1643400,177740,3631800,372700,864740,632760,393390,0,4694100,3698800,4401800,146700,0,558890,0,0
0,0,0,0,0,0,0,0,0,1.15E+07,0,0,0,0,0,0
1178600,4.14E+07,2213400,539870,321970,4858400,2189000,903210,0,2995900,2.70E+07,5400900,1.23E+07,0,981980,464810
3.61E+07,2.34E+08,1.62E+08,4.20E+07,5.06E+07,3.94E+07,4.35E+07,1.24E+07,2.28E+08,1.90E+08,8.98E+07,3.41E+07,7.28E+07,6.09E+07,2.76E+07,4939300
799950,2884800,1743700,2127500,711010,1069400,475230,118530,1041600,507240,617870,199170,337250,1.95E+07,114720,0
4.36E+07,2.16E+07,5.82E+07,3.79E+07,3.75E+07,2.35E+07,2.91E+07,1.91E+07,1.83E+08,1.79E+08,1.25E+08,1.08E+08,9.14E+07,8.75E+07,2.51E+07,3.61E+07
730300,1268000,753730,0,0,0,0,0,0,4533500,4038700,0,0,0,0,0
3.10E+07,3.82E+07,4.27E+07,2.43E+07,2.48E+07,2.16E+07,1.28E+07,4255100,7.62E+07,1.57E+08,5.57E+07,8781900,8.24E+07,5.74E+07,4.53E+07,7262900
2.56E+07,1.72E+07,4.16E+07,7691300,1.09E+07,1.25E+07,7802600,1922100,7.44E+07,4.32E+07,6.78E+07,1.55E+07,3.82E+07,3.81E+07,2.17E+07,2096900
1.06E+07,1.31E+07,1.11E+07,1.20E+07,1.13E+07,7780300,5200000,1291000,1.19E+07,2.98E+07,1.24E+07,1.16E+07,1.94E+07,1.50E+07,8711800,1076200
4277000,2.29E+07,4752900,5259600,0,0,0,0,1.94E+07,1476000,1.28E+07,865500,1.04E+07,6518900,0,471750
