Intensity Brain1,Intensity Brain2,Intensity Brain3,Intensity Liver1,Intensity Liver2,Intensity Liver3,Intensity Muscle1,Intensity Muscle2,Intensity Muscle3
1.93E+07,1.14E+07,1.81E+07,2.84E+09,3.71E+09,1.98E+09,4.21E+08,2.23E+08,1.59E+08
6.98E+09,5.76E+09,7.42E+09,8.99E+09,7.22E+09,8.15E+09,3.41E+09,1.16E+09,1.67E+09
3.23E+08,1.18E+08,1.71E+08,8030900,1.54E+07,1.20E+07,0,0,0
3.21E+07,3.91E+07,5.79E+07,0,0,0,0,0,0
3.80E+07,2.59E+07,4.13E+07,1.71E+07,0,2.92E+07,0,3.13E+07,3403000
1.78E+09,1.63E+09,2.05E+09,1.50E+09,1.96E+09,1.78E+09,2.14E+08,1.02E+08,9.13E+07
1.34E+08,1.50E+08,2.21E+08,0,0,9591400,0,0,0
2.92E+08,5.25E+07,4.15E+08,1.00E+09,1.29E+09,1.23E+09,3.42E+08,1.92E+08,2.32E+08
9.95E+08,4.96E+08,1.01E+09,8.70E+08,1.17E+09,9.15E+08,3.34E+08,2.59E+08,3.49E+08
0,0,0,0,0,0,1.04E+07,1.02E+07,1.51E+07
0,1887900,4.37E+07,0,4.83E+07,0,4.03E+07,7998900,1.14E+07
0,0,0,0,0,0,0,4.20E+07,3.78E+07
4.72E+08,5.93E+08,4.47E+08,9.29E+09,8.78E+09,7.10E+09,1.13E+10,1.04E+10,5.38E+09
1.09E+07,1.96E+07,8.85E+07,2.47E+07,1.06E+08,1.33E+08,0,0,3.73E+07
2.02E+10,1.67E+10,2.19E+10,1.43E+07,1.67E+08,1.81E+08,1.31E+09,1.82E+09,2.67E+09
5.46E+07,7.93E+07,1.19E+08,2.75E+07,1.99E+07,8355600,4712300,0,3041900
7.69E+07,0,2.70E+07,0,0,0,0,0,0
2.54E+07,2.10E+07,5.50E+07,0,0,1.15E+07,0,0,0
0,0,0,0,4864300,7271900,1.19E+08,8.45E+07,2.32E+07
3.30E+07,3.04E+07,5.92E+07,4.37E+07,3.88E+07,2.13E+07,0,3522500,0
8.45E+07,4969000,7.53E+07,0,0,0,0,0,0
2.53E+07,1.98E+07,1.92E+07,0,0,0,0,0,0
1.06E+08,1.68E+08,2.51E+07,1.46E+09,1.39E+09,1.09E+09,2.08E+08,1.44E+08,1.42E+08
0,1.15E+07,2.37E+07,4731700,5528000,877660,8.78E+07,4.34E+07,7.51E+07
0,0,1.87E+07,2839600,1.67E+07,3192300,0,0,0
9.13E+09,5.49E+09,8.27E+09,1.04E+10,9.12E+09,7.76E+09,6.84E+09,4.68E+09,4.38E+09
0,0,0,2.74E+07,1.60E+07,7982700,0,0,0
3.45E+08,2.77E+08,4.34E+08,0,2.26E+07,0,0,0,0
5.55E+08,4.97E+08,3.99E+08,0,0,0,1.28E+08,6.58E+07,1.30E+08
7.66E+07,4.84E+07,4.15E+07,0,1.24E+08,7076300,6200100,1.37E+07,0
4.90E+07,0,5.22E+07,608110,0,0,0,0,0
3.59E+08,2.07E+08,3.57E+08,1.86E+08,2.31E+08,2.18E+08,7879000,7.41E+07,0
3.92E+08,4.54E+08,6.52E+08,5.76E+08,4.87E+08,4.31E+08,1.91E+08,1.51E+08,1.45E+08
5494400,0,6893000,0,0,0,0,0,0
0,0,0,0,0,0,1.01E+08,6.26E+07,3.84E+07
1.16E+09,5.73E+08,9.80E+08,2.12E+09,1.86E+09,1.74E+09,7.49E+08,2.46E+08,3.39E+08
2.88E+07,3.15E+07,3.67E+07,0,0,0,0,0,0
0,0,0,1.28E+08,1.42E+08,9.43E+07,0,0,0
6.55E+08,6.48E+08,1.00E+09,3.09E+08,1.52E+09,1.44E+09,3.89E+09,5.97E+09,5.03E+09
8569200,3.71E+07,4.35E+07,6705500,8888700,0,0,0,0
6.05E+07,3.36E+07,3.36E+07,0,0,0,0,0,0
0,0,0,0,0,0,3.69E+07,1.37E+07,2.49E+07
2.90E+09,2.11E+09,3.73E+09,9.82E+09,9.79E+09,8.36E+09,1.09E+09,1.03E+09,7.55E+08
8.72E+08,3.52E+08,8.27E+08,1.25E+08,3.59E+08,2.12E+08,2.67E+07,1.79E+07,2.20E+07
7.22E+08,5.84E+08,7.82E+08,1.09E+08,2.81E+08,2.37E+08,4.47E+07,1.74E+08,1.46E+08
0,0,0,2.74E+07,4.81E+07,3.59E+07,2621700,993740,0
1.20E+08,5.62E+07,1.96E+08,0,0,1.66E+07,0,0,0
6.07E+08,3.60E+08,5.38E+08,3.41E+09,3.52E+09,2.26E+09,7.06E+07,3.71E+07,1.59E+07
1.32E+09,1.55E+09,1.89E+09,8.87E+08,5.82E+08,6.79E+08,1.94E+09,4.14E+08,4.13E+08
7.63E+07,2.46E+07,8.15E+07,0,6.76E+07,1.73E+08,8.43E+07,0,0
0,4.49E+07,2.31E+07,0,1.56E+07,1.17E+07,0,0,0
