LFQ.intensity.1.Plasma,LFQ.intensity.2.Plasma,LFQ.intensity.3.Plasma,LFQ.intensity.4.WB,LFQ.intensity.5.WB,LFQ.intensity.6.WB
37.47084808,37.96355057,37.87440491,37.61407089,37.49077988,37.65843964
28.1009922,28.50805283,28.08359909,39.29880905,39.28274155,39.42451859
28.67808342,28.87194061,28.5956955,39.54951477,39.51003647,39.66699219
32.1362915,34.00679779,32.62143707,38.11487579,38.27503967,38.28075409
30.53092384,30.9727478,30.63122749,38.85825348,38.82504272,39.06052399
32.04921341,32.90442276,31.64997292,37.67726898,37.66566849,37.81066132
37.76425934,38.26603317,37.89526749,35.91491699,35.51274109,35.3036499
27.63768387,27.76116371,27.68478584,38.45951843,38.32067871,38.54901505
36.03409958,36.07734299,36.18094254,34.22762299,34.24161148,34.05786896
37.59883118,38.16287231,37.49696732,35.71704483,35.52227402,35.74203873
37.86906815,37.66142654,37.48704147,35.98184204,35.78699493,36.10229492
25.80552864,26.89573669,23.75185013,36.98884201,36.84127426,37.05146027
36.66593552,36.44699097,36.35174179,32.57727051,32.38432312,32.51800919
36.95393753,37.08678055,36.93879318,36.65477753,36.67556,36.40958023
36.62186813,36.82133484,36.72644043,33.83385086,33.98014069,33.73307419
36.0571022,36.58763123,35.75184631,33.77342606,33.59434891,33.61093903
36.23224258,35.84604645,36.03749847,34.25469208,34.16885376,34.12817001
25.52504158,25.39008141,,36.72504425,36.75159836,36.5308876
36.08456802,36.17587662,35.63032913,35.31830597,35.1855278,35.33441544
28.39095879,28.27976608,27.99199486,36.41171265,36.4393959,36.55342102
26.42814255,26.37001038,26.27691078,36.42694092,36.2926712,36.62934875
34.76366806,34.93055725,34.5822258,33.81459427,33.85591888,34.0895462
26.66098595,26.73737717,26.10431671,37.09260178,36.93319702,37.21873856
34.84637451,35.40184784,35.36130142,33.25687408,32.6241188,33.20103073
36.01404953,36.07491302,35.58606339,33.52344131,33.42954636,33.51840973
34.07303619,34.08978271,34.05786896,32.40334702,32.43502045,32.33710861
35.70259476,35.88612747,35.55290604,32.82909393,32.91172409,33.02158356
25.90173149,24.63284111,23.87455177,36.80796432,36.63706589,36.78085327
33.84838104,34.17429733,34.7356987,32.77246475,32.26860428,32.40006638
36.24102783,36.21327972,35.8951416,32.21434021,31.90286064,32.28308868
,,,33.64441681,33.81564331,33.58944702
26.02364922,24.43529892,21.99762344,34.08385468,34.43452454,33.83385086
34.91188812,35.29970169,34.99146271,32.08616638,31.41960907,31.85199547
24.91934395,25.44123268,23.4719677,36.22473526,36.01221848,36.2921257
33.76939392,34.00662994,33.91384888,32.73664856,32.43273544,32.46282959
,,,34.62511063,34.72618866,34.86138153
24.70619774,26.52926445,25.57539558,36.31877899,36.74785233,36.13206482
34.28822708,34.62668991,34.2565918,32.62794876,32.19782639,32.76961136
33.18154144,33.69093704,33.70810318,32.88396454,32.78715897,32.49481201
35.62083054,34.37929916,34.78468323,32.92772293,32.54986191,32.68743515
32.88230515,33.37800598,32.96226883,30.62957954,30.62121773,30.4022274
35.21411514,36.11190414,35.19439697,33.80904388,33.71251678,34.02523422
34.85276031,35.34754181,34.49839401,33.86719513,33.63439178,33.74464798
31.53681564,31.15550995,30.27919006,34.99315262,34.80870819,34.72710037
32.28565216,32.60915756,32.33899689,32.32310867,32.30484009,32.29767227
28.54473114,28.17654991,27.05806732,34.5033226,34.42329788,34.20660019
35.09725952,34.87458801,34.29911804,31.63075066,31.39253616,31.93961143
,,,35.03284836,35.17448044,34.80913925
31.31386757,31.43618965,30.93894577,31.99206161,32.14120483,32.3503952
33.1297226,33.1619339,32.86073303,30.11557579,29.94433212,30.15749931
26.47187424,,25.73039627,34.31324768,34.33011246,34.50781631
33.17777634,33.47822189,33.1333847,31.23888397,30.63391495,31.42282104
26.41180229,,,33.41311646,33.66839218,31.27125168
32.00413513,31.89012146,31.87210274,31.57176781,31.75350189,31.37420082
,,,34.67703247,34.58525467,34.87760544
,,,33.72008133,33.43477249,33.92060852
,,,33.66511536,33.87902451,33.53217697
,,,34.98239517,34.85354996,35.24590302
24.88697433,23.41157532,23.17627335,34.649086,34.40400696,34.85670471
34.1554184,34.7347908,33.7466507,32.48464584,31.84322357,32.07565308
31.78542328,31.98284531,31.64323616,31.5472908,31.51022339,31.7331562
,,,34.23641968,34.28450775,34.32160187
,,,34.6222229,34.66611862,34.95267868
34.58542252,34.12386322,34.45874023,33.58060074,33.68499374,33.2377739
29.75533295,30.0479126,29.87594414,32.46557999,32.25400543,32.76372528
,,,35.00466537,35.35986328,34.63466263
32.85063553,33.56251907,33.58821869,32.31713486,31.61399269,31.89149857
31.3369236,31.78269386,31.35463142,29.34394836,29.40535545,29.19022942
,,,32.14284897,32.46618652,32.12823105
