LFQ.intensity.1.2M.urea,LFQ.intensity.2.2M.urea,LFQ.intensity.3.2M.urea,LFQ.intensity.4.NaCl x3 wash,LFQ.intensity.5.NaCl x3 wash,LFQ.intensity.6.NaCl x3 wash,LFQ.intensity.7.LiCl,LFQ.intensity.8.LiCl,LFQ.intensity.9.LiCl,LFQ.intensity.10.NaCl x1 wash,LFQ.intensity.11.NaCl x1 wash,LFQ.intensity.12.NaCl x1 wash
20.579,25.318,25.346,24.029,24.534,20.992,20.770,21.497,21.795,25.094,25.050,21.132
22.840,23.788,20.559,21.580,21.431,21.514,19.850,20.478,22.016,23.275,20.707,21.161
21.213,25.262,24.668,21.301,21.435,19.549,20.603,21.605,19.791,24.425,21.467,21.566
20.415,21.379,22.111,21.689,21.803,22.142,21.381,23.076,23.231,22.014,22.304,22.238
24.025,25.057,25.165,26.543,26.670,26.143,26.177,26.627,26.159,26.360,26.495,26.461
22.317,21.946,23.066,24.935,25.208,24.485,24.528,24.586,24.688,24.513,24.614,24.824
21.327,20.913,22.063,26.505,26.937,26.365,27.381,27.070,27.018,25.972,25.733,26.474
24.578,25.814,25.891,26.124,26.258,25.901,26.479,26.592,26.744,25.406,25.513,25.612
20.427,21.419,20.104,23.826,22.310,20.234,24.097,24.072,24.406,22.208,21.574,21.331
21.451,24.334,24.418,20.971,22.111,20.089,23.265,23.841,23.223,21.504,22.396,24.323
21.647,21.174,20.615,25.075,25.266,25.065,24.811,24.947,24.639,24.735,24.813,24.906
27.836,27.814,27.731,28.715,28.974,28.279,28.260,28.500,28.209,28.983,28.937,29.269
32.713,32.787,32.665,31.811,31.941,31.177,30.898,30.894,30.788,31.627,31.697,31.476
21.520,20.899,20.427,24.297,24.875,24.755,24.110,24.354,24.129,24.718,24.379,25.198
27.480,27.420,27.450,25.854,26.082,26.386,26.147,25.740,26.076,26.150,25.760,25.102
24.296,22.605,23.765,20.399,19.606,22.227,20.495,21.492,20.913,21.816,19.984,20.458
27.653,21.138,23.211,21.882,19.798,21.808,21.306,22.238,20.853,22.392,21.397,19.847
34.032,34.054,34.063,33.881,33.869,33.615,33.434,33.489,33.590,35.062,34.979,35.144
28.132,26.703,27.426,25.085,25.670,26.544,26.341,24.659,25.005,25.622,26.048,25.509
28.248,28.490,28.368,27.164,27.311,26.723,27.148,26.548,26.979,26.691,26.753,26.315
31.235,31.554,31.186,30.333,30.413,29.710,29.304,30.170,29.622,29.564,29.818,29.525
24.769,24.283,23.963,21.372,21.299,20.840,21.014,19.031,23.350,21.589,21.300,20.892
20.830,23.564,23.284,21.231,21.924,20.952,19.844,21.711,22.562,22.450,22.494,22.742
22.252,23.590,23.158,20.321,20.187,21.925,20.340,19.323,21.460,21.549,21.913,20.493
22.761,25.322,23.934,23.668,21.888,22.070,19.727,22.858,22.571,20.639,21.473,22.511
26.790,27.399,26.765,26.141,26.136,26.121,24.758,25.706,25.062,26.880,27.135,27.389
21.374,21.766,21.126,20.710,22.673,21.853,20.242,20.154,22.061,21.740,20.704,20.630
20.583,23.731,23.336,23.978,24.029,23.892,23.765,20.798,23.855,23.727,22.030,21.095
19.336,21.327,19.631,24.288,24.430,21.224,23.073,22.441,23.235,23.133,21.419,23.001
21.949,20.637,21.928,21.666,23.303,20.767,23.779,20.791,23.658,20.219,20.809,21.023
21.034,19.239,21.946,23.977,24.085,23.459,24.599,24.776,25.037,23.427,23.144,23.825
22.373,24.603,23.620,23.156,23.362,20.967,22.326,23.101,20.551,21.705,20.399,20.390
26.209,26.410,26.405,27.759,27.738,26.931,27.123,27.375,26.910,27.611,27.579,27.544
27.806,28.804,28.843,22.622,24.265,23.309,22.876,22.354,21.564,20.433,21.361,21.098
24.994,24.993,25.247,25.354,25.852,25.461,25.048,25.264,25.065,25.550,25.394,25.952
23.579,23.780,24.791,24.532,24.853,21.584,24.382,24.517,24.451,23.107,23.449,22.953
23.095,20.378,21.766,24.443,24.232,24.006,25.291,24.885,24.990,23.441,23.694,23.145
26.948,27.258,27.243,28.861,29.061,28.585,28.357,28.699,28.241,28.552,28.554,29.037
23.217,24.310,23.941,29.158,29.338,29.311,30.148,30.120,30.401,28.311,28.582,28.508
21.057,20.989,22.526,28.090,28.027,27.903,28.458,28.304,28.473,26.965,27.196,26.912
21.808,25.349,24.532,24.010,24.482,23.578,20.503,23.285,23.992,24.190,24.129,24.269
21.712,19.022,20.937,26.142,26.222,25.313,25.007,24.976,20.252,25.826,25.672,25.723
24.192,24.841,24.701,27.711,27.744,27.848,28.737,28.122,28.595,26.585,26.965,26.686
27.295,28.796,28.462,24.548,24.811,24.678,23.908,25.186,24.320,24.679,25.105,24.819
22.786,24.677,25.252,29.820,29.733,29.782,30.661,30.760,30.746,29.090,29.367,29.161
21.534,22.749,21.906,23.240,23.654,23.182,24.352,23.961,23.912,23.522,23.452,23.591
21.788,24.344,24.243,25.677,25.200,25.902,26.031,25.293,25.970,24.771,25.111,20.769
21.681,19.831,21.382,20.593,20.584,21.124,20.596,24.383,24.114,21.086,20.847,20.677
21.128,24.695,21.751,24.841,24.735,23.712,24.270,24.106,20.472,24.266,24.599,24.159
19.513,20.090,21.140,27.586,27.460,27.365,28.785,28.835,28.627,26.572,26.721,26.176
21.554,22.155,21.230,24.069,23.686,23.434,23.643,23.727,23.190,23.349,23.353,23.239
21.025,19.278,19.347,21.679,21.555,20.527,22.383,20.772,22.553,21.828,19.397,20.243
20.947,21.588,20.580,23.781,23.604,20.580,24.144,24.473,24.557,24.021,24.364,24.343
19.918,20.734,21.795,24.060,21.361,23.796,24.363,23.659,24.166,23.748,21.036,20.770
20.695,21.365,21.080,23.379,23.739,23.480,24.279,24.268,24.100,22.824,22.102,20.909
23.884,24.683,24.912,27.488,27.396,26.903,26.961,27.048,27.029,27.755,27.602,27.541
21.396,22.584,22.482,22.235,23.399,21.246,22.821,20.262,22.253,20.774,21.283,21.210
22.132,21.698,23.657,23.308,20.488,22.968,20.357,20.116,20.851,20.251,21.353,20.860
20.989,20.249,20.047,24.918,25.208,25.160,25.647,25.970,26.073,25.531,24.892,25.919
21.373,20.449,20.251,22.713,23.026,22.328,22.657,22.318,22.809,21.252,22.443,22.661
21.027,23.080,20.566,24.209,24.841,24.095,23.518,23.640,23.826,24.459,23.871,24.917
19.992,18.642,22.662,22.634,22.659,21.255,21.678,22.328,21.654,22.498,23.372,22.841
20.744,23.926,24.131,25.713,25.909,25.759,27.116,26.576,26.938,25.109,25.343,25.233
20.761,20.247,20.860,23.513,23.610,22.500,21.625,21.240,22.131,20.886,20.199,22.771
21.023,21.305,20.496,22.014,21.896,20.892,23.246,23.403,19.628,22.171,20.212,20.840
26.434,25.757,25.610,26.232,26.648,25.713,26.053,25.705,25.701,26.373,26.345,26.432
27.274,28.204,28.426,25.256,25.722,25.471,27.091,26.795,27.034,25.423,25.448,25.625
21.930,21.403,23.031,23.653,23.490,23.059,23.164,23.076,23.305,23.422,23.544,23.582
23.274,23.262,23.192,23.310,21.896,22.843,22.103,19.900,21.035,20.515,20.733,21.720
21.666,22.604,19.363,20.311,21.117,21.128,22.445,22.504,22.849,20.290,21.607,21.066
20.940,23.974,23.741,21.400,21.265,21.403,21.873,21.458,21.291,20.765,21.086,21.339
20.871,21.056,19.513,21.313,20.955,21.635,20.741,22.874,22.691,22.388,21.211,19.441
24.872,26.719,26.650,30.605,30.661,30.644,31.090,31.164,30.908,29.939,30.000,29.847
21.615,23.161,23.435,26.997,26.761,26.906,28.548,28.240,28.409,26.165,26.637,26.469
21.505,21.371,21.958,23.915,23.915,24.384,25.183,25.077,25.235,21.966,21.188,24.206
20.530,21.064,20.335,21.983,20.409,22.501,21.543,20.878,21.295,20.780,21.307,21.354
23.847,24.450,24.277,25.850,25.516,25.895,25.532,26.194,25.796,25.131,25.479,25.743
24.952,26.123,26.553,24.124,24.082,22.363,24.286,24.290,24.881,22.523,23.726,22.099
22.938,23.355,24.255,22.379,19.748,23.045,24.725,24.419,24.273,20.186,21.375,22.026
20.516,22.161,22.109,23.875,23.885,23.147,24.765,24.944,24.695,21.612,21.513,23.960
21.354,20.621,22.270,23.136,23.041,23.410,21.429,23.058,20.066,23.752,24.248,24.279
24.354,24.772,25.769,25.509,25.210,25.104,22.315,25.235,24.911,25.936,25.678,20.731
24.522,25.758,25.402,26.876,27.133,26.635,26.024,26.002,25.851,27.234,27.195,26.554
21.671,21.596,20.743,23.925,23.590,21.649,24.785,24.410,23.723,23.869,21.961,18.978
22.889,21.371,23.695,24.018,24.379,24.134,23.393,23.806,23.313,23.848,23.904,24.283
25.391,25.583,25.390,26.656,25.106,26.114,25.145,24.925,25.813,25.877,26.126,25.994
20.981,21.107,19.180,23.558,23.695,20.602,23.180,23.392,23.220,23.231,23.403,24.040
21.759,20.362,22.717,25.865,25.600,21.801,21.288,26.735,22.844,20.251,19.601,27.745
21.381,20.973,20.154,21.592,21.362,20.405,22.222,22.455,22.225,21.217,20.678,21.254
23.260,23.939,20.605,20.326,22.510,22.367,22.403,20.950,21.206,20.825,21.201,21.097
