LFQ.intensity.1.LiCl_Fresh,LFQ.intensity.2.LiC_Fresh,LFQ.intensity.3.LiCl_Fresh,LFQ.intensity.4.LiCl_Paper,LFQ.intensity.5.LiCl_Paper,LFQ.intensity.6.LiCl_Paper,LFQ.intensity.7.LiCl_Frozen,LFQ.intensity.8.Li_Frozen,LFQ.intensity.9.Li_Frozen,LFQ.intensity.10.PBS_paper,LFQ.intensity.11.PBS_paper,LFQ.intensity.12.PBS_paper
26.073,23.367,22.469,22.127,26.161,26.018,22.652,23.045,22.578,26.211,26.212,26.385
22.892,23.200,21.875,21.860,21.464,21.349,20.606,21.676,23.102,22.137,24.897,25.363
26.516,25.406,22.890,25.726,25.642,25.669,22.730,21.231,22.569,26.045,25.962,26.113
25.398,25.446,25.381,25.178,25.106,25.100,25.307,25.779,25.470,23.365,24.299,23.880
24.230,24.258,23.641,23.906,20.117,23.534,22.067,24.493,24.173,22.413,21.710,23.381
21.913,22.156,21.761,22.271,21.983,20.571,21.220,22.421,22.671,21.559,21.577,22.810
25.195,25.337,26.174,25.911,25.778,25.762,26.417,25.125,26.393,25.113,24.744,24.917
27.828,28.047,27.447,27.683,27.776,27.753,26.881,27.191,27.661,26.729,26.668,26.711
26.223,24.402,24.613,23.170,22.224,25.654,23.182,20.765,26.828,24.278,21.780,22.960
24.297,23.774,23.873,23.732,23.928,23.729,23.889,24.090,24.357,23.148,23.435,21.676
29.446,29.574,29.126,28.917,28.875,29.317,29.279,30.109,29.314,28.027,27.913,27.495
32.151,32.139,32.103,31.992,31.933,31.962,32.225,32.806,32.307,31.228,31.168,31.055
21.439,26.239,28.770,21.458,26.440,26.400,26.268,26.654,25.072,25.332,26.107,21.930
34.523,34.694,35.012,35.700,35.406,35.593,34.792,34.965,34.987,35.610,35.755,35.662
23.520,22.603,24.590,25.228,21.393,22.025,26.000,22.229,22.528,22.007,21.289,23.168
28.227,29.334,28.654,27.866,28.504,28.018,29.266,29.285,28.416,26.988,27.298,26.958
25.560,26.697,25.143,24.962,25.426,21.417,26.792,25.894,26.152,21.664,22.286,21.210
27.365,28.653,28.151,27.347,28.021,27.385,28.048,28.896,27.894,26.340,26.567,26.400
23.380,24.485,24.112,22.630,23.379,23.228,22.883,24.080,23.908,22.165,21.614,20.966
26.805,26.613,25.684,23.482,22.331,22.928,25.834,26.761,25.364,20.933,21.227,20.042
24.508,24.634,23.931,23.513,22.609,23.218,22.457,24.454,23.910,21.501,22.007,22.299
28.020,27.559,23.088,20.724,22.226,22.279,20.908,26.829,24.489,22.126,23.213,23.002
23.477,22.858,23.633,23.930,23.772,23.973,21.693,23.589,23.917,23.622,22.242,22.909
24.938,24.928,24.689,22.369,24.873,24.733,21.941,22.192,22.117,24.608,22.790,22.006
26.948,27.299,27.197,27.214,27.142,27.225,27.491,27.610,27.285,26.137,26.388,26.217
27.858,27.951,23.317,23.895,23.967,23.125,24.305,26.419,24.870,23.256,22.693,23.329
26.150,26.008,25.918,25.409,25.402,25.385,25.455,26.206,25.828,24.899,24.943,24.987
24.640,24.865,21.457,20.999,20.204,21.768,24.550,24.595,21.688,21.951,22.724,21.722
23.954,21.153,21.635,22.051,23.922,23.998,21.270,23.263,24.077,23.522,23.304,23.409
27.709,28.024,28.129,27.260,27.434,27.540,27.932,28.059,27.190,26.580,26.783,26.858
28.293,28.178,28.921,28.699,28.694,28.682,28.669,27.848,28.809,27.769,28.022,27.707
28.308,28.545,29.309,29.201,29.044,29.146,29.023,28.334,29.206,27.830,27.925,27.796
