DMSO1,DMSO2,DMSO3,BEZ1,BEZ2,BEZ3,CRIZO1,CRIZO2,CRIZO3,DASAT1,DASAT2,DASAT3,ERLOT1,ERLOT2,ERLOT3
,,,641662.5324,704652.1627,,776131.6091,719933.5776,667453.6849,528234.2049,,,,,
81216737.31,114351477,277079274.3,153120287.5,177120533.8,42154089.69,143830289.9,183323623.4,254954561.1,112465229,143074427.9,225217860.6,112570318.2,149422784.6,307023211.4
79821145.37,59748809.98,114981192.3,112058051.4,95908372.71,124617898.5,82561055.69,90596148.99,,71114436.45,76973996.1,101424004.9,70741943.93,74503319.84,99084763.67
,,9530872.554,,13081553.78,17636570.71,7863303.522,,9508057.769,6536588.737,,9501692.039,5576386.141,,6322403.908
,,4626644.551,3961281.049,5126512.438,7902511.567,,,,,,5957585.275,,,
,,,,3679075.817,6336399.476,,,,3855433.338,,5935798.321,,,
,,,5126607.635,,,,,,5147559.96,,,7621210.99,10662191.77,
6129759.951,,,,,,6905991.19,,,12776402.39,11385532.73,,9058816.277,,11874320.83
7341381.626,53342253.79,82013638.72,,9119729.719,12261609.04,15317827.31,13073199.52,17939243.54,41615071.16,26696156.96,58421526.41,28926256.08,21124828.69,51318705.8
6738733.786,4339086.712,10586793.16,,,,,2534252.138,,7446979.594,5437704.603,6833076.827,,,
23642437.65,24561730.72,41100044.78,21728846.94,22948442.08,9613665.699,29752731.9,28015939.43,13376824.5,16113164.49,15118059.51,8910482.016,29778554.77,43203626.94,27990455.06
7049869.453,7107424.295,11109997.06,9120869.625,11203192.93,9479024.512,9218605.46,8686447.723,11252830.29,15712831.34,10035273.58,12632611.13,10756609.09,12299393.37,12736926.27
9133574.71,,7222211.55,,4291348.205,,5116282.974,5714693.499,,5806200.975,6819327.585,6582240.184,,5715908.229,8454337.251
45868627.06,64962871.61,175834562.6,18613015.93,13764879.49,156482979.4,17904344.75,34559330.79,148396207,40171326.93,17574124.4,255299146.4,11374554.47,16353764.04,56393260.79
7706223.699,7212959.41,7213935.415,6278240.381,5632989.682,4967404.931,6011033.331,5910044.416,5652578.501,8196552.026,7116130.919,9107806.842,5903235.189,7464811.879,8692903.361
,8000815.617,8194609.786,,,4437531.308,3629528.264,,,7260026.951,,7229542.058,6620019.534,,4586625.842
,,3158058.759,,,,3416838.302,,2339062.877,4126857.255,,,,,3521176.045
4582085.934,4646287.938,7611475.254,4319731.804,4341368.065,5820203.687,4805755.629,5209151.996,6826695.876,5318655.887,5715597.391,7647316.46,5151274.782,4974999.975,7448385.405
,,,,,4141320.697,6447929.638,,,4647192.466,,,,,6302303.249
,,,6301674.207,,8487381.484,6648688.212,,,,,,,,7052230.128
15011973.19,35277202.07,47618214.14,24278601.57,26354606.19,28842421.87,34361360.25,31412970.87,47612605.54,36828691.97,28320849.65,47720118.54,18882048.75,30333555.35,52915272.44
81490433.41,78781702.3,131200513.3,,,130609075.2,,113770299.9,160119742.6,,6649824.515,140411186,74913478.89,94676612.55,
8490905.269,10960631.52,17401761.82,4956013.235,,8273665.315,5405333.82,,,7698729.437,7896882.814,,,,8706571.809
,,6246198.451,,,6827163.04,4127637.78,,5439273.652,,,8004221.169,,,6977685.397
,,24680003.75,,,4436177.772,14003299.6,,5967126.721,36890356.97,37886818.81,25338801,35938402.21,33230751.19,24603206.84
56294899.46,43798378.95,113896733.3,150323658,115495647.6,162189201.2,122011412.3,129102012.9,125972152.6,,,,73542189.13,81053343.04,113736421.3
17020799.32,14542425.41,17970627.15,16006364.35,16274244.01,16811626.29,13416067.8,9573676.764,12044551.1,8838063.872,9299261.274,18391820.45,7749805.446,7910889.996,17729930.01
,,,1930638.717,1829178.147,,,,,1839476.979,1744497.921,,1674495.882,1073154.925,
14394865.93,18432073.59,22171478.85,12383282.6,20658830.08,30158201.09,10995552.28,12859573.05,22721552.37,13973486.59,11137735.39,24293409.43,,,9520591.075
,6092301.875,9297238.229,,,,12135777.98,11763903.83,,6845794.706,,9406804.12,,6113557.789,8800757.755
64708472.67,155794907.7,157237042.1,101749096.4,104298733.3,130103280.2,114738453.2,102301151.2,145997409.4,114687126.9,101076871.4,193311439.6,84495207.51,101333714,187820559.4
,,26150682.35,22068299.91,23694554.22,23731043.48,17273537.45,16913536.78,18752953.33,,18127603.81,20115665.42,15769255.59,19495536.27,37096627.97
,,4720821.253,3752787.497,,3331122.698,,,,,,5019790.679,,,4410314.346
,3136404.359,2612690.036,,,2465144.778,,,,,,,,,
2647235.21,3165139.168,,,,,,2738987.802,,3173594.535,,4679608.413,2558280.023,3165621.468,
11666812.91,9528723.758,27068667.38,21233168.47,18872555.99,18391701.17,28318890.31,30404110.57,28473963.18,25408919.76,24204346.52,26457771.32,20640851.85,21486217.67,14371397.01
75228989.49,67714882.6,164809229.5,188917145.2,161832036.8,170559751.1,168377824.1,183681725.6,142505042.2,51253409.81,37169601.74,52905031.4,,,
13582814.75,15420143.2,31338011.23,15557939.28,15341865.45,14895304.64,23006828.82,22241850.36,22292355.73,8949256.648,8320640.489,10687074.35,,,
7871215.974,13662095.36,14787644.86,15880998.2,12735181.95,15644023.62,18292374.24,11965552.41,17578248.01,17633255.88,23218461.32,22490252.31,5785597.211,,8294221.143
,14683487.2,7339218.968,6792530.904,,4276745.51,16989259.16,18732448.92,6525787.878,,,,,,
51417428.3,45714468.23,70942644.14,121402651.4,100650841.5,87481152.11,124657068,110573311.7,100280324.3,35045300.78,21146372.77,25156287.49,,,
76366377.55,50519711.91,57023517.75,50562097.2,52871410.68,56328458.45,11414707.13,8821662.17,20569689.78,,,,51863355.12,35158159.1,67212009.86
,,14632586.25,52137853.28,35426199.65,51519132.25,12657646.52,10837530.52,,22105437.18,14617621.88,12636433.4,12482312.09,15346255.37,11168615.41
,8711349.066,7943757.296,5281579.484,7093925.386,5986617.345,,,,5015029.133,,8051044.009,,,9665890.126
,,5501441.477,,,5580699.1,,,,,,5017783.986,,,6894755.821
,,6375572.507,,,10968626.21,,,,,,6530735.06,,,
,,5794150.278,6592909.419,,7522809.172,7371937.834,7171058.051,,,,,,,6282202.59
,,6777297.976,6438901.924,6943865.806,7833410.005,6124018.389,6270863.241,8599689.545,,,,,,7679026.111
15856299.86,41028082.17,45644308.5,28970188.67,25541521.86,32993502.27,33424486.91,33008377.86,38347837.59,36592798.84,28765939.34,46996753.44,27845601.33,25899543.73,45062232.06
14401321.03,16930026.78,25088102.79,28068516.74,14283914.02,25881740.53,23442583.86,24371940.96,16315351.61,30541797.57,13654798.32,9193330.192,19247649.13,9528866.191,20348758.75
,,9003673.276,,,,,,,8599430.078,10000335.2,8915833.197,7238772.23,6891578.379,11338494.69
,,14609755.53,7687838.09,7610762.392,7005972.235,8782850.416,8410338.588,7698846.96,18193135,16287284.77,14772128.25,16309006.31,16897672.71,
,,8076746.216,,,4014088.337,,,,5159109.914,5944830.114,7204983.957,5416882.882,5395768.696,6193415.107
,,,,3459532.582,,,,,,,5161405.881,,,
,,5787966.96,4357438.084,4541342.861,5104468.235,,,,4330645.424,,7097100.311,,,5321735.664
203064436.1,400393435.3,311268271.1,246547000.3,242355640,176372830.9,382406176.6,419065998.1,317452646.7,15335010.82,11968992.28,,44854668.94,44525069.49,124842322.6
7022241.638,,,,,11382523.2,4777639.054,,15159460.39,,,,,,3715405.843
10836687.46,14717446.52,,19553262.06,26641330.91,20616486.5,18682478.76,30580692,,20676375.09,25832498.46,7409284.43,21539283.07,17816355.14,
10417493.47,35708224.2,24846477.72,87942425.86,91535297.5,27959061.7,217441767,175852870.9,3293525.644,87665128.86,68856298.06,32675653.37,44508674.89,58154422.99,24599761.01
28203609.07,44254217.5,44639757.01,43200211.1,41966453.32,46052985.01,29017135.89,26292109.59,39695397.44,37496240.15,32152541.49,,24520598.49,24006206.16,40493065.07
7680274.209,9537344.201,15561035.36,5162578.077,6535021.468,10624543.18,,6154665.256,5858828.063,,6867872.341,6538284.049,,,6983428.443
,,,,,,,,,5739935.561,,4895853.488,,,
136899693.6,140865868.5,295277257.3,193333891.1,179359916.7,384368531.1,314687767.7,359633383.3,347402340.8,240650141,134806829.2,318146864.5,141938293.4,175085052.7,230709623
,,,3641597.365,3892131.121,5816784.228,3883822.457,,4251986.408,3241426.043,3059703.373,4832785.989,,2257890.22,
