AU565.1,MDA-MB-231,SKBR3/CAMA1,T47D.1,HCC1954.1,HCC1500.1,AU565.2,T47D.2,HCC1954.2,HCC1500.2
15.31,17.42,15.99,15.66,15.58,18.30,14.90,15.92,15.61,18.34
14.73,16.55,15.16,15.70,15.66,16.68,14.53,15.75,15.82,16.84
17.38,19.56,17.58,17.38,18.61,19.44,17.44,17.38,18.66,19.45
17.94,15.35,16.54,16.49,15.74,15.54,17.86,16.47,15.61,15.47
13.17,16.05,13.39,13.60,13.24,15.50,13.02,13.63,13.39,15.74
13.64,16.18,14.19,14.02,15.18,15.67,13.61,14.00,15.50,15.77
16.58,18.97,16.43,16.96,16.46,18.66,16.39,16.87,16.58,18.78
13.24,14.84,14.20,13.91,13.58,15.15,13.39,13.94,13.44,15.15
14.56,14.22,16.10,15.14,16.58,14.78,14.88,15.13,16.79,14.87
18.43,20.48,18.89,21.15,18.32,20.39,18.50,21.18,18.33,20.29
12.16,10.84,11.10,10.73,12.45,10.71,12.16,10.34,12.30,10.50
17.06,15.85,17.94,18.52,15.56,16.17,17.11,18.63,15.73,15.94
16.38,15.18,15.68,15.75,17.26,15.37,16.50,15.80,17.31,15.53
15.37,13.90,15.36,15.05,16.07,14.26,15.36,15.12,16.06,14.27
17.49,14.81,16.58,16.23,16.46,15.39,17.45,16.28,16.42,15.23
13.74,17.19,13.78,14.51,14.98,16.38,13.98,14.40,15.12,16.48
14.43,17.31,14.67,16.34,14.35,15.96,14.41,16.15,14.34,15.90
19.46,17.86,19.42,18.63,17.88,17.76,19.39,18.64,17.70,17.60
14.76,13.19,13.95,14.58,15.63,13.48,14.74,14.46,15.61,13.45
14.66,14.60,15.35,15.35,16.88,14.88,15.06,15.34,16.99,15.15
13.79,15.89,14.96,15.57,15.46,15.77,13.95,15.63,15.51,15.91
13.39,15.01,13.09,12.98,12.75,14.78,13.02,12.78,12.78,14.69
19.22,15.69,16.92,16.15,16.28,15.90,19.10,16.07,16.29,15.69
16.06,17.68,16.43,16.08,17.61,17.35,16.20,16.02,17.74,17.44
16.55,16.52,16.99,16.62,19.47,16.63,17.08,16.57,19.54,16.90
14.20,14.41,14.44,17.27,14.61,14.88,14.45,17.34,13.81,14.68
20.05,18.09,20.31,18.36,18.72,18.17,20.00,18.33,18.63,18.21
17.34,18.42,17.78,19.35,19.58,18.17,17.76,19.34,19.65,18.16
13.77,13.51,14.66,13.65,15.40,13.84,14.04,13.40,15.42,13.97
14.87,16.81,13.84,14.75,15.95,16.71,14.72,14.49,16.14,16.85
17.31,13.38,14.64,14.19,14.12,13.77,17.16,14.25,14.14,13.57
16.46,19.06,16.95,18.62,16.60,18.28,16.58,18.56,16.76,18.19
15.42,16.88,15.23,15.65,15.28,17.41,15.36,15.73,15.38,17.45
18.01,16.46,17.79,16.47,18.28,16.57,17.98,16.38,18.31,16.71
17.55,15.38,16.36,16.61,16.51,15.63,17.48,16.59,16.56,15.41
15.65,14.89,15.35,15.17,17.62,14.67,15.83,15.15,17.43,14.67
22.41,19.21,20.30,19.21,19.51,19.30,22.31,19.21,19.50,19.22
11.68,13.36,11.15,12.26,12.20,13.48,11.87,12.43,12.00,13.39
10.68,10.17,9.93,10.16,12.75,10.30,10.81,9.32,13.04,9.99
14.11,14.07,14.23,12.50,13.96,13.82,14.24,12.12,14.15,13.61
15.26,13.20,14.70,13.31,13.53,13.44,15.23,13.40,13.67,13.33
12.66,16.95,11.64,14.14,15.19,16.83,11.65,14.20,15.14,16.74
15.18,14.44,15.70,14.84,16.50,15.15,15.34,14.65,16.66,15.18
19.55,18.09,19.15,20.11,18.86,18.31,19.53,20.11,18.83,18.16
11.94,13.92,11.67,12.48,11.87,14.85,11.78,12.49,11.83,14.96
15.63,14.22,15.15,16.55,14.55,14.54,15.61,16.48,14.52,14.11
19.65,17.82,19.14,19.37,18.27,18.09,19.60,19.39,18.21,18.00
13.62,15.61,14.01,14.44,15.25,15.57,14.00,14.45,15.31,15.70
15.49,17.58,15.48,15.59,17.36,17.36,15.69,15.59,17.45,17.36
19.43,16.60,18.54,16.53,17.53,16.84,19.25,16.47,17.41,16.77
14.41,16.23,15.03,14.93,14.53,16.76,14.54,14.99,14.57,16.90
13.47,11.72,12.07,13.39,11.99,12.19,13.46,13.48,12.12,11.59
17.58,19.52,18.69,19.98,19.45,19.13,17.95,19.97,19.48,19.01
16.33,15.10,18.36,16.10,16.87,15.80,16.34,16.18,16.67,15.90
