Intensity,Intensity L,Intensity H
9961100,6385700,3575300
23485000,15226000,8259200
24544000,14379000,10165000
3198000,2273700,924290
9063000,6591100,2471900
5711400,2942900,2768500
12936000,7258400,5677100
17389000,11532000,5856900
19336000,13019000,6317500
10114000,6687600,3426200
25163000,15390000,9773700
10861000,4788300,6073100
11576000,6719300,4856500
13643000,6420600,7222700
11457000,5625300,5831500
2729800,1121600,1608200
15653000,6250500,9402400
9638700,5450600,4188100
8403300,4362200,4041100
5364500,2304200,3060300
17003000,7227300,9776200
10103000,4462900,5640200
8730600,3710900,5019800
8154400,3740700,4413700
3505300,1590500,1914700
2414300,1224500,1189800
2887800,1232500,1655300
8809000,4690200,4118800
4295000,1715900,2579100
13400000,8629900,4769900
9161300,5622100,3539200
3433700,1526400,1907400
3646600,2663000,983640
8872400,6497800,2374600
7301700,2799600,4502100
16102000,6194600,9907300
8765600,3120500,5645100
15372000,5310000,10062000
12902000,4874100,8028200
14576000,6220000,8356000
17676000,8713500,8962500
10872000,5385500,5486200
6823600,3421200,3402400
24656000,18054000,6602700
31406000,18804000,12601000
4945800,2123900,2821900
14473000,6451200,8021500
6695000,2838300,3856700
15482000,11300000,4182000
3787800,3019800,767960
6302900,4320200,1982600
8378100,6446600,1931400
6852300,5551200,1301100
19208000,16338000,2870400
11928000,9790000,2137700
14801000,10587000,4214100
6445000,4771200,1673800
9193600,3526400,5667200
8363600,5870400,2493200
7589800,2763000,4826800
5446500,3781900,1664600
14584000,12123000,2461300
12632000,7946300,4686100
14542000,11043000,3499000
6843900,3042600,3801300
7019700,4079300,2940400
7296900,3633100,3663800
9100600,4478700,4621900
7795800,3654200,4141700
12723000,6527100,6195700
6458700,5262800,1195900
17666000,8782600,8883100
19268000,11398000,7870400
5456500,2957500,2499000
9277300,5420300,3857000
4262800,2659500,1603300
11153000,5070600,6082300
6664400,2951100,3713300
5328600,2538700,2789900
5477900,1827900,3650000
9705500,4384100,5321400
11223000,5837500,5385900
18784000,11125000,7659700
15962000,6881300,9080700
17094000,6093100,11001000
11081000,7615800,3465600
3659800,2671700,988130
5683500,4929800,753730
13858000,11272000,2585900
13356000,10815000,2541000
16430000,10461000,5969200
10034000,7689300,2344600
5318800,3499800,1819000
7194900,4773300,2421600
7099400,3794800,3304600
4213500,1028200,3185300
5107600,1137200,3970300
7453800,1669100,5784700
2663300,1947600,715750
14288000,8262100,6025700
15296000,10918000,4378300
4421000,3055100,1365900
12551000,8307900,4243100
3886400,2706800,1179700
21747000,8352800,13394000
10741000,3470500,7270600
10863000,3715400,7147400
15122000,7006700,8115800
13139000,5054900,8084400
5642600,2123700,3518900
5498200,2977700,2520500
18210000,13570000,4640200
19342000,15894000,3447900
9202500,6672200,2530200
8314400,3760300,4554000
12782000,9423200,3358600
5127400,3674100,1453200
10034000,8289400,1745100
10324000,5630700,4692900
7259900,2934600,4325300
5544300,2837900,2706400
34530000,16149000,18381000
30890000,18438000,12452000
2645900,1276000,1369900
30005000,14985000,15019000
5690800,2498100,3192700
5964200,3119200,2845000
2900900,612410,2288500
18754000,5959300,12795000
6871500,2053000,4818600
4572700,1286000,3286700
7309300,5987400,1321900
12700000,9397400,3302500
14723000,11886000,2837400
18551000,15265000,3285800
3007500,2600900,406600
7830200,3920100,3910100
20095000,8933400,11161000
27019000,15045000,11974000
6606600,3748200,2858400
21597000,12277000,9319200
5818500,2583800,3234800
18685000,10652000,8032300
23549000,11948000,11601000
36805000,18753000,18053000
16939000,7634500,9304600
4655200,1279300,3375900
12523000,6177900,6344900
31010000,18151000,12860000
11646000,6971400,4674900
26762000,15221000,11541000
15092000,7464000,7628300
9493100,6290000,3203100
13892000,7276200,6615700
