Raw Abundance 35,Raw Abundance 45,Raw Abundance 50,Raw Abundance 55,Raw Abundance 60,Raw Abundance 75
4439.6,4331.5,4371.6,2433.2,1481.3,366.9
72741.3,71798.4,58735.1,23175.2,17284.9,5946.7
4739.9,4638.1,3435.4,1320.3,932.8,625.4
7877.1,8305.5,7549.9,5318.1,5361.7,4593.8
1907.2,1814.5,1600.4,748.7,522.4,211.3
5253.2,4820.9,4220.1,1712.6,1166,401.4
76074.4,75156.2,72859.5,34109.9,24373.6,11585.5
1091.5,963,1070.8,511.9,367.9,225.3
79159,81852.7,86806.6,55840.9,54716.8,43118.9
19958.9,21655.4,21738.6,13593,12623.9,9740.1
6628.2,6734.6,6343.3,3938,1679.1,514.6
51097.3,56629.2,52508.4,39117.3,42845.5,35818.6
66197.9,74801,66760.5,52434.6,52183.7,36651.3
10536.4,12257.9,11055.8,5961.5,4097.2,1334.5
1127,1166,1048.7,425.5,344.4,84.5
26734.9,28702.1,22432.8,9571.5,6861.7,2491.1
1796.1,1715.7,1648.7,851.2,440.1,173.5
6935.6,6940.8,5668.6,2298.2,1669.6,505.7
59261.7,59539.8,49577,19419.7,12385.5,4288.6
10396.8,9763.1,8081.5,3199.1,2353.8,850.7
91687.3,95140.1,75008.3,29044.7,18978.5,6604
240.5,201.3,223.9,134.3,82,35.6
11815.8,12104.7,10346.1,4466,3449.6,1322.4
12583.9,12781.4,11146.6,4961.3,3667.8,1390.3
3174.8,3127.9,2896.4,1504.6,1182.1,765.6
450.6,342.1,428.7,199.5,171.8,94.7
646.1,516.6,571.9,300.5,170.8,110
37989.2,40770.5,35998.7,16240.4,10280.8,3503.2
1242.9,1213.9,1080,450,312.3,102.2
97244.9,99909.3,83152.8,30846.7,20582.2,7857.7
133853.2,136279.9,115261.6,44581.3,34545.9,26132.8
80105.6,85166,70364.8,24762.8,16348.9,5223.4
78759.6,76447.6,68496.2,28113.8,19510,8492.6
62604.6,62526.3,53281.2,19371.7,12796.2,4779.4
48974.9,49964.5,42391.2,15687.4,10568.1,3900.6
4560.4,4392.3,4630.9,3804.7,4245.7,3345.8
181689.2,182042.7,157723.9,77166.9,51392.1,11703
18830.8,19693.5,17545.5,7519,4949.7,1651.5
62012.1,67434.5,61968.2,25906.7,17914.7,3998.3
17970.3,19173.9,16089.9,8355.1,6656.8,2120.1
1561.6,1502.1,1287.1,445.9,327.4,96
213774,218624.5,177438.6,66490,45089,13099.9
51688.5,56888.1,45960.5,18291.2,11611,3769.4
64448.8,77044.6,62858.2,22514.6,14498.8,4554.2
53443.9,55259.4,47133.9,17586.4,11347.8,3093
71197.8,75939.3,59213.3,22855.4,15194,5656.1
90109,88013.9,79886.6,31975.4,20559.4,6760.7
69488.7,75697.7,64875.3,22329.3,14210.6,3759.8
17847.1,17030.4,15479.2,7198.1,5328.9,2476.4
1473.3,1271.6,1195.7,511.2,361.7,115.4
8783.8,8655.6,8881.4,6371.7,5713.2,3175.2
7383.3,7966.9,6169.4,2559,1932.7,970
32809.5,31428.5,27387.5,11796.4,8044.8,3596.8
11154.4,11270.9,10212.2,5366.6,4491.1,952.8
29779.2,27919.1,25345.4,10360.9,6389,2212.1
1367.7,1269.8,1311,973.8,873.8,117
9721.5,10085.5,9342.6,5916.1,4812.2,1229.3
