Plant1-Measurement A,P1-M B,P1-M C,P2-M A,P2-M B,P2-M C,P3-M A,P3-M B,P3-M C,P4-M A,P4-M B,P4-M C
11852.92263,25231.39538,21099.57297,15697.59414,11235.49641,10628.16989,4190.900448,4343.502842,3594.549293,28222.86677,23783.6882,37297.83245
3294.507349,6614.948509,7336.307327,7384.065395,4955.228395,6931.389762,10273.25812,9479.199917,6924.459816,9485.006683,5929.013011,9147.127071
6513.890542,12966.35475,12482.10129,10528.84067,8076.636499,9744.743544,12529.33525,12912.2238,8077.558579,11283.73474,7487.049904,10740.53459
3516.524397,4786.077292,4521.284516,7055.752122,5723.742709,6811.996141,2961.715546,4054.663104,4342.656046,21494.51162,14930.55655,24421.81109
18036.01358,35424.52634,35423.19075,25642.55378,15534.31743,15262.82774,2642.271153,6575.643201,3303.786921,35326.83477,46371.33278,52138.65403
870.4973583,1159.755953,1389.076592,1531.506194,1121.990778,1680.697656,1084.826185,1392.202529,1313.361185,4289.906319,2748.810891,4302.612165
1241.662662,2832.04515,3010.21403,1278.999657,950.1012424,585.1153139,2435.187149,1790.669834,1839.197958,6746.592262,4150.044028,5308.166536
6816.587125,7854.818715,12335.88246,18558.33798,13799.34594,17388.65919,5192.659044,5246.004488,5410.616815,15596.65259,9078.163359,15079.84321
982.7143057,2041.451558,2041.084026,1259.495518,1355.030809,1648.240874,989.0661721,982.012939,794.1147185,1395.56686,845.2716595,1252.13088
2039.521472,4052.233173,3000.236844,3145.658926,2051.294059,1936.054066,1424.29947,1426.942479,1376.239696,1772.111368,1064.289522,1900.384313
22977.23074,39962.05336,43931.33245,37161.60545,29126.94028,32017.96038,28834.87606,34367.08415,28281.08125,37015.45437,25031.00582,35491.53947
4977.571735,9428.713914,11160.41098,10785.74048,8365.249111,8833.208482,10229.69808,10644.37533,8921.043967,12312.8755,7259.357425,12345.81576
37831.57594,75462.05744,72093.45265,61026.6389,55152.03053,59130.76992,49712.91795,56508.03534,35643.16205,64251.38614,43106.58999,58642.14479
10530.27417,17551.59906,18531.33982,18092.24575,21409.2308,19351.62809,7519.573281,12195.93077,5673.262512,14058.23138,5069.911011,10131.53544
835.78022,1181.898446,1430.770659,1480.634282,812.6759627,1942.229026,280.1274852,598.5154758,160.5838183,401.4747013,464.9150882,707.4233093
2014.066764,2757.053563,2850.86439,2640.022568,1508.046059,1563.979684,1756.288092,1205.397764,824.865401,1421.603981,1024.766233,1550.749962
21660.97165,36975.84724,41653.56377,34276.94497,29355.13552,40440.86983,20508.06242,21899.70846,19042.65498,45267.02137,31504.55751,49017.74828
17368.08097,33852.8288,32272.12228,26949.83927,22625.76882,28016.02888,22015.48186,25541.96665,17654.01754,27709.83006,19582.60975,33437.68753
9216.703752,14732.06772,15612.94103,14025.35923,10072.28074,11539.3414,11850.64551,14370.2898,11484.3368,14895.57191,10505.70345,17185.39308
180627.9309,325196.5178,339051.7349,303987.2006,251719.368,294597.2708,292950.4564,305918.3135,242612.1053,433626.1888,238570.1463,407298.1731
17972.71015,22661.71987,26339.06187,19834.26319,8965.097576,6535.380193,7989.212481,5812.339533,3148.642874,7483.194042,6358.554246,5816.278256
14931.45822,21298.62475,25490.55513,28446.73925,23834.52196,22383.14285,16482.72719,16530.0466,11037.73248,19368.13099,16329.93735,22553.92114
31796.16164,40702.64751,60244.55543,88426.74112,59139.01314,72697.14334,42287.73274,33309.1298,27300.49027,84728.36449,57342.32756,73009.65391
16569.20441,30946.85087,29838.83887,27405.12787,19618.32975,21104.48462,25198.77618,29948.01209,23184.54556,35296.57863,29209.26345,38281.65789
3271.907439,5630.527712,5601.734777,4567.335678,3814.104732,4401.996258,4641.027826,5223.748401,3323.997987,8208.916926,4973.808725,6801.936167
1413.74826,2359.599498,2793.448144,2260.758351,1768.627795,2699.006895,1981.407374,1863.61028,2019.119463,4818.633637,2972.488109,5397.572266
3460.322506,6119.135277,7621.876088,5993.5715,3576.169529,4456.952668,6350.098608,5910.976166,6486.73135,5347.888235,4216.648942,7000.468247
