CT_S12_1,CT_S12_2,CT_S2_1,CT_S2_2,CT_S3_1,CT_S3_2,CT_S5_1,CT_S5_2,CT_S7_1,CT_S7_2,HF_S1_1,HF_S1_2,HF_S3_1,HF_S3_2,HF_S4_1,HF_S4_2,HF_S6_1,HF_S6_2,HF_S8_1,HF_S8_2,OB_L2_1,OB_L2_2,OB_L3_1,OB_L3_2,OB_L4_1,OB_L4_2,OB_L6_1,OB_L6_2,OB_L7_1,OB_L7_2,OB_S2_1,OB_S2_2,OB_S3_1,OB_S3_2,OB_S4_1,OB_S4_2,OB_S6_1,OB_S6_2,OB_S7_1,OB_S7_2,
23.43664718,23.35736876,23.78859867,23.8074385,23.47218572,20.95967244,24.08086529,23.87196946,23.46404568,23.40891283,21.11836071,22.03604403,23.01768981,22.85333136,23.35620646,23.08735147,21.39433628,21.66127507,22.63327963,22.182455,22.01990285,21.07473821,21.55660072,21.01235914,21.18864612,20.01833739,21.07212875,20.21435469,21.35431128,20.58871549,20.51016417,20.00542876,20.73727077,,20.95956525,19.84376686,21.39789718,20.54257609,20.8404083,,
25.12062617,24.91104799,24.85740668,24.99717807,24.87885138,25.3217945,24.9083484,25.02746801,25.06374346,24.98115599,25.65403063,25.80614553,25.6359582,25.54007273,25.60086155,25.55988542,25.66182938,25.74574644,25.66034559,25.60182742,25.58738548,25.53643406,25.57666525,25.51289397,25.63130422,25.6963695,25.63473508,25.60230419,25.65555016,25.70634662,25.63371395,25.6766023,25.3985073,25.49695525,25.75480996,25.88833714,25.71846465,25.78945985,25.58179191,25.65034972,
23.352151,23.510262,23.44714458,23.45668671,23.51463636,23.80084331,23.57979266,23.44959611,23.67903917,23.79917904,24.23260793,24.17135421,24.32205297,23.95208533,24.16715768,24.00960368,24.14396461,24.178286,24.11827404,23.94550359,23.85835077,23.58932226,23.66889141,23.53142634,23.85575018,23.7941217,23.98039839,23.87820311,23.96523502,23.98266523,23.91403377,23.76704976,24.00260684,23.72042228,23.94679186,23.82870039,24.04758768,23.91138764,24.04410239,23.9948681,
22.77587503,22.57321536,22.65792413,22.7206303,22.83477442,22.26162523,22.64002735,22.74550315,22.75955258,22.76713308,22.3444839,22.23264886,22.54342962,22.41018602,22.48590481,22.56258177,22.27244599,21.9956247,22.59972845,22.19236734,21.90949481,21.74664431,21.90953708,22.13375403,22.29734262,21.90789837,22.00597464,21.11759722,21.76369605,22.03674874,21.90293548,22.01748678,22.12164748,21.96462188,21.84623606,22.08557154,21.87630876,22.06082321,21.93263579,22.10577142,
22.31135744,22.49921014,22.79117825,22.61584747,22.55850596,23.66611525,22.65019019,22.85190673,22.23848211,22.72794927,24.79790523,24.52154401,24.59754826,24.33419275,24.0736445,23.88308347,24.4493967,24.21609867,24.6005987,24.18752521,24.00779309,23.79773337,24.06070911,23.80092118,23.98995871,23.71460827,24.18856983,24.16385573,23.98254178,24.15525614,23.93980271,23.64162978,23.69054339,23.71180282,24.52755366,24.4374886,24.08159184,24.50467342,23.71487793,23.80638757,
22.71900558,22.71897265,22.90888157,23.11856446,22.68101393,23.44306658,22.93622738,22.85957814,23.02720241,23.18611399,19.80111735,20.99700996,20.39768738,21.34431982,20.81854558,21.2540729,21.79582097,22.18116307,21.34716266,21.70589733,23.45981878,23.41928701,23.45306597,23.21567742,23.13257214,22.54443883,23.20320354,23.19506545,23.36550713,23.34356099,23.09779635,23.30253716,23.4654403,23.43061846,22.83426724,22.74870399,22.34423681,22.54745264,23.15220907,23.115016,
23.48364416,23.26162717,23.50109184,23.58542995,23.22808747,24.25089985,23.61116148,23.22084014,23.53705939,23.72512506,24.5627651,24.6910688,24.51070173,24.45898249,24.47841279,24.1702551,24.40187565,24.43786565,24.23964859,24.42699015,23.96851156,23.4805027,24.04539996,23.90570232,24.34167856,24.16604166,24.49814953,24.12647008,24.23999888,24.41849753,24.55179919,24.23362524,24.51677442,24.3573499,24.64718052,24.13820334,24.53251074,24.60359594,24.30556266,23.94889087,
23.90815997,24.16672602,24.27516097,24.12953456,23.65766228,25.12496443,24.09060971,23.92830547,23.86912896,24.19145488,26.19660567,26.12515888,26.1730431,26.26147669,25.60131257,25.70768549,25.71543463,26.07960451,26.087817,26.30848759,25.83230337,25.75497374,25.70781278,25.44486489,25.80761022,25.62725683,25.76163016,25.5638616,25.93929919,26.08339532,25.69497343,25.52920623,25.32463291,25.23605635,25.68979173,25.53478244,25.75772725,25.73430837,25.70711434,25.9542021,
24.732239,24.94305453,24.82046322,24.76440733,24.81607768,25.10309614,24.87090789,24.73849197,24.89530974,24.87136018,25.56894894,25.60815405,25.5967562,25.4992141,25.40540731,25.3118848,25.4804533,25.38452591,25.54337587,25.40921863,25.29272604,24.92242844,25.28579811,24.96159548,25.41882451,25.17766086,25.42257333,25.285227,25.32380288,25.28919917,25.23479614,25.10077082,25.29591991,25.22346253,25.46641294,25.3867085,25.41306606,25.38729022,25.43822681,25.19705842,
22.54379732,22.61315128,22.35357164,22.42906537,22.02727602,23.19046606,22.67002468,22.39222206,22.34157005,22.53773564,23.79470976,23.78140032,23.7990984,23.47013319,23.75313246,23.45450968,23.46277342,23.74347047,23.75400805,23.57776311,23.25441153,22.96924065,23.26902903,22.9947389,23.39616159,23.50649572,23.54186687,23.48841421,23.40593076,23.29431319,23.59744577,23.4314233,23.49631257,23.27543949,23.54977775,23.45316071,23.60820428,23.34080004,23.35035351,23.36398384,
26.07786457,25.97229069,26.17707049,25.95750897,26.00745333,26.48297514,26.13205999,25.87749637,26.18139933,26.0738705,27.17809863,27.31147051,27.22641713,27.18023041,26.87938371,26.73046128,26.94744037,26.83897135,27.10473712,26.98466163,26.54582212,26.35256289,26.59668481,26.29403571,26.99911471,26.8189487,26.81783952,26.66420828,26.68380172,26.68526967,26.67290249,26.49858642,26.76979684,26.51821744,27.04092072,26.79542324,26.91112813,26.76246938,26.79891198,26.46110786,
23.62596189,23.70826865,23.39876346,23.51614137,23.26013894,24.35908678,23.35646272,23.43430907,23.66359885,23.65147523,25.2534299,25.50700279,24.9738951,25.05314945,24.71114799,24.60432301,24.76071901,24.80847917,24.97150113,24.89382147,24.44361597,24.18845505,24.34637327,24.27581453,24.98022207,24.80084453,24.71012059,24.60277495,24.70876211,24.68812456,24.45431418,24.49723615,24.4806069,24.30665713,24.93531698,24.85353779,24.9328365,24.849589,24.65756734,24.47182388,
24.10641736,24.01232593,24.08830477,23.92913723,24.00774215,24.58583549,24.05481833,23.62648826,24.02053072,23.95815558,24.28717249,24.40177157,24.89289338,24.77918539,24.72278165,24.56395258,24.78819824,24.9082602,24.74341299,24.76841006,25.15675541,24.95715983,25.03495007,24.69970297,25.03562079,24.91968308,24.95515026,24.84473291,24.82444791,24.96107637,24.84266823,24.61220206,24.79997456,24.61423882,24.88484194,24.81545992,24.65049299,24.72843,24.903992,24.84416703,
23.82919171,24.10908396,23.94894019,24.06250656,23.8439887,24.5360812,23.97501853,23.9310036,24.04901622,24.24077835,24.86537891,24.84130744,24.6712472,24.63251898,24.51685635,24.58657998,24.5933138,24.6643598,24.66203432,24.70095534,24.55569528,24.49281121,24.66283989,24.50479056,24.67707821,24.54746119,24.78130443,24.73933834,24.79398869,24.67569153,24.40920135,24.54446337,24.58802521,24.52736161,24.74684339,24.72952365,24.76858135,24.73647353,24.63179432,24.73443755,
24.26772493,23.9767464,24.04249758,23.96331381,24.00396585,24.55508977,24.06251967,24.12767112,24.22537854,24.2603687,24.82391588,24.95634351,25.01742972,24.76720491,24.92443646,24.87137255,24.87194256,24.95880824,24.91744596,24.92625636,24.69406358,24.29669591,24.66656,24.52193461,24.59101476,24.64045935,24.89918016,24.8506087,24.77589809,24.65706924,24.78115947,24.71856006,24.81609431,24.62183235,24.9026024,24.35947309,24.99751329,24.80507882,24.74936975,24.66848047,
25.85572829,25.66940548,25.70444034,25.6972092,25.52883429,24.9928341,25.61607523,25.65419881,25.68759325,25.71195032,25.94065265,26.20998893,26.0237796,26.08693755,26.14570852,26.26619077,25.37435128,25.78599216,25.77282481,25.98767248,24.91502871,24.72424996,25.14097779,24.92516957,25.29656543,25.08510494,24.90861713,24.73625529,25.01581966,24.85076463,24.72785617,24.71392723,25.02525115,24.98859574,25.08730549,25.0065386,25.50750238,25.39604874,25.14744483,24.9848366,
23.4392099,23.6141768,23.4015359,23.41307002,23.42165021,24.04633317,23.56643253,23.5344238,23.48022338,23.58392586,24.25084076,24.39623821,24.29824405,24.35429157,24.26725506,24.23593776,24.28164281,24.28415123,24.15102018,24.2747673,24.20232433,23.93136167,24.22033032,23.91549108,24.19732112,24.07012331,24.27870187,24.14064111,24.09629643,24.13294662,24.16316155,24.22507142,24.12835885,23.97362924,24.17554628,24.07818856,24.45075933,24.05721404,24.18755864,24.18580714,
24.69716152,24.51852167,24.57751689,24.61941644,24.66027585,24.97031965,24.36997529,24.36847362,24.7265673,24.71554884,24.41793125,24.97334719,24.46233791,24.83260055,24.591339,24.75048404,24.70036007,24.9854102,24.59365847,24.90804611,25.41015446,25.1467234,25.1987894,25.16533354,25.07116731,25.18003862,25.23464942,25.39705882,25.47456561,25.42550366,25.13753758,25.30991677,24.90581843,25.01570784,25.23871454,25.12623134,24.8913745,24.97677267,25.04027838,25.30678854,
24.18406179,24.30635598,24.28923751,24.11158288,24.3964544,23.65298203,24.53603606,24.081098,24.28536477,24.39871174,24.32413128,24.35927556,23.98528474,23.93946708,24.15974539,24.12740554,23.9900631,23.91337774,24.54579475,24.08720046,23.76747357,23.6120455,23.6175311,23.54659091,23.83623586,23.34292512,23.82694878,23.61872667,23.76918367,23.52548563,23.7559489,23.64056517,23.87309103,23.68319655,23.60411325,23.56240798,23.76651895,23.79590396,23.7253599,23.68927252,
21.5698799,21.52582839,21.65734337,21.91332058,21.46799618,22.01462006,21.58882624,21.47646533,21.85574964,22.12653719,22.06044269,22.46822281,21.92734194,22.18817762,22.01969069,22.19312118,22.33699764,22.41912838,22.19945951,22.44240104,22.24019375,21.88593765,22.06594015,21.93829532,22.35681657,22.49447703,22.25613097,22.44152895,22.17839336,22.37586085,21.997458,22.07943561,22.21861368,22.11515018,22.13222204,22.30620448,22.37747365,22.46645621,22.26449604,22.05409468,
21.80548676,22.41452867,22.21799668,22.48855138,22.29119619,22.20225015,22.5063024,21.78647892,22.36548357,22.41366601,23.66088907,23.67435398,24.15768679,23.9380689,23.73288148,23.6174694,23.6062752,23.34216582,23.43539925,22.9271876,22.5559134,22.56129504,22.58076805,22.60282995,23.2181419,22.98245331,23.21972409,23.30627208,22.87667066,23.18711204,22.71853902,22.28555297,22.83041498,22.39569233,23.20730896,23.04414705,23.57583754,23.12636609,23.65191068,22.87359393,
25.89559888,25.671928,25.66128424,25.69907868,26.01871854,25.096313,25.91615198,25.85895524,26.17168946,25.86735157,26.43812657,26.33804591,26.25518668,26.04370236,26.47017174,26.12424803,25.6471011,25.75450668,26.21265303,25.85141528,25.30203975,25.22512608,25.02174418,25.09538059,25.42219669,25.22181431,25.12275963,25.2631154,25.1503293,25.21985018,24.61315362,24.93281888,24.84665788,25.23696028,25.60884251,25.42697869,25.26582003,25.68932958,25.51387558,25.22032595,
23.89217397,24.0986726,23.93821198,24.01064319,23.82868156,24.69750476,23.9370139,24.0204544,24.03303135,24.15570864,24.78089083,24.92030601,24.65546454,24.74068861,24.45593527,24.68876783,24.7051406,24.85696113,24.79312309,24.76522391,24.50733861,24.38451398,24.39510916,24.48906942,24.45001942,24.57632154,24.72038072,24.77671742,24.66156352,24.64772616,24.69524416,24.63770198,24.74228063,24.60919795,24.61170816,24.68501303,24.85495076,24.84743942,24.6646424,24.60402392,
