Odom Reading 1 (Previous),Odom Reading 1 (Update),Odom Reading 2 (Previous),Odom Reading 2 (Update),Odom Reading 3 (Previous),Odom Reading 3 (Update),Odom Reading 4 (Previous),Odom Reading 4 (Update)
896,39198,,,,,,
21396,63511,32659,47605,,,,
21340,37460,44998,59002,,,,
23912,59136,,,,,,
16862,59292,,,,,,
147738,167895,125820,164688,,,,
18780,49811,45402,54824,,,,
41930,80323,181416,229852,,,,
28993,63707,13291,28165,,,,
78382,127817,,,,,,
58500,81081,,,,,,
99417,149211,48770,95179,72620,115338,,
93231,98047,,,,,,
83443,105094,,,,,,
22008,26486,,,,,,
27950,59514,95883,126309,,,,
67589,100475,27617,74443,,,,
32753,76724,,,,,,
33044,70775,,,,,,
104857,109961,19548,47796,,,,
121699,137849,,,,,,
16094,45489,159167,200316,,,,
78182,122739,21730,37863,,,118250,166773
21735,58693,39666,77258,,,,
47473,68971,4502,47293,,,,
121416,123661,53987,86852,,,,
4616,30597,,,,,,
13604,31750,,,,,,
125000,139801,,,,,,
40463,70095,,,,,,
34823,78262,,,,,,
120296,137162,138617,169196,,,,
79173,125933,,,,,,
110372,142100,,,,,,
3586,41419,,,,,,
26017,60347,12996,17179,95278,115881,,
149000,177873,,,,,,
15939,17025,,,,,,
23949,27990,,,,,,
119260,143890,46277,62779,,,,
31600,33172,,,,,,
80000,96440,120000,140876,,,,
119420,162182,210631,258131,,,,
91532,119830,64925,67697,,,,
120927,130538,,,,,,
116843,143167,,,,,,
53962,98112,,,,,,
67059,105702,,,,,,
117216,118351,206109,235937,,,,
43792,91238,67545,85554,,,,
13781,54459,,,,,,
42064,49235,869,36912,,,,
145271,167129,,,,,,
58545,95608,,,,,,
26545,52377,60000,106312,,,,
50388,98369,,,,,,
108263,132557,32234,66701,,,,
40711,82311,,,,,,
105099,139843,,,,,,
37776,51717,,,,,,
189000,197565,,,,,,
144593,174019,,,,,,
94162,112348,,,,,,
78704,109065,,,17406,34540,,
59970,89440,64900,83080,,,,
86465,123221,,,,,,
15,5037,,,,,,
61791,94082,,,,,,
73000,90287,,,,,,
125683,163995,,,,,,
194677,198762,,,,,2827,39716
23929,30565,,,,,,
5551,12902,8982,50135,,,,
23,9378,51527,81330,,,,
140000,150928,55345,103321,,,,
45000,65534,3324,40014,,,,
14418,28096,,,,,,
15643,60317,,,168238,212633,,
73166,103756,,,,,,
62500,90815,,,,,,
42537,82832,55492,69884,,,,
49732,87637,,,,,,
4225,11848,,,,,,
68511,108435,,,,,,
121183,133548,,,,,,
108698,152103,47553,62436,,,,
29783,64198,,,,,,
96000,131817,,,,,,
24091,28451,,,,,,
55733,70102,,,,,,
127000,165152,,,,,,
130000,137606,14319,40239,,,,
75409,81093,,,,,,
39,35190,,,,,,
815,9489,,,,,,
61099,89389,30266,47067,,,,
101658,136696,38662,49410,,,119860,126644
140184,170694,,,,,,
36169,59997,36231,54636,,,,
41684,83436,,,,,,
65359,81621,,,,,,
167566,181690,63031,105802,,,,
276481,294755,103043,118247,,,120440,138477
5831,36253,,,,,,
186740,207838,,,,,,
25000,64152,,,,,,
87892,126909,,,,,,
69946,115257,1682,33743,,,,
56136,96505,,,,,,
50468,99285,,,,,,
601,6240,17457,59743,,,,
44668,67176,,,,,,
57316,76622,80956,89377,755,50290,,
61424,97120,,,,,,
111069,155135,,,,,,
91258,103454,145495,178663,,,,
160251,166627,67999,89508,,,,
20500,36127,30600,38388,,,,
0,20345,,,,,,
271738,281573,39993,52153,,,,
11241,38298,30,38925,,,,
43191,56235,,,,,,
16588,48888,68500,116503,134806,144835,,
54860,66734,,,,,,
209713,213965,,,,,,
96985,141240,7059,24873,,,,
73811,116476,,,,,,
94000,139018,,,,,,
59179,67495,5510,28503,,,,
0,19287,,,,,,
6830,8069,31229,56246,,,,
88737,103166,68830,92442,,,,
15883,53595,,,,,,
288120,297908,,,,,,
85430,102716,,,,,,
79651,115410,,,,,,
94055,111152,,,,,,
87122,106098,,,,,,
88030,137644,,,,,,
106250,121128,230160,271279,,,,
85754,94842,,,,,,
177719,212591,,,,,,
49013,68209,,,,,,
88658,99301,230415,232453,,,,
27229,34091,,,,,,
51767,89619,,,,,,
37638,70445,50381,83672,,,,
23701,55902,,,,,,
56800,65906,,,,,,
396,38222,,,,,,
398,18161,,,,,,
252045,273571,83125,120471,,,,
112557,127465,68828,112425,,,7479,31264
24130,34746,,,,,,
97695,122888,102000,126207,,,,
45443,85022,24492,72792,,,,
2,15341,,,,,,
153379,156774,,,,,,
80000,91432,70346,118859,,,,
94000,108311,,,,,,
228964,260720,393,42061,,,,
17851,37494,,,,,,
109111,112790,83562,104031,,,,
38409,73694,,,,,,
2820,19033,884,39263,,,,
89927,106207,,,,,,
54000,87917,,,,,,
36200,84843,1,24418,456,20647,,
50112,91739,77011,112606,,,,
75340,122725,70056,103880,79012,89377,,
8133,11912,,,,,,
17259,20872,54173,79389,,,,
26400,59788,48000,72497,,,,
94678,106982,,,4973,27149,,
68336,69348,990,18738,,,,
74956,106491,97621,130365,,,,
36631,74814,103651,146827,,,,
7871,41050,,,,,,
28047,37187,,,,,,
124622,163215,,,,,,
75919,105895,70097,91469,79932,129345,,
33800,56736,,,,,,
60085,74514,4500,48918,2564,43331,,
180729,203634,32802,82716,,,,
15138,29016,,,,,,
17284,32912,,,,,,
62315,96245,,,,,,
441,20768,154,42193,,,,
14,42134,,,,,,
37600,73833,,,,,,
40000,45721,,,,,,
10196,39044,,,,,,
18953,37064,32000,50340,,,,
63602,97404,,,,,,
63600,110370,,,,,,
67507,87153,,,,,,
308,29500,,,,,,
10000,15081,,,,,,
65980,104295,,,,,,
9063,40947,29224,57515,,,,
590,19316,63315,91411,,,,
50646,86640,,,,,,
23213,49047,,,,,20516,55095
88797,97380,66079,78161,,,,
61415,83697,5756,9068,,,,
32663,48844,,,,,,
126994,141997,23128,69278,,,,
51205,98064,22047,26593,,,43600,76920
82291,119431,62290,79055,,,,
185718,195924,,,,,,
75642,94148,,,67998,84459,,
63275,72883,,,78878,111883,,
5,31002,,,,,,
84780,110838,75642,79440,,,,
74007,77015,,,,,,
66782,112613,88544,94387,,,,
128503,165168,,,,,,
16910,31340,,,,,,
75813,95068,,,,,,
689,11841,56154,63691,72407,101274,,
55170,99166,,,,,,
81000,127399,68680,91653,,,,
101313,105928,62480,102352,,,,
79771,115333,,,,,,
18834,35961,130000,155833,,,,
98319,147607,74432,80291,,,,
12,49085,31364,33362,,,,
258934,288802,97490,114669,,,,
91289,112307,45785,58054,,,,
78946,109800,73714,103277,,,,
126940,151587,18,39807,,,,
119373,151859,,,,,,
181507,192554,,,,,,
40538,74941,,,,,,
118309,134879,86364,133066,,,,
130248,154030,,,,,,
160578,178701,,,,,,
70810,109296,,,,,,
55000,93963,60000,61619,,,,
96944,109908,,,,,,
51843,52074,74504,112429,,,,
67114,71020,,,,,743,21748
52878,100716,,,,,,
53635,88337,,,,,,
103548,106436,,,,,,
124399,127841,,,,,,
23000,36643,,,,,,
15033,39732,138584,156437,,,,
153619,197589,104590,151731,,,,
61501,69975,15720,25916,,,,
6053,40964,24663,71696,,,,
125832,132087,,,,,,
33092,52002,,,,,,
83573,108301,,,,,,
32518,77697,,,,,,
516,21437,686,42079,,,,
5645,16666,20739,52803,,,,
74650,91119,182795,220179,,,,
25070,42994,,,,,,
15490,18116,,,,,,
36000,80431,,,,,,
87831,90183,,,,,,
12000,16762,21538,69718,,,,
16287,42941,50099,88020,,,,
63949,110881,,,,,,
22552,63768,31575,47246,,,,
85833,132736,171548,215873,,,,
29466,50665,,,,,,
19525,19720,,,,,,
95000,128625,,,,,,
49340,74498,99000,119106,,,,
86052,105313,,,,,,
70000,118465,61873,108482,79146,121010,,
180000,206797,75000,121174,,,,
15031,43239,230000,275242,36930,85970,,
69438,76270,,,,,,
95000,114444,25000,34307,,,,
22009,44787,29622,78110,,,,
37573,55850,799,5758,,,,
111013,120209,,,,,,
133556,144897,112262,137827,,,,
88149,124474,94804,144632,,,,
92264,92710,,,,,,
6722,23878,,,,,,
48795,95386,211445,236005,,,,
74000,76766,,,,,,
17042,35653,1017,18714,,,,
122909,163225,,,61572,100255,,
85472,132388,,,,,,
68601,83651,,,,,,
58701,91946,,,,,,
57658,88770,,,,,72468,93255
51352,85295,,,,,,
53764,70606,,,,,,
33417,59752,,,,,,
80223,112940,4095,11159,,,,
524,28298,,,487,35203,,
93216,118199,,,,,,
51054,80935,120012,160582,,,,
112484,154782,,,,,,
86000,131981,,,,,,
28916,43113,132152,165024,,,,
67000,72551,88000,120412,,,,
417,2062,130953,179385,,,,
28410,30072,28867,57760,,,,
39203,41527,,,,,,
130081,146239,,,102406,122917,,
79158,103979,37878,52049,,,,
13405,30197,,,,,,
50880,90723,103236,130764,,,,
10738,60577,73633,74510,,,,
103136,109084,101677,114536,,,,
13401,13435,,,,,,
57734,80781,,,106141,131716,,
30687,60837,,,,,,
50751,76259,,,,,,
15,41852,53009,98724,,,,
62508,91575,,,,,,
